Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Left,PointNet,809,22,40,4,8,0.8378,0.7333,0.9091,0.7857,0.8462
Dataset_1,Left,PointNet,810,19,47,3,5,0.8919,0.7917,0.94,0.8261,0.8583
Dataset_1,Left,PointNet,811,28,37,6,3,0.8784,0.9032,0.8605,0.8615,0.9392
Dataset_1,Left,PointNet,812,22,37,7,8,0.7973,0.7333,0.8409,0.7458,0.8432
Dataset_1,Left,PointNet,813,21,35,9,9,0.7568,0.7,0.7955,0.7,0.7803
Dataset_1,Left,PointNet,814,28,37,4,5,0.8784,0.8485,0.9024,0.8615,0.929
Dataset_1,Left,PointNet,815,13,45,11,5,0.7838,0.7222,0.8036,0.619,0.7758
Dataset_1,Left,PointNet,816,22,45,4,3,0.9054,0.88,0.9184,0.8627,0.8873
Dataset_1,Left,PointNet,817,21,42,3,8,0.8514,0.7241,0.9333,0.7925,0.859
Dataset_1,Left,PointNet,818,20,41,6,7,0.8243,0.7407,0.8723,0.7547,0.8298
Dataset_1,Left,PointNet,819,24,40,4,6,0.8649,0.8,0.9091,0.8276,0.8848
Dataset_1,Left,PointNet,820,22,38,7,7,0.8108,0.7586,0.8444,0.7586,0.8368
Dataset_1,Left,PointNet,821,14,49,8,3,0.8514,0.8235,0.8596,0.7179,0.8813
Dataset_1,Left,PointNet,822,17,42,6,9,0.7973,0.6538,0.875,0.6939,0.8125
Dataset_1,Left,PointNet,823,20,42,8,4,0.8378,0.8333,0.84,0.7692,0.9158
Dataset_1,Left,PointNet,824,24,42,1,7,0.8919,0.7742,0.9767,0.8571,0.8687
Dataset_1,Left,PointNet,825,15,49,7,3,0.8649,0.8333,0.875,0.75,0.8849
Dataset_1,Left,PointNet,826,19,49,3,3,0.9189,0.8636,0.9423,0.8636,0.9283
Dataset_1,Left,PointNet,827,9,51,6,8,0.8108,0.5294,0.8947,0.5625,0.8648
Dataset_1,Left,PointNet,828,12,46,9,7,0.7838,0.6316,0.8364,0.6,0.7244
Dataset_1,Left,PointNet,829,17,46,4,7,0.8514,0.7083,0.92,0.7556,0.8725
Dataset_1,Left,PointNet,830,21,43,3,7,0.8649,0.75,0.9348,0.8077,0.7997
Dataset_1,Left,PointNet,831,23,43,2,6,0.8919,0.7931,0.9556,0.8519,0.9011
Dataset_1,Left,PointNet,832,23,40,4,7,0.8514,0.7667,0.9091,0.807,0.853
Dataset_1,Left,PointNet,833,24,46,2,2,0.9459,0.9231,0.9583,0.9231,0.9559
Dataset_1,Left,PointNet,834,22,30,10,12,0.7027,0.6471,0.75,0.6667,0.6971
Dataset_1,Left,PointNet,835,19,43,7,5,0.8378,0.7917,0.86,0.76,0.8617
Dataset_1,Left,PointNet,836,19,48,2,5,0.9054,0.7917,0.96,0.8444,0.8992
Dataset_1,Left,PointNet,837,24,40,5,5,0.8649,0.8276,0.8889,0.8276,0.8636
Dataset_1,Left,PointNet,838,21,40,11,2,0.8243,0.913,0.7843,0.7636,0.8951
Dataset_1,Left,PointNet,839,21,38,7,8,0.7973,0.7241,0.8444,0.7368,0.8536
Dataset_1,Left,PointNet,840,18,48,4,4,0.8919,0.8182,0.9231,0.8182,0.8374
Dataset_1,Left,PointNet,841,21,41,8,4,0.8378,0.84,0.8367,0.7778,0.8808
Dataset_1,Left,PointNet,842,17,43,9,5,0.8108,0.7727,0.8269,0.7083,0.8077
Dataset_1,Left,PointNet,843,23,42,5,4,0.8784,0.8519,0.8936,0.8364,0.8865
Dataset_1,Left,PointNet,844,14,48,6,6,0.8378,0.7,0.8889,0.7,0.8676
Dataset_1,Left,PointNet,845,15,42,9,8,0.7703,0.6522,0.8235,0.6383,0.7451
Dataset_1,Left,PointNet,846,20,40,7,7,0.8108,0.7407,0.8511,0.7407,0.8432
Dataset_1,Left,PointNet,847,23,39,8,4,0.8378,0.8519,0.8298,0.7931,0.8708
Dataset_1,Left,PointNet,848,17,44,6,7,0.8243,0.7083,0.88,0.7234,0.8133
Dataset_1,Left,PointNet,849,16,45,8,5,0.8243,0.7619,0.8491,0.7111,0.8095
Dataset_1,Left,PointNet,850,14,52,6,2,0.8919,0.875,0.8966,0.7778,0.9235
Dataset_1,Left,PointNet,851,17,42,7,8,0.7973,0.68,0.8571,0.6939,0.822
Dataset_1,Left,PointNet,852,16,51,2,5,0.9054,0.7619,0.9623,0.8205,0.841
Dataset_1,Left,PointNet,853,23,35,9,7,0.7838,0.7667,0.7955,0.7419,0.8212
Dataset_1,Left,PointNet,854,15,47,3,9,0.8378,0.625,0.94,0.7143,0.7908
Dataset_1,Left,PointNet,855,14,49,5,6,0.8514,0.7,0.9074,0.7179,0.8222
Dataset_1,Left,PointNet,856,25,36,11,2,0.8243,0.9259,0.766,0.7937,0.9094
Dataset_1,Left,PointNet,857,19,43,6,6,0.8378,0.76,0.8776,0.76,0.8441
Dataset_1,Left,PointNet,858,14,46,6,8,0.8108,0.6364,0.8846,0.6667,0.8016
Dataset_1,Left,PointNet,859,19,38,12,5,0.7703,0.7917,0.76,0.6909,0.8692
Dataset_1,Left,PointNet,860,18,39,6,11,0.7703,0.6207,0.8667,0.6792,0.8398
Dataset_1,Left,PointNet,861,21,43,6,4,0.8649,0.84,0.8776,0.8077,0.8865
