Component,Variance_Explained_Pct,Class_Loading_Q,Importance_Score,Is_Top3,Top3_Rank
PLS1,21.955783667523836,0.02535849387334767,0.1188222925167698,True,1
PLS2,11.490959472752762,0.021631222454919587,0.07332620524153635,True,2
PLS3,5.342590678241939,0.028364098109230948,0.0655609034903992,True,3
PLS4,4.844038984527681,0.029035234889823583,0.06390416412320324,False,-1
PLS5,9.923096876628122,0.011155222917885139,0.035140009047165764,False,-1
PLS6,3.741543495440944,0.0257679933816267,0.04984320947575406,False,-1
PLS7,4.58676288546595,0.016624949488808147,0.03560520407464816,False,-1
PLS8,3.7784794162683184,0.020082464533991234,0.03903691949227907,False,-1
