round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
694,16,63,14,9,0.7745,0.8182,0.64,0.8456,0.64,0.8182,0.5818,0.8249
695,19,61,17,5,0.7843,0.7821,0.7917,0.8472,0.7917,0.7821,0.6333,0.8787
696,23,59,14,6,0.8039,0.8082,0.7931,0.8551,0.7931,0.8082,0.697,0.8668
697,25,70,3,4,0.9314,0.9589,0.8621,0.9524,0.8621,0.9589,0.8772,0.9792
698,10,76,8,8,0.8431,0.9048,0.5556,0.9048,0.5556,0.9048,0.5556,0.8128
699,19,65,10,8,0.8235,0.8667,0.7037,0.8784,0.7037,0.8667,0.6786,0.8119
700,12,70,7,13,0.8039,0.9091,0.48,0.875,0.48,0.9091,0.5455,0.7725
701,13,64,10,15,0.7549,0.8649,0.4643,0.8366,0.4643,0.8649,0.5098,0.7698
702,19,64,7,12,0.8137,0.9014,0.6129,0.8707,0.6129,0.9014,0.6667,0.8269
703,20,69,4,9,0.8725,0.9452,0.6897,0.9139,0.6897,0.9452,0.7547,0.8309
704,21,59,13,9,0.7843,0.8194,0.7,0.8429,0.7,0.8194,0.6562,0.8634
705,25,62,5,10,0.8529,0.9254,0.7143,0.8921,0.7143,0.9254,0.7692,0.8375
706,21,63,9,9,0.8235,0.875,0.7,0.875,0.7,0.875,0.7,0.8523
707,23,61,10,8,0.8235,0.8592,0.7419,0.8714,0.7419,0.8592,0.7188,0.8546
708,16,73,8,5,0.8725,0.9012,0.7619,0.9182,0.7619,0.9012,0.7111,0.9159
709,19,66,13,4,0.8333,0.8354,0.8261,0.8859,0.8261,0.8354,0.6909,0.8971
710,22,61,12,7,0.8137,0.8356,0.7586,0.8652,0.7586,0.8356,0.6984,0.8795
711,14,67,14,7,0.7941,0.8272,0.6667,0.8645,0.6667,0.8272,0.5714,0.806
712,24,61,8,9,0.8333,0.8841,0.7273,0.8777,0.7273,0.8841,0.7385,0.8568
713,11,62,17,12,0.7157,0.7848,0.4783,0.8105,0.4783,0.7848,0.4314,0.7089
714,10,79,9,4,0.8725,0.8977,0.7143,0.924,0.7143,0.8977,0.6061,0.8896
715,25,55,15,7,0.7843,0.7857,0.7812,0.8333,0.7812,0.7857,0.6944,0.8286
716,12,79,7,4,0.8922,0.9186,0.75,0.9349,0.75,0.9186,0.6857,0.8983
717,18,67,6,11,0.8333,0.9178,0.6207,0.8874,0.6207,0.9178,0.6792,0.871
718,20,62,10,10,0.8039,0.8611,0.6667,0.8611,0.6667,0.8611,0.6667,0.8819
719,21,62,13,6,0.8137,0.8267,0.7778,0.8671,0.7778,0.8267,0.6885,0.8884
720,23,61,10,8,0.8235,0.8592,0.7419,0.8714,0.7419,0.8592,0.7188,0.8137
721,18,60,8,16,0.7647,0.8824,0.5294,0.8333,0.5294,0.8824,0.6,0.7478
722,13,70,12,7,0.8137,0.8537,0.65,0.8805,0.65,0.8537,0.5778,0.8787
723,17,67,10,8,0.8235,0.8701,0.68,0.8816,0.68,0.8701,0.6538,0.9351
724,16,61,15,10,0.7549,0.8026,0.6154,0.8299,0.6154,0.8026,0.5614,0.789
725,18,74,5,5,0.902,0.9367,0.7826,0.9367,0.7826,0.9367,0.7826,0.8866
726,17,67,10,8,0.8235,0.8701,0.68,0.8816,0.68,0.8701,0.6538,0.813
727,17,71,7,7,0.8627,0.9103,0.7083,0.9103,0.7083,0.9103,0.7083,0.8387
728,26,58,11,7,0.8235,0.8406,0.7879,0.8657,0.7879,0.8406,0.7429,0.8788
729,15,73,9,5,0.8627,0.8902,0.75,0.9125,0.75,0.8902,0.6818,0.8817
730,14,70,10,8,0.8235,0.875,0.6364,0.8861,0.6364,0.875,0.6087,0.8739
731,17,72,7,6,0.8725,0.9114,0.7391,0.9172,0.7391,0.9114,0.7234,0.9395
732,17,69,12,4,0.8431,0.8519,0.8095,0.8961,0.8095,0.8519,0.68,0.9248
733,18,67,11,6,0.8333,0.859,0.75,0.8874,0.75,0.859,0.6792,0.859
734,12,71,11,8,0.8137,0.8659,0.6,0.882,0.6,0.8659,0.5581,0.8384
735,13,69,18,2,0.8039,0.7931,0.8667,0.8734,0.8667,0.7931,0.5652,0.9356
736,19,63,14,6,0.8039,0.8182,0.76,0.863,0.76,0.8182,0.6552,0.8878
737,24,68,5,5,0.902,0.9315,0.8276,0.9315,0.8276,0.9315,0.8276,0.9221
738,20,68,4,10,0.8627,0.9444,0.6667,0.9067,0.6667,0.9444,0.7407,0.8796
739,18,59,15,10,0.7549,0.7973,0.6429,0.8252,0.6429,0.7973,0.5902,0.8861
740,17,69,4,12,0.8431,0.9452,0.5862,0.8961,0.5862,0.9452,0.68,0.8573
741,24,58,10,10,0.8039,0.8529,0.7059,0.8529,0.7059,0.8529,0.7059,0.8218
742,18,69,7,8,0.8529,0.9079,0.6923,0.902,0.6923,0.9079,0.7059,0.8269
743,15,64,17,6,0.7745,0.7901,0.7143,0.8477,0.7143,0.7901,0.566,0.8125
744,11,68,17,6,0.7745,0.8,0.6471,0.8553,0.6471,0.8,0.4889,0.8325
745,19,62,9,12,0.7941,0.8732,0.6129,0.8552,0.6129,0.8732,0.6441,0.7978
746,17,68,10,7,0.8333,0.8718,0.7083,0.8889,0.7083,0.8718,0.6667,0.9028
747,22,67,7,6,0.8725,0.9054,0.7857,0.9116,0.7857,0.9054,0.7719,0.8793
748,24,53,13,12,0.7549,0.803,0.6667,0.8092,0.6667,0.803,0.6575,0.8215
749,22,62,13,5,0.8235,0.8267,0.8148,0.8732,0.8148,0.8267,0.7097,0.9146
750,21,69,6,6,0.8824,0.92,0.7778,0.92,0.7778,0.92,0.7778,0.8736
751,21,68,6,7,0.8725,0.9189,0.75,0.9128,0.75,0.9189,0.7636,0.9073
752,20,57,15,10,0.7549,0.7917,0.6667,0.8201,0.6667,0.7917,0.6154,0.8264
753,18,64,11,9,0.8039,0.8533,0.6667,0.8649,0.6667,0.8533,0.6429,0.8064
754,25,64,6,7,0.8725,0.9143,0.7812,0.9078,0.7812,0.9143,0.7937,0.8964
755,17,66,9,10,0.8137,0.88,0.6296,0.8742,0.6296,0.88,0.6415,0.8528
756,17,65,8,12,0.8039,0.8904,0.5862,0.8667,0.5862,0.8904,0.6296,0.8588
757,20,64,10,8,0.8235,0.8649,0.7143,0.8767,0.7143,0.8649,0.6897,0.8176
758,22,70,6,4,0.902,0.9211,0.8462,0.9333,0.8462,0.9211,0.8148,0.9291
759,15,66,14,7,0.7941,0.825,0.6818,0.8627,0.6818,0.825,0.5882,0.8761
760,28,57,9,8,0.8333,0.8636,0.7778,0.8702,0.7778,0.8636,0.7671,0.8918
761,25,62,9,6,0.8529,0.8732,0.8065,0.8921,0.8065,0.8732,0.7692,0.9169
762,23,58,13,8,0.7941,0.8169,0.7419,0.8467,0.7419,0.8169,0.6866,0.8569
763,17,61,14,10,0.7647,0.8133,0.6296,0.8356,0.6296,0.8133,0.5862,0.7936
764,21,59,14,8,0.7843,0.8082,0.7241,0.8429,0.7241,0.8082,0.6562,0.8465
765,15,75,6,6,0.8824,0.9259,0.7143,0.9259,0.7143,0.9259,0.7143,0.8595
766,19,57,15,11,0.7451,0.7917,0.6333,0.8143,0.6333,0.7917,0.5938,0.8273
767,23,66,9,4,0.8725,0.88,0.8519,0.9103,0.8519,0.88,0.7797,0.9343
768,15,67,13,7,0.8039,0.8375,0.6818,0.8701,0.6818,0.8375,0.6,0.8807
769,17,72,8,5,0.8725,0.9,0.7727,0.9172,0.7727,0.9,0.7234,0.8892
770,18,68,12,4,0.8431,0.85,0.8182,0.8947,0.8182,0.85,0.6923,0.8949
771,22,68,7,5,0.8824,0.9067,0.8148,0.9189,0.8148,0.9067,0.7857,0.9067
772,19,62,12,9,0.7941,0.8378,0.6786,0.8552,0.6786,0.8378,0.6441,0.8422
