round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
299,17,145,25,90,0.5848,0.8529,0.1589,0.716,0.1589,0.8529,0.2282,0.5388
300,12,165,16,84,0.639,0.9116,0.125,0.7674,0.125,0.9116,0.1935,0.5566
301,17,148,22,90,0.5957,0.8706,0.1589,0.7255,0.1589,0.8706,0.2329,0.5782
302,12,157,23,85,0.6101,0.8722,0.1237,0.7441,0.1237,0.8722,0.1818,0.5107
303,17,153,17,90,0.6137,0.9,0.1589,0.7409,0.1589,0.9,0.2411,0.5754
304,12,159,21,85,0.6173,0.8833,0.1237,0.75,0.1237,0.8833,0.1846,0.5684
305,10,155,23,89,0.5957,0.8708,0.101,0.7346,0.101,0.8708,0.1515,0.5291
306,9,160,18,90,0.6101,0.8989,0.0909,0.7477,0.0909,0.8989,0.1429,0.569
307,8,155,21,93,0.5884,0.8807,0.0792,0.7311,0.0792,0.8807,0.1231,0.5267
308,9,159,18,91,0.6065,0.8983,0.09,0.7447,0.09,0.8983,0.1417,0.506
309,13,164,21,79,0.639,0.8865,0.1413,0.7664,0.1413,0.8865,0.2063,0.5556
310,13,158,19,87,0.6173,0.8927,0.13,0.7488,0.13,0.8927,0.197,0.5098
311,13,154,15,95,0.6029,0.9112,0.1204,0.7368,0.1204,0.9112,0.1912,0.5225
312,9,167,15,86,0.6354,0.9176,0.0947,0.7678,0.0947,0.9176,0.1513,0.5876
313,14,160,15,88,0.6282,0.9143,0.1373,0.7565,0.1373,0.9143,0.2137,0.5682
314,15,158,17,87,0.6245,0.9029,0.1471,0.7524,0.1471,0.9029,0.2239,0.5519
315,15,155,13,94,0.6137,0.9226,0.1376,0.7434,0.1376,0.9226,0.219,0.6199
316,15,164,19,79,0.6462,0.8962,0.1596,0.77,0.1596,0.8962,0.2344,0.5837
317,12,137,15,113,0.5379,0.9013,0.096,0.6816,0.096,0.9013,0.1579,0.5623
318,11,161,17,88,0.6209,0.9045,0.1111,0.7541,0.1111,0.9045,0.1732,0.554
319,12,159,21,85,0.6173,0.8833,0.1237,0.75,0.1237,0.8833,0.1846,0.5494
