round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
171,12,33,15,14,0.6081,0.4615,0.6875,0.4528,0.6651
172,18,28,10,18,0.6216,0.5,0.7368,0.5625,0.7032
173,13,31,19,11,0.5946,0.5417,0.62,0.4643,0.6533
174,12,35,12,15,0.6351,0.4444,0.7447,0.4706,0.6383
175,19,31,13,11,0.6757,0.6333,0.7045,0.6129,0.803
176,14,30,16,14,0.5946,0.5,0.6522,0.4828,0.653
177,11,38,11,14,0.6622,0.44,0.7755,0.4681,0.7445
178,12,36,14,12,0.6486,0.5,0.72,0.48,0.68
179,18,29,17,10,0.6351,0.6429,0.6304,0.5714,0.6801
180,18,32,13,11,0.6757,0.6207,0.7111,0.6,0.7464
181,14,34,13,13,0.6486,0.5185,0.7234,0.5185,0.6966
182,13,39,13,9,0.7027,0.5909,0.75,0.5417,0.8182
183,19,37,12,6,0.7568,0.76,0.7551,0.6786,0.8269
184,13,37,13,11,0.6757,0.5417,0.74,0.52,0.7467
185,21,38,7,8,0.7973,0.7241,0.8444,0.7368,0.8222
186,10,40,12,12,0.6757,0.4545,0.7692,0.4545,0.7177
187,23,26,16,9,0.6622,0.7188,0.619,0.6479,0.7314
188,22,33,12,7,0.7432,0.7586,0.7333,0.6984,0.7824
189,10,38,20,6,0.6486,0.625,0.6552,0.4348,0.7769
190,11,35,12,16,0.6216,0.4074,0.7447,0.44,0.7289
191,14,35,15,10,0.6622,0.5833,0.7,0.5283,0.7475
192,22,38,13,1,0.8108,0.9565,0.7451,0.7586,0.9071
193,16,37,10,11,0.7162,0.5926,0.7872,0.6038,0.7612
194,19,34,16,5,0.7162,0.7917,0.68,0.6441,0.7617
195,18,35,13,8,0.7162,0.6923,0.7292,0.6316,0.7548
196,13,40,10,11,0.7162,0.5417,0.8,0.5532,0.7808
197,17,29,14,14,0.6216,0.5484,0.6744,0.5484,0.6602
198,15,41,13,5,0.7568,0.75,0.7593,0.625,0.8602
199,15,38,13,8,0.7162,0.6522,0.7451,0.5882,0.7775
200,14,33,19,8,0.6351,0.6364,0.6346,0.5091,0.7142
201,13,32,20,9,0.6081,0.5909,0.6154,0.4727,0.7273
202,17,32,17,8,0.6622,0.68,0.6531,0.5763,0.7951
203,19,33,10,12,0.7027,0.6129,0.7674,0.6333,0.7449
204,13,37,12,12,0.6757,0.52,0.7551,0.52,0.6735
205,21,31,11,11,0.7027,0.6562,0.7381,0.6562,0.7679
206,13,31,14,16,0.5946,0.4483,0.6889,0.4643,0.6575
207,16,36,10,12,0.7027,0.5714,0.7826,0.5926,0.7764
208,11,38,14,11,0.6622,0.5,0.7308,0.4681,0.646
209,12,37,14,11,0.6622,0.5217,0.7255,0.4898,0.7289
210,15,35,12,12,0.6757,0.5556,0.7447,0.5556,0.7667
211,20,30,14,10,0.6757,0.6667,0.6818,0.625,0.7682
212,17,37,12,8,0.7297,0.68,0.7551,0.6296,0.8073
213,20,26,19,9,0.6216,0.6897,0.5778,0.5882,0.7019
214,17,29,21,7,0.6216,0.7083,0.58,0.5484,0.7275
215,20,29,13,12,0.6622,0.625,0.6905,0.6154,0.7478
216,18,33,16,7,0.6892,0.72,0.6735,0.6102,0.7714
217,20,43,6,5,0.8514,0.8,0.8776,0.7843,0.92
218,18,34,16,6,0.7027,0.75,0.68,0.6207,0.7842
219,16,36,15,7,0.7027,0.6957,0.7059,0.5926,0.7681
220,7,42,13,12,0.6622,0.3684,0.7636,0.359,0.7321
221,15,37,12,10,0.7027,0.6,0.7551,0.5769,0.8041
222,22,27,13,12,0.6622,0.6471,0.675,0.6377,0.8213
223,21,31,12,10,0.7027,0.6774,0.7209,0.6562,0.8065
224,13,37,13,11,0.6757,0.5417,0.74,0.52,0.7533
225,15,40,12,7,0.7432,0.6818,0.7692,0.6122,0.792
226,12,35,16,11,0.6351,0.5217,0.6863,0.4706,0.6812
227,15,37,15,7,0.7027,0.6818,0.7115,0.5769,0.792
228,19,34,10,11,0.7162,0.6333,0.7727,0.6441,0.7939
229,18,34,11,11,0.7027,0.6207,0.7556,0.6207,0.751
230,21,31,9,13,0.7027,0.6176,0.775,0.6562,0.7743
231,16,31,17,10,0.6351,0.6154,0.6458,0.5424,0.7628
232,19,28,16,11,0.6351,0.6333,0.6364,0.5846,0.6833
233,19,27,15,13,0.6216,0.5938,0.6429,0.5758,0.756
234,14,42,14,4,0.7568,0.7778,0.75,0.6087,0.7827
235,17,31,15,11,0.6486,0.6071,0.6739,0.5667,0.7104
236,21,25,16,12,0.6216,0.6364,0.6098,0.6,0.7214
237,11,40,13,10,0.6892,0.5238,0.7547,0.4889,0.7035
238,14,33,18,9,0.6351,0.6087,0.6471,0.5091,0.7298
239,10,32,20,12,0.5676,0.4545,0.6154,0.3846,0.6591
240,17,31,18,8,0.6486,0.68,0.6327,0.5667,0.7845
241,13,37,16,8,0.6757,0.619,0.6981,0.52,0.788
242,18,33,15,8,0.6892,0.6923,0.6875,0.6102,0.7973
243,15,34,15,10,0.6622,0.6,0.6939,0.5455,0.702
244,10,44,15,5,0.7297,0.6667,0.7458,0.5,0.7571
245,17,40,10,7,0.7703,0.7083,0.8,0.6667,0.8642
246,16,30,21,7,0.6216,0.6957,0.5882,0.5333,0.6939
247,17,33,11,13,0.6757,0.5667,0.75,0.5862,0.8265
248,14,25,19,16,0.527,0.4667,0.5682,0.4444,0.6197
249,20,37,9,8,0.7703,0.7143,0.8043,0.7018,0.8238
250,17,34,13,10,0.6892,0.6296,0.7234,0.5965,0.74
251,17,35,14,8,0.7027,0.68,0.7143,0.6071,0.7886
252,19,33,10,12,0.7027,0.6129,0.7674,0.6333,0.7959
253,14,38,10,12,0.7027,0.5385,0.7917,0.56,0.746
254,17,35,15,7,0.7027,0.7083,0.7,0.6071,0.805
255,7,40,19,8,0.6351,0.4667,0.678,0.3415,0.5932
256,13,32,15,14,0.6081,0.4815,0.6809,0.4727,0.6722
257,12,37,16,9,0.6622,0.5714,0.6981,0.4898,0.7008
258,16,29,20,9,0.6081,0.64,0.5918,0.5246,0.7078
259,24,31,15,4,0.7432,0.8571,0.6739,0.7164,0.8377
260,20,38,8,8,0.7838,0.7143,0.8261,0.7143,0.8952
