round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
486,15,72,6,9,0.8529,0.9231,0.625,0.9057,0.625,0.9231,0.6667,0.844
487,24,69,4,5,0.9118,0.9452,0.8276,0.9388,0.8276,0.9452,0.8421,0.8805
488,23,72,3,4,0.9314,0.96,0.8519,0.9536,0.8519,0.96,0.8679,0.9096
489,20,65,7,10,0.8333,0.9028,0.6667,0.8844,0.6667,0.9028,0.7018,0.8287
490,19,73,4,6,0.902,0.9481,0.76,0.9359,0.76,0.9481,0.7917,0.92
491,17,74,6,5,0.8922,0.925,0.7727,0.9308,0.7727,0.925,0.7556,0.8716
492,24,64,4,10,0.8627,0.9412,0.7059,0.9014,0.7059,0.9412,0.7742,0.856
493,18,64,7,13,0.8039,0.9014,0.5806,0.8649,0.5806,0.9014,0.6429,0.7783
494,20,71,2,9,0.8922,0.9726,0.6897,0.9281,0.6897,0.9726,0.7843,0.8281
495,26,66,5,5,0.902,0.9296,0.8387,0.9296,0.8387,0.9296,0.8387,0.8814
496,16,79,4,3,0.9314,0.9518,0.8421,0.9576,0.8421,0.9518,0.8205,0.9112
497,19,68,5,10,0.8529,0.9315,0.6552,0.9007,0.6552,0.9315,0.717,0.7709
498,29,66,2,5,0.9314,0.9706,0.8529,0.9496,0.8529,0.9706,0.8923,0.9057
499,25,63,5,9,0.8627,0.9265,0.7353,0.9,0.7353,0.9265,0.7812,0.8365
500,23,70,4,5,0.9118,0.9459,0.8214,0.9396,0.8214,0.9459,0.8364,0.9252
501,20,72,6,4,0.902,0.9231,0.8333,0.9351,0.8333,0.9231,0.8,0.8974
502,18,66,10,8,0.8235,0.8684,0.6923,0.88,0.6923,0.8684,0.6667,0.8401
503,16,79,2,5,0.9314,0.9753,0.7619,0.9576,0.7619,0.9753,0.8205,0.903
