round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
901,11,40,16,7,0.6892,0.6111,0.7143,0.4889,0.6677
902,15,27,20,12,0.5676,0.5556,0.5745,0.4839,0.6793
903,16,37,15,6,0.7162,0.7273,0.7115,0.6038,0.778
904,13,31,19,11,0.5946,0.5417,0.62,0.4643,0.6225
905,13,38,16,7,0.6892,0.65,0.7037,0.5306,0.7194
906,15,39,11,9,0.7297,0.625,0.78,0.6,0.8033
907,13,37,16,8,0.6757,0.619,0.6981,0.52,0.7332
908,20,27,15,12,0.6351,0.625,0.6429,0.597,0.7299
909,17,35,17,5,0.7027,0.7727,0.6731,0.6071,0.7194
910,15,36,12,11,0.6892,0.5769,0.75,0.566,0.6715
911,20,30,17,7,0.6757,0.7407,0.6383,0.625,0.773
912,20,28,14,12,0.6486,0.625,0.6667,0.6061,0.6644
913,17,39,10,8,0.7568,0.68,0.7959,0.6538,0.7755
914,18,29,15,12,0.6351,0.6,0.6591,0.5714,0.6644
915,13,34,17,10,0.6351,0.5652,0.6667,0.4906,0.6991
916,21,29,14,10,0.6757,0.6774,0.6744,0.6364,0.7209
917,24,30,9,11,0.7297,0.6857,0.7692,0.7059,0.7524
918,22,33,12,7,0.7432,0.7586,0.7333,0.6984,0.8107
919,19,29,19,7,0.6486,0.7308,0.6042,0.5937,0.7893
920,21,29,16,8,0.6757,0.7241,0.6444,0.6364,0.8123
921,26,21,13,14,0.6351,0.65,0.6176,0.6582,0.7176
922,18,32,13,11,0.6757,0.6207,0.7111,0.6,0.7226
923,25,29,15,5,0.7297,0.8333,0.6591,0.7143,0.8402
924,14,35,15,10,0.6622,0.5833,0.7,0.5283,0.7392
925,19,38,10,7,0.7703,0.7308,0.7917,0.6909,0.8277
926,17,40,12,5,0.7703,0.7727,0.7692,0.6667,0.785
927,13,41,13,7,0.7297,0.65,0.7593,0.5652,0.7093
928,17,39,12,6,0.7568,0.7391,0.7647,0.6538,0.7903
929,19,32,15,8,0.6892,0.7037,0.6809,0.623,0.7801
930,18,34,17,5,0.7027,0.7826,0.6667,0.6207,0.7417
931,16,37,11,10,0.7162,0.6154,0.7708,0.6038,0.7724
932,19,32,14,9,0.6892,0.6786,0.6957,0.623,0.6413
933,18,32,13,11,0.6757,0.6207,0.7111,0.6,0.6728
934,15,41,14,4,0.7568,0.7895,0.7455,0.625,0.7837
935,18,33,17,6,0.6892,0.75,0.66,0.6102,0.75
936,15,38,11,10,0.7162,0.6,0.7755,0.5882,0.7478
937,14,39,15,6,0.7162,0.7,0.7222,0.5714,0.762
938,29,27,12,6,0.7568,0.8286,0.6923,0.7632,0.7985
939,17,34,12,11,0.6892,0.6071,0.7391,0.5965,0.7337
940,16,37,13,8,0.7162,0.6667,0.74,0.6038,0.7492
941,11,41,15,7,0.7027,0.6111,0.7321,0.5,0.6974
942,21,37,13,3,0.7838,0.875,0.74,0.7241,0.8792
943,17,39,12,6,0.7568,0.7391,0.7647,0.6538,0.8031
944,20,36,11,7,0.7568,0.7407,0.766,0.6897,0.8779
945,13,36,19,6,0.6622,0.6842,0.6545,0.5098,0.711
946,19,34,15,6,0.7162,0.76,0.6939,0.6441,0.7976
947,11,31,16,16,0.5676,0.4074,0.6596,0.4074,0.6391
948,15,39,15,5,0.7297,0.75,0.7222,0.6,0.7657
949,16,40,13,5,0.7568,0.7619,0.7547,0.64,0.8095
950,17,30,18,9,0.6351,0.6538,0.625,0.5574,0.7292
951,15,35,14,10,0.6757,0.6,0.7143,0.5556,0.7151
952,19,28,21,6,0.6351,0.76,0.5714,0.5846,0.7322
953,15,35,20,4,0.6757,0.7895,0.6364,0.5556,0.7014
954,15,35,20,4,0.6757,0.7895,0.6364,0.5556,0.7426
955,21,39,10,4,0.8108,0.84,0.7959,0.75,0.8343
956,20,36,13,5,0.7568,0.8,0.7347,0.6897,0.8612
957,18,32,19,5,0.6757,0.7826,0.6275,0.6,0.7323
958,16,35,15,8,0.6892,0.6667,0.7,0.5818,0.7508
959,16,29,18,11,0.6081,0.5926,0.617,0.5246,0.6217
960,14,36,11,13,0.6757,0.5185,0.766,0.5385,0.6777
961,22,32,17,3,0.7297,0.88,0.6531,0.6875,0.8278
962,23,31,13,7,0.7297,0.7667,0.7045,0.697,0.8091
963,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.7557
964,22,29,15,8,0.6892,0.7333,0.6591,0.6567,0.75
965,16,34,14,10,0.6757,0.6154,0.7083,0.5714,0.7188
966,14,34,18,8,0.6486,0.6364,0.6538,0.5185,0.6932
967,20,30,13,11,0.6757,0.6452,0.6977,0.625,0.7442
968,19,35,14,6,0.7297,0.76,0.7143,0.6552,0.7347
969,20,39,9,6,0.7973,0.7692,0.8125,0.7273,0.7989
970,26,29,8,11,0.7432,0.7027,0.7838,0.7324,0.7831
971,16,40,12,6,0.7568,0.7273,0.7692,0.64,0.8269
972,16,40,12,6,0.7568,0.7273,0.7692,0.64,0.792
973,15,41,8,10,0.7568,0.6,0.8367,0.625,0.7918
974,15,40,14,5,0.7432,0.75,0.7407,0.6122,0.7861
975,21,29,16,8,0.6757,0.7241,0.6444,0.6364,0.6605
976,12,34,15,13,0.6216,0.48,0.6939,0.4615,0.7078
977,13,34,18,9,0.6351,0.5909,0.6538,0.4906,0.7133
978,13,40,15,6,0.7162,0.6842,0.7273,0.5532,0.8096
979,21,36,13,4,0.7703,0.84,0.7347,0.7119,0.84
980,17,33,17,7,0.6757,0.7083,0.66,0.5862,0.785
981,22,34,11,7,0.7568,0.7586,0.7556,0.7097,0.8467
982,16,29,21,8,0.6081,0.6667,0.58,0.5246,0.7075
983,18,32,16,8,0.6757,0.6923,0.6667,0.6,0.6538
984,21,32,15,6,0.7162,0.7778,0.6809,0.6667,0.7652
985,18,29,16,11,0.6351,0.6207,0.6444,0.5714,0.7249
986,16,34,18,6,0.6757,0.7273,0.6538,0.5714,0.7841
987,20,31,13,10,0.6892,0.6667,0.7045,0.6349,0.7538
988,19,35,15,5,0.7297,0.7917,0.7,0.6552,0.8
989,22,34,9,9,0.7568,0.7097,0.7907,0.7097,0.8357
990,18,31,18,7,0.6622,0.72,0.6327,0.5902,0.7102
991,18,37,14,5,0.7432,0.7826,0.7255,0.6545,0.8056
992,19,30,15,10,0.6622,0.6552,0.6667,0.6032,0.6981
993,11,30,19,14,0.5541,0.44,0.6122,0.4,0.6155
994,19,32,15,8,0.6892,0.7037,0.6809,0.623,0.7116
995,16,32,16,10,0.6486,0.6154,0.6667,0.5517,0.6514
996,17,41,12,4,0.7838,0.8095,0.7736,0.68,0.8652
997,11,36,17,10,0.6351,0.5238,0.6792,0.449,0.6846
998,19,28,15,12,0.6351,0.6129,0.6512,0.5846,0.7217
999,22,31,15,6,0.7162,0.7857,0.6739,0.6769,0.7484
1000,19,35,16,4,0.7297,0.8261,0.6863,0.6552,0.8338
