Side,CV_Acc,Test_Acc,Sensitivity,Specificity,F1_Macro,ROC_AUC,Boot_Acc_95CI,Boot_Sens_95CI,Boot_Spec_95CI,Boot_F1_95CI,Boot_AUC_95CI,Time
Left,98.85%,83.78%,76.92%,87.50%,82.21%,0.8486,"[75.68%, 91.89%]","[59.26%, 91.30%]","[78.26%, 95.83%]","[61.54%, 88.14%]","[0.7380, 0.9480]",270.7s
Right,99.39%,85.33%,55.00%,96.36%,78.63%,0.8427,"[76.00%, 93.33%]","[31.81%, 76.47%]","[90.57%, 100.00%]","[43.46%, 82.76%]","[0.6916, 0.9627]",182.0s
