Component,Is_Top3,Top3_Rank,Class0_Mean,Class0_Std,Class0_Median,Class1_Mean,Class1_Std,Class1_Median,T_Statistic,P_Value,MannWhitney_PVal,Cohens_d,Significance
PLS1,True,1,14.51883737167274,15.289599973252463,14.07218762739332,-14.51883737190516,22.117208852214123,-14.579149443758945,24.603310548676166,3.5400960690744065e-103,3.4007706374577985e-88,1.5258325461586866,***
PLS2,True,2,-5.684449209184245,13.534007190734977,-4.690716603505422,5.684449219719159,16.659236367034982,4.948403553146142,-12.06682992497182,2.1684156249117676e-31,2.6352961063077576e-30,0.7483530230458987,***
PLS3,True,3,3.1907125153125513,10.56775182315397,2.58462197291771,-3.1907125046005884,9.635123984075623,-2.1929119028467277,10.165784466783611,3.3659943373488327e-23,1.6888588742246362e-21,0.6304551884914411,***
PLS4,False,-1,-2.0882434246619086,7.628875396590818,-1.8404686323296673,2.0882434255781313,8.766503749336719,1.8538493761970112,-8.187387924143746,7.927440196238213e-16,3.338944508301188e-14,0.5077602434577158,***
PLS5,False,-1,2.114784931003005,12.624302701558067,2.718111507258313,-2.114784987268645,14.51399460655476,-3.2461026665147683,5.0091261877937985,6.442437522257122e-07,1.36193439051239e-07,0.3106528183852608,***
PLS6,False,-1,1.6024851543040786,7.248850562281807,1.7849351316664792,-1.6024851779635418,8.163111676862984,-1.6055946510597416,6.6880874796521494,3.713057894174671e-11,5.706848480052188e-12,0.4147775771872387,***
PLS7,False,-1,-1.441704836094808,9.09822214289842,-2.820267645147816,1.441704875851407,9.296269652362534,0.9081303005552221,-5.050008039934773,5.216467815675204e-07,6.230818303063074e-09,0.3131882031131626,***
PLS8,False,-1,-1.108050734905549,7.286402846829089,-0.4738024845011831,1.1080507525794543,7.3993101825345695,0.805720446577838,-4.861613726142523,1.3441883572779323e-06,1.3920746839686264e-05,0.30150448368846816,***
