round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
468,14,43,5,5,0.8507,0.7368,0.8958,0.7368,0.92
469,17,43,1,6,0.8955,0.7391,0.9773,0.8293,0.9121
470,17,40,1,9,0.8507,0.6538,0.9756,0.7727,0.9493
471,16,40,1,10,0.8358,0.6154,0.9756,0.7442,0.9315
472,26,31,4,6,0.8507,0.8125,0.8857,0.8387,0.9295
473,11,44,5,7,0.8209,0.6111,0.898,0.6471,0.9048
474,12,45,2,8,0.8507,0.6,0.9574,0.7059,0.8755
475,24,33,4,6,0.8507,0.8,0.8919,0.8276,0.9541
476,14,47,1,5,0.9104,0.7368,0.9792,0.8235,0.9298
477,19,38,3,7,0.8507,0.7308,0.9268,0.7917,0.9456
478,20,36,1,10,0.8358,0.6667,0.973,0.7843,0.964
479,14,44,4,5,0.8657,0.7368,0.9167,0.7568,0.9167
480,21,38,3,5,0.8806,0.8077,0.9268,0.84,0.9681
481,13,45,1,8,0.8657,0.619,0.9783,0.7429,0.9306
482,16,44,0,7,0.8955,0.6957,1.0,0.8205,0.9723
483,12,44,2,9,0.8358,0.5714,0.9565,0.6857,0.9327
484,14,39,4,10,0.791,0.5833,0.907,0.6667,0.9089
485,10,46,2,9,0.8358,0.5263,0.9583,0.6452,0.8191
486,10,49,3,5,0.8806,0.6667,0.9423,0.7143,0.9385
487,11,45,6,5,0.8358,0.6875,0.8824,0.6667,0.9154
488,17,39,2,9,0.8358,0.6538,0.9512,0.7556,0.909
489,22,33,3,9,0.8209,0.7097,0.9167,0.7857,0.8746
490,15,37,1,14,0.7761,0.5172,0.9737,0.6667,0.9247
491,18,35,1,13,0.791,0.5806,0.9722,0.72,0.8952
492,19,35,4,9,0.806,0.6786,0.8974,0.7451,0.8571
493,17,41,5,4,0.8657,0.8095,0.8913,0.7907,0.9161
494,15,39,4,9,0.806,0.625,0.907,0.6977,0.907
495,11,45,3,8,0.8358,0.5789,0.9375,0.6667,0.8575
496,16,42,3,6,0.8657,0.7273,0.9333,0.7805,0.9576
497,14,46,3,4,0.8955,0.7778,0.9388,0.8,0.949
498,11,43,4,9,0.806,0.55,0.9149,0.6286,0.8543
499,19,37,3,8,0.8358,0.7037,0.925,0.7755,0.9204
500,14,44,3,6,0.8657,0.7,0.9362,0.7568,0.8511
501,26,30,5,6,0.8358,0.8125,0.8571,0.8254,0.9357
502,18,37,8,4,0.8209,0.8182,0.8222,0.75,0.9071
503,13,45,2,7,0.8657,0.65,0.9574,0.7429,0.8872
504,21,38,3,5,0.8806,0.8077,0.9268,0.84,0.9456
505,14,41,2,10,0.8209,0.5833,0.9535,0.7,0.875
506,21,40,3,3,0.9104,0.875,0.9302,0.875,0.9622
507,19,39,1,8,0.8657,0.7037,0.975,0.8085,0.9083
508,13,43,3,8,0.8358,0.619,0.9348,0.7027,0.8385
509,15,43,3,6,0.8657,0.7143,0.9348,0.7692,0.9503
510,12,44,5,6,0.8358,0.6667,0.898,0.6857,0.89
511,18,38,2,9,0.8358,0.6667,0.95,0.766,0.9176
512,14,44,2,7,0.8657,0.6667,0.9565,0.7568,0.882
513,17,38,2,10,0.8209,0.6296,0.95,0.7391,0.8546
514,17,41,5,4,0.8657,0.8095,0.8913,0.7907,0.9627
515,18,40,5,4,0.8657,0.8182,0.8889,0.8,0.9687
516,17,37,6,7,0.806,0.7083,0.8605,0.7234,0.936
517,13,48,0,6,0.9104,0.6842,1.0,0.8125,0.8958
518,10,36,2,19,0.6866,0.3448,0.9474,0.4878,0.8176
519,18,42,2,5,0.8955,0.7826,0.9545,0.8372,0.9457
520,16,39,6,6,0.8209,0.7273,0.8667,0.7273,0.8879
521,13,47,4,3,0.8955,0.8125,0.9216,0.7879,0.9559
