round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
776,15,42,5,13,0.76,0.5357,0.8936,0.625,0.8875
777,12,50,5,8,0.8267,0.6,0.9091,0.6486,0.8391
778,13,43,8,11,0.7467,0.5417,0.8431,0.5778,0.8007
779,17,44,7,7,0.8133,0.7083,0.8627,0.7083,0.8578
780,6,49,5,15,0.7333,0.2857,0.9074,0.375,0.9118
781,11,53,4,7,0.8533,0.6111,0.9298,0.6667,0.9444
782,12,46,5,12,0.7733,0.5,0.902,0.5854,0.8913
783,10,52,5,8,0.8267,0.5556,0.9123,0.6061,0.8908
784,10,55,0,10,0.8667,0.5,1.0,0.6667,0.9618
785,10,49,7,9,0.7867,0.5263,0.875,0.5556,0.8195
786,10,51,7,7,0.8133,0.5882,0.8793,0.5882,0.7495
787,10,55,6,4,0.8667,0.7143,0.9016,0.6667,0.9215
788,14,50,4,7,0.8533,0.6667,0.9259,0.7179,0.8898
789,14,45,8,8,0.7867,0.6364,0.8491,0.6364,0.8731
790,16,48,6,5,0.8533,0.7619,0.8889,0.7442,0.8571
791,9,46,8,12,0.7333,0.4286,0.8519,0.4737,0.7399
792,21,43,6,5,0.8533,0.8077,0.8776,0.7925,0.9019
793,17,44,7,7,0.8133,0.7083,0.8627,0.7083,0.8693
794,14,44,2,15,0.7733,0.4828,0.9565,0.6222,0.8456
795,7,51,1,16,0.7733,0.3043,0.9808,0.4516,0.9339
796,14,41,9,11,0.7333,0.56,0.82,0.5833,0.8088
797,10,49,4,12,0.7867,0.4545,0.9245,0.5556,0.8799
798,6,55,9,5,0.8133,0.5455,0.8594,0.4615,0.8366
799,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.9503
800,8,49,10,8,0.76,0.5,0.8305,0.4706,0.8485
801,4,58,4,9,0.8267,0.3077,0.9355,0.381,0.9243
802,11,52,5,7,0.84,0.6111,0.9123,0.6471,0.9201
803,10,49,5,11,0.7867,0.4762,0.9074,0.5556,0.8774
804,13,49,8,5,0.8267,0.7222,0.8596,0.6667,0.9269
805,12,49,6,8,0.8133,0.6,0.8909,0.6316,0.8545
806,9,50,5,11,0.7867,0.45,0.9091,0.5294,0.8818
807,18,39,9,9,0.76,0.6667,0.8125,0.6667,0.8681
808,7,52,3,13,0.7867,0.35,0.9455,0.4667,0.8855
809,10,48,6,11,0.7733,0.4762,0.8889,0.5405,0.8995
810,10,53,4,8,0.84,0.5556,0.9298,0.625,0.8957
811,11,55,4,5,0.88,0.6875,0.9322,0.7097,0.9576
812,12,54,4,5,0.88,0.7059,0.931,0.7273,0.9138
813,13,47,9,6,0.8,0.6842,0.8393,0.6341,0.8938
814,9,52,5,9,0.8133,0.5,0.9123,0.5625,0.8255
815,12,53,6,4,0.8667,0.75,0.8983,0.7059,0.8877
816,8,43,14,10,0.68,0.4444,0.7544,0.4,0.807
817,4,45,14,12,0.6533,0.25,0.7627,0.2353,0.6758
818,13,52,4,6,0.8667,0.6842,0.9286,0.7222,0.9624
819,9,49,4,13,0.7733,0.4091,0.9245,0.5143,0.8774
820,8,49,4,14,0.76,0.3636,0.9245,0.4706,0.8593
821,14,50,3,8,0.8533,0.6364,0.9434,0.7179,0.8628
822,10,48,5,12,0.7733,0.4545,0.9057,0.5405,0.8722
823,14,50,7,4,0.8533,0.7778,0.8772,0.7179,0.8996
824,13,43,5,14,0.7467,0.4815,0.8958,0.5778,0.8503
825,11,47,8,9,0.7733,0.55,0.8545,0.5641,0.8018
826,11,53,6,5,0.8533,0.6875,0.8983,0.6667,0.9174
827,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.9099
828,14,48,4,9,0.8267,0.6087,0.9231,0.6829,0.8754
829,5,52,3,15,0.76,0.25,0.9455,0.3571,0.8691
830,13,48,8,6,0.8133,0.6842,0.8571,0.65,0.938
831,16,49,5,5,0.8667,0.7619,0.9074,0.7619,0.9559
832,12,44,3,16,0.7467,0.4286,0.9362,0.5581,0.9043
833,11,51,4,9,0.8267,0.55,0.9273,0.6286,0.9464
834,14,44,6,11,0.7733,0.56,0.88,0.6222,0.8184
835,13,49,5,8,0.8267,0.619,0.9074,0.6667,0.9092
836,11,52,3,9,0.84,0.55,0.9455,0.6471,0.9473
837,11,54,4,6,0.8667,0.6471,0.931,0.6875,0.9128
838,9,51,6,9,0.8,0.5,0.8947,0.5455,0.8713
839,11,51,5,8,0.8267,0.5789,0.9107,0.6286,0.891
840,8,45,8,14,0.7067,0.3636,0.8491,0.4211,0.8148
841,8,50,5,12,0.7733,0.4,0.9091,0.4848,0.9227
842,10,40,11,14,0.6667,0.4167,0.7843,0.4444,0.7639
843,12,48,7,8,0.8,0.6,0.8727,0.6154,0.9127
844,9,56,1,9,0.8667,0.5,0.9825,0.6429,0.8616
845,7,47,5,16,0.72,0.3043,0.9038,0.4,0.8395
846,17,47,5,6,0.8533,0.7391,0.9038,0.7556,0.9423
847,12,45,6,12,0.76,0.5,0.8824,0.5714,0.902
848,11,51,4,9,0.8267,0.55,0.9273,0.6286,0.9082
849,14,47,10,4,0.8133,0.7778,0.8246,0.6667,0.9113
850,13,46,6,10,0.7867,0.5652,0.8846,0.619,0.7843
851,7,52,10,6,0.7867,0.5385,0.8387,0.4667,0.7779
852,6,50,8,11,0.7467,0.3529,0.8621,0.3871,0.713
853,11,48,6,10,0.7867,0.5238,0.8889,0.5789,0.8818
854,13,48,7,7,0.8133,0.65,0.8727,0.65,0.8955
855,16,50,6,3,0.88,0.8421,0.8929,0.7805,0.9699
856,7,50,3,15,0.76,0.3182,0.9434,0.4375,0.8208
857,9,52,8,6,0.8133,0.6,0.8667,0.5625,0.8867
858,11,46,7,11,0.76,0.5,0.8679,0.55,0.8756
859,10,50,4,11,0.8,0.4762,0.9259,0.5714,0.8228
860,15,47,7,6,0.8267,0.7143,0.8704,0.6977,0.8395
