round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
320,24,45,18,12,0.697,0.7143,0.6667,0.75,0.6667,0.7143,0.6154,0.7981
321,26,52,9,12,0.7879,0.8525,0.6842,0.832,0.6842,0.8525,0.7123,0.8663
322,15,60,13,11,0.7576,0.8219,0.5769,0.8333,0.5769,0.8219,0.5556,0.8398
323,27,51,16,5,0.7879,0.7612,0.8438,0.8293,0.8438,0.7612,0.72,0.9062
324,21,57,12,9,0.7879,0.8261,0.7,0.8444,0.7,0.8261,0.6667,0.8715
325,21,60,6,12,0.8182,0.9091,0.6364,0.8696,0.6364,0.9091,0.7,0.8214
326,27,53,8,11,0.8081,0.8689,0.7105,0.848,0.7105,0.8689,0.7397,0.849
327,19,61,7,12,0.8081,0.8971,0.6129,0.8652,0.6129,0.8971,0.6667,0.8662
328,27,48,9,15,0.7576,0.8421,0.6429,0.8,0.6429,0.8421,0.6923,0.8325
329,18,53,15,13,0.7172,0.7794,0.5806,0.791,0.5806,0.7794,0.5625,0.7903
330,21,54,12,12,0.7576,0.8182,0.6364,0.8182,0.6364,0.8182,0.6364,0.8062
331,26,53,8,12,0.798,0.8689,0.6842,0.8413,0.6842,0.8689,0.7222,0.8443
332,31,43,14,11,0.7475,0.7544,0.7381,0.7748,0.7381,0.7544,0.7126,0.8968
333,27,56,7,9,0.8384,0.8889,0.75,0.875,0.75,0.8889,0.7714,0.9272
334,23,59,6,11,0.8283,0.9077,0.6765,0.8741,0.6765,0.9077,0.7302,0.9167
335,27,55,11,6,0.8283,0.8333,0.8182,0.8661,0.8182,0.8333,0.7606,0.871
336,29,48,11,11,0.7778,0.8136,0.725,0.8136,0.725,0.8136,0.725,0.8496
337,28,53,9,9,0.8182,0.8548,0.7568,0.8548,0.7568,0.8548,0.7568,0.8945
338,23,55,10,11,0.7879,0.8462,0.6765,0.8397,0.6765,0.8462,0.6866,0.8502
339,29,47,11,12,0.7677,0.8103,0.7073,0.8034,0.7073,0.8103,0.716,0.8684
340,28,50,12,9,0.7879,0.8065,0.7568,0.8264,0.7568,0.8065,0.7273,0.8195
341,25,52,10,12,0.7778,0.8387,0.6757,0.8254,0.6757,0.8387,0.6944,0.8309
342,26,53,12,8,0.798,0.8154,0.7647,0.8413,0.7647,0.8154,0.7222,0.848
343,38,40,12,9,0.7879,0.7692,0.8085,0.7921,0.8085,0.7692,0.7835,0.876
344,17,51,15,16,0.6869,0.7727,0.5152,0.7669,0.5152,0.7727,0.5231,0.7112
345,23,56,10,10,0.798,0.8485,0.697,0.8485,0.697,0.8485,0.697,0.8384
346,22,53,12,12,0.7576,0.8154,0.6471,0.8154,0.6471,0.8154,0.6471,0.8249
347,24,51,15,9,0.7576,0.7727,0.7273,0.8095,0.7273,0.7727,0.6667,0.8338
348,20,51,10,18,0.7172,0.8361,0.5263,0.7846,0.5263,0.8361,0.5882,0.7912
349,21,62,10,6,0.8384,0.8611,0.7778,0.8857,0.7778,0.8611,0.7241,0.9408
350,16,62,12,9,0.7879,0.8378,0.64,0.8552,0.64,0.8378,0.6038,0.8292
351,26,56,8,9,0.8283,0.875,0.7429,0.8682,0.7429,0.875,0.7536,0.8723
352,26,53,13,7,0.798,0.803,0.7879,0.8413,0.7879,0.803,0.7222,0.8728
353,28,52,7,12,0.8081,0.8814,0.7,0.8455,0.7,0.8814,0.7467,0.9042
354,28,55,7,9,0.8384,0.8871,0.7568,0.873,0.7568,0.8871,0.7778,0.905
355,25,58,8,8,0.8384,0.8788,0.7576,0.8788,0.7576,0.8788,0.7576,0.8756
356,16,56,12,15,0.7273,0.8235,0.5161,0.8058,0.5161,0.8235,0.5424,0.7685
