Model,AUC_Mean,AUC_SD,AUC_Median,Accuracy_Mean,Accuracy_SD,F1_Mean,F1_SD,Sensitivity_Mean,Specificity_Mean
MLP,0.9559356999999999,0.0376039515943471,0.9591,0.9463533,0.02969938162841106,0.9240764999999999,0.0449682131927654,0.9480122,0.9451829
MobileNet,0.9485842999999999,0.040369230405223236,0.95225,0.9463533,0.02969938162841106,0.9240764999999999,0.0449682131927654,0.9480122,0.9451829
PointNet,0.9613356,0.03411244659416853,0.9649,0.9109835000000001,0.037621065877377804,0.861247,0.06326415960873898,0.8002354,0.9720713000000001
ResNet+AE,0.951452,0.040071809492459906,0.9551,0.9294649999999999,0.034691162779589856,0.9028827999999999,0.05041648206846647,0.9480122,0.9188962
ResNet,0.9485336999999999,0.04162219208919684,0.9531499999999999,0.9463533,0.02969938162841106,0.9240764999999999,0.0449682131927654,0.9480122,0.9451829
SqueezeNet,0.9531119,0.03800229846193517,0.9569,0.9463533,0.02969938162841106,0.9240764999999999,0.0449682131927654,0.9480122,0.9451829
SVM,0.9385852,0.045556426779983526,0.9440500000000001,0.9463533,0.02969938162841106,0.9240764999999999,0.0449682131927654,0.9480122,0.9451829
