Component,Top_Rank,Step_Index,SD_Value,Mean_Displacement_mm,Max_Displacement_mm,Mean_Inward_Atrophy_mm,Mean_Outward_Expansion_mm
PLS1,1,0,-3.0,0.07386648116818471,0.1598584181371555,0.01632514524891667,0.015510689633851564
PLS1,1,1,-2.9,0.07140426512924523,0.15452980419925033,0.015780973740619448,0.01499366664605651
PLS1,1,2,-2.8,0.06894204909030574,0.14920119026134515,0.015236802232322225,0.014476643658261458
PLS1,1,3,-2.7,0.06647983305136625,0.14387257632343997,0.014692630724025003,0.013959620670466409
PLS1,1,4,-2.6,0.06401761701242677,0.13854396238553482,0.014148459215727782,0.013442597682671356
PLS1,1,5,-2.5,0.06155540097348727,0.1332153484476296,0.013604287707430562,0.012925574694876305
PLS1,1,6,-2.4,0.05909318493454778,0.12788673450972443,0.013060116199133337,0.01240855170708125
PLS1,1,7,-2.3,0.05663096889560828,0.12255812057181921,0.012515944690836115,0.011891528719286198
PLS1,1,8,-2.2,0.0541687528566688,0.11722950663391404,0.011971773182538892,0.011374505731491149
PLS1,1,9,-2.1,0.05170653681772931,0.11190089269600888,0.01142760167424167,0.010857482743696096
PLS1,1,10,-2.0,0.04924432077878981,0.10657227875810368,0.010883430165944449,0.010340459755901043
PLS1,1,11,-1.9,0.04678210473985032,0.10124366482019849,0.010339258657647224,0.00982343676810599
PLS1,1,12,-1.8,0.04431988870091084,0.09591505088229334,0.009795087149350002,0.009306413780310939
PLS1,1,13,-1.7,0.041857672661971344,0.09058643694438812,0.00925091564105278,0.008789390792515887
PLS1,1,14,-1.6,0.03939545662303185,0.08525782300648295,0.00870674413275556,0.008272367804720834
PLS1,1,15,-1.5,0.03693324058409236,0.07992920906857778,0.008162572624458336,0.007755344816925782
PLS1,1,16,-1.4,0.03447102454515287,0.07460059513067258,0.007618401116161112,0.007238321829130729
PLS1,1,17,-1.3,0.03200880850621338,0.06927198119276741,0.007074229607863891,0.006721298841335679
PLS1,1,18,-1.2,0.02954659246727389,0.06394336725486219,0.006530058099566669,0.006204275853540625
PLS1,1,19,-1.1,0.0270843764283344,0.05861475331695702,0.005985886591269446,0.005687252865745575
