round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
588,21,31,17,5,0.7027,0.8077,0.6458,0.6563,0.7332
589,17,36,17,4,0.7162,0.8095,0.6792,0.6182,0.788
590,19,34,17,4,0.7162,0.8261,0.6667,0.6441,0.7707
591,15,37,15,7,0.7027,0.6818,0.7115,0.5769,0.7456
592,22,31,14,7,0.7162,0.7586,0.6889,0.6769,0.7682
593,13,31,24,6,0.5946,0.6842,0.5636,0.4643,0.7024
594,17,31,15,11,0.6486,0.6071,0.6739,0.5667,0.7438
595,18,35,15,6,0.7162,0.75,0.7,0.6316,0.7821
596,16,41,13,4,0.7703,0.8,0.7593,0.6531,0.8329
597,25,27,17,5,0.7027,0.8333,0.6136,0.6944,0.7648
598,21,34,14,5,0.7432,0.8077,0.7083,0.6885,0.7684
599,21,39,12,2,0.8108,0.913,0.7647,0.75,0.7711
600,15,41,11,7,0.7568,0.6818,0.7885,0.625,0.8038
601,17,37,15,5,0.7297,0.7727,0.7115,0.6296,0.778
602,17,37,17,3,0.7297,0.85,0.6852,0.6296,0.8222
603,18,30,20,6,0.6486,0.75,0.6,0.5806,0.7
604,22,32,13,7,0.7297,0.7586,0.7111,0.6875,0.7816
605,24,31,14,5,0.7432,0.8276,0.6889,0.7164,0.8448
606,24,30,14,6,0.7297,0.8,0.6818,0.7059,0.8019
607,25,32,12,5,0.7703,0.8333,0.7273,0.7463,0.7973
608,23,39,7,5,0.8378,0.8214,0.8478,0.7931,0.88
609,17,33,17,7,0.6757,0.7083,0.66,0.5862,0.6733
610,21,34,18,1,0.7432,0.9545,0.6538,0.6885,0.7963
611,20,37,15,2,0.7703,0.9091,0.7115,0.7018,0.8287
612,18,35,15,6,0.7162,0.75,0.7,0.6316,0.7771
613,22,30,22,0,0.7027,1.0,0.5769,0.6667,0.7985
614,21,37,16,0,0.7838,1.0,0.6981,0.7241,0.8491
615,21,26,19,8,0.6351,0.7241,0.5778,0.6087,0.6617
616,18,33,16,7,0.6892,0.72,0.6735,0.6102,0.7343
617,19,35,18,2,0.7297,0.9048,0.6604,0.6552,0.7884
618,18,31,20,5,0.6622,0.7826,0.6078,0.5902,0.7067
619,23,32,15,4,0.7432,0.8519,0.6809,0.7077,0.8148
620,20,34,16,4,0.7297,0.8333,0.68,0.6667,0.8375
621,23,29,19,3,0.7027,0.8846,0.6042,0.6765,0.7596
622,20,29,15,10,0.6622,0.6667,0.6591,0.6154,0.636
623,22,27,12,13,0.6622,0.6286,0.6923,0.6377,0.7366
624,16,37,12,9,0.7162,0.64,0.7551,0.6038,0.8282
625,14,36,16,8,0.6757,0.6364,0.6923,0.5385,0.7185
626,15,25,27,7,0.5405,0.6818,0.4808,0.4688,0.6622
627,19,34,14,7,0.7162,0.7308,0.7083,0.6441,0.7035
628,16,23,30,5,0.527,0.7619,0.434,0.4776,0.6316
629,28,33,10,3,0.8243,0.9032,0.7674,0.8116,0.8695
630,27,22,17,8,0.6622,0.7714,0.5641,0.6835,0.6989
631,22,33,12,7,0.7432,0.7586,0.7333,0.6984,0.7877
632,19,32,17,6,0.6892,0.76,0.6531,0.623,0.7404
633,21,28,17,8,0.6622,0.7241,0.6222,0.6269,0.7199
634,16,36,15,7,0.7027,0.6957,0.7059,0.5926,0.8086
