Model,AUC_Mean,AUC_SD,AUC_Median,Accuracy_Mean,Accuracy_SD,F1_Mean,F1_SD,Sensitivity_Mean,Specificity_Mean
MLP,0.4965913,0.1780539319260038,0.5,0.7293861999999999,0.12985631039560613,0.0,0.0,0.0,1.0
MobileNet,0.41828689999999996,0.19771168452671176,0.4167,0.5443714,0.15197709749182603,0.0,0.0,0.0,0.7448342
PointNet,0.3354177,0.18996827418469117,0.3333,0.5443714,0.15197709749182603,0.0,0.0,0.0,0.7448342
ResNet+AE,0.5402256,0.17560256024511714,0.5556,0.5443714,0.15197709749182603,0.0,0.0,0.0,0.7448342
ResNet,0.37790589999999996,0.19004639042925808,0.375,0.5443714,0.15197709749182603,0.0,0.0,0.0,0.7448342
SqueezeNet,0.5841413,0.17075978895603613,0.5833,0.5481885999999999,0.14770877919081182,0.2535393,0.2201497032600998,0.3246001,0.6291848999999999
SVM,0.4980566,0.17189003000884023,0.5,0.6401105,0.146126709125163,0.0,0.0,0.0,0.8761862
