round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
655,8,50,1,9,0.8529,0.4706,0.9804,0.6154,0.8281
656,5,56,1,6,0.8971,0.4545,0.9825,0.5882,0.9458
657,9,40,3,16,0.7206,0.36,0.9302,0.4865,0.713
658,8,50,1,9,0.8529,0.4706,0.9804,0.6154,0.823
659,6,48,3,11,0.7941,0.3529,0.9412,0.4615,0.7734
660,5,49,1,13,0.7941,0.2778,0.98,0.4167,0.8611
661,10,40,2,16,0.7353,0.3846,0.9524,0.5263,0.8159
662,0,51,2,15,0.75,0.0,0.9623,0.0,0.6616
663,8,50,3,7,0.8529,0.5333,0.9434,0.6154,0.8371
664,6,51,2,9,0.8382,0.4,0.9623,0.5217,0.905
665,7,49,3,9,0.8235,0.4375,0.9423,0.5385,0.8101
666,5,46,3,14,0.75,0.2632,0.9388,0.3704,0.695
667,11,50,0,7,0.8971,0.6111,1.0,0.7586,0.8722
668,7,51,1,9,0.8529,0.4375,0.9808,0.5833,0.893
669,5,52,0,11,0.8382,0.3125,1.0,0.4762,0.8101
670,9,50,1,8,0.8676,0.5294,0.9804,0.6667,0.812
671,8,48,1,11,0.8235,0.4211,0.9796,0.5714,0.8249
672,8,49,1,10,0.8382,0.4444,0.98,0.5926,0.89
673,4,51,2,11,0.8088,0.2667,0.9623,0.381,0.7195
674,10,48,1,9,0.8529,0.5263,0.9796,0.6667,0.8271
675,5,49,2,12,0.7941,0.2941,0.9608,0.4167,0.8074
676,7,43,2,16,0.7353,0.3043,0.9556,0.4375,0.8203
677,5,45,3,15,0.7353,0.25,0.9375,0.3571,0.7542
678,6,49,0,13,0.8088,0.3158,1.0,0.48,0.8561
679,8,52,1,7,0.8824,0.5333,0.9811,0.6667,0.8881
680,6,46,0,16,0.7647,0.2727,1.0,0.4286,0.7579
681,8,49,1,10,0.8382,0.4444,0.98,0.5926,0.8811
682,5,50,2,11,0.8088,0.3125,0.9615,0.4348,0.7939
683,3,52,0,13,0.8088,0.1875,1.0,0.3158,0.8041
684,3,48,1,16,0.75,0.1579,0.9796,0.2609,0.6745
685,9,46,3,10,0.8088,0.4737,0.9388,0.5806,0.8786
686,9,49,1,9,0.8529,0.5,0.98,0.6429,0.9
687,3,51,3,11,0.7941,0.2143,0.9444,0.3,0.8598
688,4,51,1,12,0.8088,0.25,0.9808,0.381,0.7416
689,4,38,3,23,0.6176,0.1481,0.9268,0.2353,0.7453
690,10,43,1,14,0.7794,0.4167,0.9773,0.5714,0.812
691,6,53,2,7,0.8676,0.4615,0.9636,0.5714,0.807
692,6,47,2,13,0.7794,0.3158,0.9592,0.4444,0.7766
693,9,49,1,9,0.8529,0.5,0.98,0.6429,0.8289
694,8,49,2,9,0.8382,0.4706,0.9608,0.5926,0.9193
695,8,45,1,14,0.7794,0.3636,0.9783,0.5161,0.7283
696,8,49,0,11,0.8382,0.4211,1.0,0.5926,0.7798
697,3,49,2,14,0.7647,0.1765,0.9608,0.2727,0.6759
698,7,49,0,12,0.8235,0.3684,1.0,0.5385,0.8485
699,13,43,1,11,0.8235,0.5417,0.9773,0.6842,0.8977
700,5,50,1,12,0.8088,0.2941,0.9804,0.4348,0.8201
701,5,54,1,8,0.8676,0.3846,0.9818,0.5263,0.8615
702,9,42,1,16,0.75,0.36,0.9767,0.5143,0.7888
703,9,54,1,4,0.9265,0.6923,0.9818,0.7826,0.9364
704,3,50,1,14,0.7794,0.1765,0.9804,0.2857,0.7082
705,5,48,2,13,0.7794,0.2778,0.96,0.4,0.7233
706,5,48,3,12,0.7794,0.2941,0.9412,0.4,0.8651
707,5,48,3,12,0.7794,0.2941,0.9412,0.4,0.767
708,5,53,1,9,0.8529,0.3571,0.9815,0.5,0.8763
709,8,42,1,17,0.7353,0.32,0.9767,0.4706,0.6837
710,5,45,2,16,0.7353,0.2381,0.9574,0.3571,0.7619
711,7,50,3,8,0.8382,0.4667,0.9434,0.56,0.8063
712,4,47,2,15,0.75,0.2105,0.9592,0.32,0.6853
713,9,48,1,10,0.8382,0.4737,0.9796,0.6207,0.7175
714,8,43,3,14,0.75,0.3636,0.9348,0.4848,0.6966
715,5,52,0,11,0.8382,0.3125,1.0,0.4762,0.851
716,5,51,1,11,0.8235,0.3125,0.9808,0.4545,0.8347
717,9,42,3,14,0.75,0.3913,0.9333,0.5143,0.8251
718,8,46,3,11,0.7941,0.4211,0.9388,0.5333,0.8818
719,4,46,5,13,0.7353,0.2353,0.902,0.3077,0.7958
720,5,56,0,7,0.8971,0.4167,1.0,0.5882,0.808
721,5,53,2,8,0.8529,0.3846,0.9636,0.5,0.8203
722,9,51,2,6,0.8824,0.6,0.9623,0.6923,0.8792
723,6,46,0,16,0.7647,0.2727,1.0,0.4286,0.8715
724,8,53,2,5,0.8971,0.6154,0.9636,0.6957,0.9608
725,5,52,3,8,0.8382,0.3846,0.9455,0.4762,0.6776
726,4,50,7,7,0.7941,0.3636,0.8772,0.3636,0.7225
727,5,44,3,16,0.7206,0.2381,0.9362,0.3448,0.8126
728,6,50,3,9,0.8235,0.4,0.9434,0.5,0.7811
729,8,50,3,7,0.8529,0.5333,0.9434,0.6154,0.8491
730,7,46,0,15,0.7794,0.3182,1.0,0.4828,0.8291
731,4,50,0,14,0.7941,0.2222,1.0,0.3636,0.77
732,8,41,4,15,0.7206,0.3478,0.9111,0.4571,0.7101
733,11,46,1,10,0.8382,0.5238,0.9787,0.6667,0.8886
734,5,49,3,11,0.7941,0.3125,0.9423,0.4167,0.8215
735,9,43,0,16,0.7647,0.36,1.0,0.5294,0.8279
736,10,44,2,12,0.7941,0.4545,0.9565,0.5882,0.9051
737,6,53,1,8,0.8676,0.4286,0.9815,0.5714,0.8677
738,6,53,0,9,0.8676,0.4,1.0,0.5714,0.7296
739,2,47,5,14,0.7206,0.125,0.9038,0.1739,0.7079
740,2,54,0,12,0.8235,0.1429,1.0,0.25,0.5026
741,8,47,3,10,0.8088,0.4444,0.94,0.5517,0.84
742,6,48,5,9,0.7941,0.4,0.9057,0.4615,0.7799
743,4,46,2,16,0.7353,0.2,0.9583,0.3077,0.7964
744,5,56,1,6,0.8971,0.4545,0.9825,0.5882,0.9234
745,12,45,3,8,0.8382,0.6,0.9375,0.6857,0.8214
746,8,50,0,10,0.8529,0.4444,1.0,0.6154,0.8389
747,6,45,3,14,0.75,0.3,0.9375,0.4138,0.7646
748,7,50,4,7,0.8382,0.5,0.9259,0.56,0.8677
749,9,48,3,8,0.8382,0.5294,0.9412,0.6207,0.7774
750,8,49,1,10,0.8382,0.4444,0.98,0.5926,0.8411
751,8,47,2,11,0.8088,0.4211,0.9592,0.5517,0.8539
752,4,49,2,13,0.7794,0.2353,0.9608,0.3478,0.6344
753,6,53,0,9,0.8676,0.4,1.0,0.5714,0.8189
754,9,48,4,7,0.8382,0.5625,0.9231,0.6207,0.8317
755,5,50,3,10,0.8088,0.3333,0.9434,0.4348,0.7667
756,5,49,1,13,0.7941,0.2778,0.98,0.4167,0.6556
757,6,50,3,9,0.8235,0.4,0.9434,0.5,0.7937
758,8,46,0,14,0.7941,0.3636,1.0,0.5333,0.7717
759,6,48,3,11,0.7941,0.3529,0.9412,0.4615,0.7682
760,5,45,0,18,0.7353,0.2174,1.0,0.3571,0.744
761,4,50,1,13,0.7941,0.2353,0.9804,0.3636,0.7982
762,8,49,2,9,0.8382,0.4706,0.9608,0.5926,0.7416
763,11,48,3,6,0.8676,0.6471,0.9412,0.7097,0.8858
764,8,49,3,8,0.8382,0.5,0.9423,0.5926,0.8269
765,8,47,0,13,0.8088,0.381,1.0,0.5517,0.7862
766,12,47,2,7,0.8676,0.6316,0.9592,0.7273,0.8485
767,9,42,2,15,0.75,0.375,0.9545,0.5143,0.7178
768,11,43,5,9,0.7941,0.55,0.8958,0.6111,0.8125
769,7,51,2,8,0.8529,0.4667,0.9623,0.5833,0.7447
770,8,52,2,6,0.8824,0.5714,0.963,0.6667,0.8896
771,5,53,3,7,0.8529,0.4167,0.9464,0.5,0.7545
772,6,48,4,10,0.7941,0.375,0.9231,0.4615,0.8341
773,3,50,5,10,0.7794,0.2308,0.9091,0.2857,0.7154
774,6,44,1,17,0.7353,0.2609,0.9778,0.4,0.7237
775,7,54,1,6,0.8971,0.5385,0.9818,0.6667,0.9259
776,5,54,2,7,0.8676,0.4167,0.9643,0.5263,0.683
777,5,53,0,10,0.8529,0.3333,1.0,0.5,0.9358
778,4,51,3,10,0.8088,0.2857,0.9444,0.381,0.8214
779,6,47,0,15,0.7794,0.2857,1.0,0.4444,0.8156
780,9,40,4,15,0.7206,0.375,0.9091,0.4865,0.7557
781,6,48,1,13,0.7941,0.3158,0.9796,0.4615,0.681
782,6,50,1,11,0.8235,0.3529,0.9804,0.5,0.8339
783,4,50,2,12,0.7941,0.25,0.9615,0.3636,0.7849
784,5,50,1,12,0.8088,0.2941,0.9804,0.4348,0.7809
785,7,52,1,8,0.8676,0.4667,0.9811,0.6087,0.8836
786,11,51,0,6,0.9118,0.6471,1.0,0.7857,0.8443
787,13,44,2,9,0.8382,0.5909,0.9565,0.7027,0.8646
788,8,47,1,12,0.8088,0.4,0.9792,0.5517,0.8125
789,6,53,1,8,0.8676,0.4286,0.9815,0.5714,0.7831
790,3,49,3,13,0.7647,0.1875,0.9423,0.2727,0.6875
791,5,50,1,12,0.8088,0.2941,0.9804,0.4348,0.8685
792,11,44,2,11,0.8088,0.5,0.9565,0.6286,0.7826
793,3,53,1,11,0.8235,0.2143,0.9815,0.3333,0.7037
794,6,51,0,11,0.8382,0.3529,1.0,0.5217,0.7958
795,5,48,3,12,0.7794,0.2941,0.9412,0.4,0.6909
796,15,37,2,14,0.7647,0.5172,0.9487,0.6522,0.8011
797,12,45,2,9,0.8382,0.5714,0.9574,0.6857,0.8349
798,12,45,0,11,0.8382,0.5217,1.0,0.6857,0.8918
799,6,47,0,15,0.7794,0.2857,1.0,0.4444,0.8247
800,4,44,1,19,0.7059,0.1739,0.9778,0.2857,0.7942
801,14,45,0,9,0.8676,0.6087,1.0,0.7568,0.8792
802,8,45,3,12,0.7794,0.4,0.9375,0.5161,0.8125
803,3,46,6,13,0.7206,0.1875,0.8846,0.24,0.6034
804,4,54,3,7,0.8529,0.3636,0.9474,0.4444,0.8724
805,7,49,2,10,0.8235,0.4118,0.9608,0.5385,0.7832
806,10,44,0,14,0.7941,0.4167,1.0,0.5882,0.7472
807,7,47,0,14,0.7941,0.3333,1.0,0.5,0.8217
808,16,43,1,8,0.8676,0.6667,0.9773,0.7805,0.9044
809,8,50,1,9,0.8529,0.4706,0.9804,0.6154,0.8904
810,7,44,3,14,0.75,0.3333,0.9362,0.4516,0.845
811,7,46,4,11,0.7794,0.3889,0.92,0.4828,0.8511
812,12,41,5,10,0.7794,0.5455,0.8913,0.6154,0.7999
813,5,48,1,14,0.7794,0.2632,0.9796,0.4,0.6864
814,9,44,1,14,0.7794,0.3913,0.9778,0.5455,0.7213
815,10,45,2,11,0.8088,0.4762,0.9574,0.6061,0.8592
816,7,49,2,10,0.8235,0.4118,0.9608,0.5385,0.8322
817,5,53,1,9,0.8529,0.3571,0.9815,0.5,0.8347
818,6,45,4,13,0.75,0.3158,0.9184,0.4138,0.8249
819,11,40,7,10,0.75,0.5238,0.8511,0.5641,0.766
820,6,46,2,14,0.7647,0.3,0.9583,0.4286,0.7615
821,8,44,2,14,0.7647,0.3636,0.9565,0.5,0.746
822,5,47,2,14,0.7647,0.2632,0.9592,0.3846,0.7132
823,4,59,0,5,0.9265,0.4444,1.0,0.6154,0.8079
824,6,51,2,9,0.8382,0.4,0.9623,0.5217,0.7849
825,10,44,1,13,0.7941,0.4348,0.9778,0.5882,0.8377
826,6,47,2,13,0.7794,0.3158,0.9592,0.4444,0.8228
827,2,52,5,9,0.7941,0.1818,0.9123,0.2222,0.6874
828,6,52,5,5,0.8529,0.5455,0.9123,0.5455,0.7871
829,2,55,3,8,0.8382,0.2,0.9483,0.2667,0.7362
830,4,54,3,7,0.8529,0.3636,0.9474,0.4444,0.7998
831,9,47,4,8,0.8235,0.5294,0.9216,0.6,0.8524
832,10,46,2,10,0.8235,0.5,0.9583,0.625,0.8786
833,7,51,0,10,0.8529,0.4118,1.0,0.5833,0.7082
