Dataset,Side,Model,Class,Accuracy,Precision,Recall,F1_Score,Mean_SD,Support,ROC_AUC
All_Augment_tain,Left,MLP,Class 1: Epilepsy (TLE),86.57%,93.75%,65.22%,76.92%,86.79% ± 4.13%,23,0.8943
All_Augment_tain,Left,MLP,Overall / Macro Avg,86.57%,89.03%,81.47%,83.72%,86.79% ± 4.13%,67,0.8943
All_Augment_tain,Left,ResNet (Standard),Class 0: Healthy Control,86.57%,84.31%,97.73%,90.53%,86.87% ± 4.15%,44,0.8962
All_Augment_tain,Left,ResNet (Standard),Class 1: Epilepsy (TLE),86.57%,93.75%,65.22%,76.92%,86.87% ± 4.15%,23,0.8962
All_Augment_tain,Left,ResNet (Standard),Overall / Macro Avg,86.57%,89.03%,81.47%,83.72%,86.87% ± 4.15%,67,0.8962
All_Augment_tain,Left,ResNet (AutoEncoder),Class 0: Healthy Control,85.07%,85.42%,93.18%,89.13%,85.10% ± 4.57%,44,0.8933
All_Augment_tain,Left,ResNet (AutoEncoder),Class 1: Epilepsy (TLE),85.07%,84.21%,69.57%,76.19%,85.10% ± 4.57%,23,0.8933
All_Augment_tain,Left,ResNet (AutoEncoder),Overall / Macro Avg,85.07%,84.81%,81.38%,82.66%,85.10% ± 4.57%,67,0.8933
All_Augment_tain,Left,MobileNet,Class 0: Healthy Control,85.07%,84.00%,95.45%,89.36%,84.84% ± 4.44%,44,0.9012
All_Augment_tain,Left,MobileNet,Class 1: Epilepsy (TLE),85.07%,88.24%,65.22%,75.00%,84.84% ± 4.44%,23,0.9012
All_Augment_tain,Left,MobileNet,Overall / Macro Avg,85.07%,86.12%,80.34%,82.18%,84.84% ± 4.44%,67,0.9012
All_Augment_tain,Left,SqueezeNet,Class 0: Healthy Control,83.58%,83.67%,93.18%,88.17%,83.59% ± 4.56%,44,0.8775
All_Augment_tain,Left,SqueezeNet,Class 1: Epilepsy (TLE),83.58%,83.33%,65.22%,73.17%,83.59% ± 4.56%,23,0.8775
All_Augment_tain,Left,SqueezeNet,Overall / Macro Avg,83.58%,83.50%,79.20%,80.67%,83.59% ± 4.56%,67,0.8775
All_Augment_tain,Left,PointNet,Class 0: Healthy Control,85.07%,85.42%,93.18%,89.13%,85.11% ± 4.42%,44,0.8211
All_Augment_tain,Left,PointNet,Class 1: Epilepsy (TLE),85.07%,84.21%,69.57%,76.19%,85.11% ± 4.42%,23,0.8211
All_Augment_tain,Left,PointNet,Overall / Macro Avg,85.07%,84.81%,81.38%,82.66%,85.11% ± 4.42%,67,0.8211
All_Augment_tain,Right,SVM,Class 0: Healthy Control,85.29%,85.71%,96.00%,90.57%,85.28% ± 4.23%,50,0.8522
All_Augment_tain,Right,SVM,Class 1: Epilepsy (TLE),85.29%,83.33%,55.56%,66.67%,85.28% ± 4.23%,18,0.8522
All_Augment_tain,Right,SVM,Overall / Macro Avg,85.29%,84.52%,75.78%,78.62%,85.28% ± 4.23%,68,0.8522
All_Augment_tain,Right,MLP,Class 0: Healthy Control,85.29%,87.04%,94.00%,90.38%,85.25% ± 4.40%,50,0.8522
All_Augment_tain,Right,MLP,Class 1: Epilepsy (TLE),85.29%,78.57%,61.11%,68.75%,85.25% ± 4.40%,18,0.8522
All_Augment_tain,Right,MLP,Overall / Macro Avg,85.29%,82.81%,77.56%,79.57%,85.25% ± 4.40%,68,0.8522
All_Augment_tain,Right,ResNet (Standard),Class 0: Healthy Control,85.29%,88.46%,92.00%,90.20%,85.54% ± 4.40%,50,0.8533
All_Augment_tain,Right,ResNet (Standard),Class 1: Epilepsy (TLE),85.29%,75.00%,66.67%,70.59%,85.54% ± 4.40%,18,0.8533
All_Augment_tain,Right,ResNet (Standard),Overall / Macro Avg,85.29%,81.73%,79.34%,80.39%,85.54% ± 4.40%,68,0.8533
All_Augment_tain,Right,ResNet (AutoEncoder),Class 0: Healthy Control,85.29%,88.46%,92.00%,90.20%,85.29% ± 4.14%,50,0.8778
