round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
808,28,28,14,4,0.7568,0.875,0.6667,0.7568,0.8579
809,22,32,18,2,0.7297,0.9167,0.64,0.6875,0.8608
810,19,33,16,6,0.7027,0.76,0.6735,0.6333,0.7722
811,29,30,10,5,0.7973,0.8529,0.75,0.7945,0.9
812,22,28,19,5,0.6757,0.8148,0.5957,0.6471,0.7849
813,19,34,19,2,0.7162,0.9048,0.6415,0.6441,0.85
814,22,37,13,2,0.7973,0.9167,0.74,0.7458,0.8983
815,21,37,13,3,0.7838,0.875,0.74,0.7241,0.8525
816,22,36,15,1,0.7838,0.9565,0.7059,0.7333,0.9173
817,27,28,17,2,0.7432,0.931,0.6222,0.7397,0.8728
818,25,38,10,1,0.8514,0.9615,0.7917,0.8197,0.9183
819,22,36,14,2,0.7838,0.9167,0.72,0.7333,0.91
820,28,28,12,6,0.7568,0.8235,0.7,0.7568,0.8279
821,25,35,11,3,0.8108,0.8929,0.7609,0.7812,0.9045
822,30,32,11,1,0.8378,0.9677,0.7442,0.8333,0.9197
823,16,35,18,5,0.6892,0.7619,0.6604,0.5818,0.7996
824,20,39,12,3,0.7973,0.8696,0.7647,0.7273,0.8721
825,21,40,12,1,0.8243,0.9545,0.7692,0.7636,0.9301
826,27,29,12,6,0.7568,0.8182,0.7073,0.75,0.8692
827,19,38,16,1,0.7703,0.95,0.7037,0.6909,0.9259
828,29,29,12,4,0.7838,0.8788,0.7073,0.7838,0.8854
829,22,42,7,3,0.8649,0.88,0.8571,0.8148,0.9216
830,14,37,21,2,0.6892,0.875,0.6379,0.549,0.8685
831,24,28,15,7,0.7027,0.7742,0.6512,0.6857,0.7749
832,20,36,17,1,0.7568,0.9524,0.6792,0.6897,0.8859
833,25,27,19,3,0.7027,0.8929,0.587,0.6944,0.823
834,28,34,9,3,0.8378,0.9032,0.7907,0.8235,0.91
835,18,38,13,5,0.7568,0.7826,0.7451,0.6667,0.798
836,23,35,14,2,0.7838,0.92,0.7143,0.7419,0.9029
837,23,33,15,3,0.7568,0.8846,0.6875,0.7188,0.867
838,26,31,13,4,0.7703,0.8667,0.7045,0.7536,0.8379
839,24,37,9,4,0.8243,0.8571,0.8043,0.7869,0.8781
840,24,31,14,5,0.7432,0.8276,0.6889,0.7164,0.8077
841,28,34,10,2,0.8378,0.9333,0.7727,0.8235,0.9129
842,24,41,6,3,0.8784,0.8889,0.8723,0.8421,0.8873
843,23,39,9,3,0.8378,0.8846,0.8125,0.7931,0.9127
844,20,37,15,2,0.7703,0.9091,0.7115,0.7018,0.8733
845,20,40,11,3,0.8108,0.8696,0.7843,0.7407,0.8559
846,27,28,14,5,0.7432,0.8438,0.6667,0.7397,0.8155
847,26,33,11,4,0.7973,0.8667,0.75,0.7761,0.8636
848,23,35,13,3,0.7838,0.8846,0.7292,0.7419,0.8542
849,26,32,14,2,0.7838,0.9286,0.6957,0.7647,0.8486
850,17,40,12,5,0.7703,0.7727,0.7692,0.6667,0.8138
851,20,32,18,4,0.7027,0.8333,0.64,0.6452,0.8167
852,22,36,11,5,0.7838,0.8148,0.766,0.7333,0.8668
853,14,39,19,2,0.7162,0.875,0.6724,0.5714,0.8739
854,25,27,15,7,0.7027,0.7812,0.6429,0.6944,0.7924
855,31,26,14,3,0.7703,0.9118,0.65,0.7848,0.8772
856,24,35,13,2,0.7973,0.9231,0.7292,0.7619,0.9079
857,30,32,10,2,0.8378,0.9375,0.7619,0.8333,0.9033
858,20,34,16,4,0.7297,0.8333,0.68,0.6667,0.86
859,24,33,13,4,0.7703,0.8571,0.7174,0.7385,0.8432
860,24,32,17,1,0.7568,0.96,0.6531,0.7273,0.8955
861,19,42,11,2,0.8243,0.9048,0.7925,0.7451,0.9173
862,27,31,10,6,0.7838,0.8182,0.7561,0.7714,0.8899
863,20,36,16,2,0.7568,0.9091,0.6923,0.6897,0.9187
864,22,33,17,2,0.7432,0.9167,0.66,0.6984,0.9117
865,24,33,13,4,0.7703,0.8571,0.7174,0.7385,0.8478
866,20,32,15,7,0.7027,0.7407,0.6809,0.6452,0.7801
867,25,33,15,1,0.7838,0.9615,0.6875,0.7576,0.8646
868,19,35,16,4,0.7297,0.8261,0.6863,0.6552,0.8286
869,25,33,13,3,0.7838,0.8929,0.7174,0.7576,0.8913
870,31,31,7,5,0.8378,0.8611,0.8158,0.8378,0.8779
871,34,25,14,1,0.7973,0.9714,0.641,0.8193,0.9136
872,27,22,18,7,0.6622,0.7941,0.55,0.6835,0.786
873,21,34,15,4,0.7432,0.84,0.6939,0.6885,0.8669
874,24,35,11,4,0.7973,0.8571,0.7609,0.7619,0.8556
875,29,25,17,3,0.7297,0.9062,0.5952,0.7436,0.84
876,20,32,18,4,0.7027,0.8333,0.64,0.6452,0.845
877,20,35,15,4,0.7432,0.8333,0.7,0.678,0.8242
878,23,37,11,3,0.8108,0.8846,0.7708,0.7667,0.8854
879,21,33,17,3,0.7297,0.875,0.66,0.6774,0.8842
880,18,34,17,5,0.7027,0.7826,0.6667,0.6207,0.7749
881,27,34,9,4,0.8243,0.871,0.7907,0.806,0.8845
882,17,37,14,6,0.7297,0.7391,0.7255,0.6296,0.7954
