round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
200,14,52,2,7,0.88,0.6667,0.963,0.7568,0.9594
201,14,44,9,8,0.7733,0.6364,0.8302,0.6222,0.9022
202,13,48,3,11,0.8133,0.5417,0.9412,0.65,0.9493
203,12,53,1,9,0.8667,0.5714,0.9815,0.7059,0.9815
204,10,55,1,9,0.8667,0.5263,0.9821,0.6667,0.9568
205,8,52,3,12,0.8,0.4,0.9455,0.5161,0.9209
206,7,56,2,10,0.84,0.4118,0.9655,0.5385,0.9361
207,6,50,6,13,0.7467,0.3158,0.8929,0.3871,0.8722
208,13,53,3,6,0.88,0.6842,0.9464,0.7429,0.968
209,12,47,9,7,0.7867,0.6316,0.8393,0.6,0.9013
210,6,56,4,9,0.8267,0.4,0.9333,0.48,0.8733
211,12,52,4,7,0.8533,0.6316,0.9286,0.6857,0.9098
212,13,48,11,3,0.8133,0.8125,0.8136,0.65,0.8888
213,12,50,5,8,0.8267,0.6,0.9091,0.6486,0.9
214,11,51,7,6,0.8267,0.6471,0.8793,0.6286,0.926
215,11,52,5,7,0.84,0.6111,0.9123,0.6471,0.9025
216,10,49,5,11,0.7867,0.4762,0.9074,0.5556,0.8924
217,11,49,5,10,0.8,0.5238,0.9074,0.5946,0.9127
218,6,60,1,8,0.88,0.4286,0.9836,0.5714,0.9649
219,9,49,5,12,0.7733,0.4286,0.9074,0.5143,0.9206
220,10,51,4,10,0.8133,0.5,0.9273,0.5882,0.93
221,11,54,2,8,0.8667,0.5789,0.9643,0.6875,0.9774
222,9,51,3,12,0.8,0.4286,0.9444,0.5455,0.9092
223,15,45,8,7,0.8,0.6818,0.8491,0.6667,0.8825
224,17,49,2,7,0.88,0.7083,0.9608,0.7907,0.9665
225,12,49,4,10,0.8133,0.5455,0.9245,0.6316,0.9297
226,17,48,4,6,0.8667,0.7391,0.9231,0.7727,0.9365
227,12,53,6,4,0.8667,0.75,0.8983,0.7059,0.9375
228,12,51,6,6,0.84,0.6667,0.8947,0.6667,0.9211
229,8,51,7,9,0.7867,0.4706,0.8793,0.5,0.8955
230,11,48,5,11,0.7867,0.5,0.9057,0.5789,0.9357
231,13,48,3,11,0.8133,0.5417,0.9412,0.65,0.9477
232,10,56,4,5,0.88,0.6667,0.9333,0.6897,0.9622
233,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.9155
234,13,50,3,9,0.84,0.5909,0.9434,0.6842,0.9605
235,16,46,5,8,0.8267,0.6667,0.902,0.7111,0.9126
236,11,54,5,5,0.8667,0.6875,0.9153,0.6875,0.9492
237,14,48,6,7,0.8267,0.6667,0.8889,0.6829,0.8968
238,12,49,4,10,0.8133,0.5455,0.9245,0.6316,0.9425
239,16,48,6,5,0.8533,0.7619,0.8889,0.7442,0.9594
240,8,51,7,9,0.7867,0.4706,0.8793,0.5,0.8864
241,13,50,5,7,0.84,0.65,0.9091,0.6842,0.9255
242,9,50,8,8,0.7867,0.5294,0.8621,0.5294,0.8296
243,12,48,6,9,0.8,0.5714,0.8889,0.6154,0.9233
244,9,54,5,7,0.84,0.5625,0.9153,0.6,0.929
245,11,45,6,13,0.7467,0.4583,0.8824,0.5366,0.8954
246,13,44,5,13,0.76,0.5,0.898,0.5909,0.9097
247,12,51,2,10,0.84,0.5455,0.9623,0.6667,0.9468
248,8,52,9,6,0.8,0.5714,0.8525,0.5161,0.8782
249,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.9345
250,15,51,3,6,0.88,0.7143,0.9444,0.7692,0.9612
251,8,55,5,7,0.84,0.5333,0.9167,0.5714,0.9022
252,10,51,6,8,0.8133,0.5556,0.8947,0.5882,0.9337
253,13,50,5,7,0.84,0.65,0.9091,0.6842,0.9345
254,12,47,5,11,0.7867,0.5217,0.9038,0.6,0.8846
255,13,46,5,11,0.7867,0.5417,0.902,0.619,0.9289
256,18,41,7,9,0.7867,0.6667,0.8542,0.6923,0.9329
257,13,54,6,2,0.8933,0.8667,0.9,0.7647,0.9844
258,7,55,5,8,0.8267,0.4667,0.9167,0.5185,0.9133
259,7,53,7,8,0.8,0.4667,0.8833,0.4828,0.8944
260,12,50,5,8,0.8267,0.6,0.9091,0.6486,0.9155
261,6,56,4,9,0.8267,0.4,0.9333,0.48,0.8644
262,20,38,7,10,0.7733,0.6667,0.8444,0.7018,0.9067
263,9,54,1,11,0.84,0.45,0.9818,0.6,0.9164
264,11,48,6,10,0.7867,0.5238,0.8889,0.5789,0.8898
265,15,48,2,10,0.84,0.6,0.96,0.7143,0.9704
266,11,55,6,3,0.88,0.7857,0.9016,0.7097,0.918
267,8,52,5,10,0.8,0.4444,0.9123,0.5161,0.883
268,13,54,2,6,0.8933,0.6842,0.9643,0.7647,0.9436
269,11,54,6,4,0.8667,0.7333,0.9,0.6875,0.9478
270,6,55,9,5,0.8133,0.5455,0.8594,0.4615,0.8807
271,12,48,9,6,0.8,0.6667,0.8421,0.6154,0.8908
272,19,45,4,7,0.8533,0.7308,0.9184,0.7755,0.9192
273,10,50,8,7,0.8,0.5882,0.8621,0.5714,0.9178
274,18,43,4,10,0.8133,0.6429,0.9149,0.72,0.9339
275,14,47,4,10,0.8133,0.5833,0.9216,0.6667,0.9387
276,9,54,4,8,0.84,0.5294,0.931,0.6,0.8935
277,10,57,4,4,0.8933,0.7143,0.9344,0.7143,0.9625
278,10,55,1,9,0.8667,0.5263,0.9821,0.6667,0.9445
279,12,49,6,8,0.8133,0.6,0.8909,0.6316,0.9427
280,14,51,3,7,0.8667,0.6667,0.9444,0.7368,0.9524
281,10,48,9,8,0.7733,0.5556,0.8421,0.5405,0.8986
282,16,45,3,11,0.8133,0.5926,0.9375,0.6957,0.9522
283,14,41,5,15,0.7333,0.4828,0.8913,0.5833,0.9243
284,9,52,6,8,0.8133,0.5294,0.8966,0.5625,0.8864
285,11,51,5,8,0.8267,0.5789,0.9107,0.6286,0.938
286,7,52,7,9,0.7867,0.4375,0.8814,0.4667,0.8898
287,9,54,4,8,0.84,0.5294,0.931,0.6,0.9594
288,12,52,6,5,0.8533,0.7059,0.8966,0.6857,0.9391
289,14,48,8,5,0.8267,0.7368,0.8571,0.6829,0.9079
290,12,53,3,7,0.8667,0.6316,0.9464,0.7059,0.938
291,14,45,5,11,0.7867,0.56,0.9,0.6364,0.9256
292,16,44,6,9,0.8,0.64,0.88,0.6809,0.9152
293,16,54,4,1,0.9333,0.9412,0.931,0.8649,0.9391
294,8,52,7,8,0.8,0.5,0.8814,0.5161,0.9068
295,12,50,2,11,0.8267,0.5217,0.9615,0.6486,0.9699
296,6,59,4,6,0.8667,0.5,0.9365,0.5455,0.8849
297,15,46,7,7,0.8133,0.6818,0.8679,0.6818,0.9477
298,10,50,4,11,0.8,0.4762,0.9259,0.5714,0.9224
299,13,41,14,7,0.72,0.65,0.7455,0.5532,0.8609
300,9,48,6,12,0.76,0.4286,0.8889,0.5,0.8765
301,8,47,5,15,0.7333,0.3478,0.9038,0.4444,0.7834
302,11,48,4,12,0.7867,0.4783,0.9231,0.5789,0.9156
303,10,53,4,8,0.84,0.5556,0.9298,0.625,0.9425
304,7,53,4,11,0.8,0.3889,0.9298,0.4828,0.9483
305,10,46,8,11,0.7467,0.4762,0.8519,0.5128,0.8545
306,13,54,4,4,0.8933,0.7647,0.931,0.7647,0.9371
