round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
518,15,49,5,6,0.8533,0.7143,0.9074,0.7317,0.9189
519,14,49,6,6,0.84,0.7,0.8909,0.7,0.8155
520,18,51,3,3,0.92,0.8571,0.9444,0.8571,0.9436
521,17,51,2,5,0.9067,0.7727,0.9623,0.8293,0.9383
522,8,54,7,6,0.8267,0.5714,0.8852,0.5517,0.7892
523,9,59,6,1,0.9067,0.9,0.9077,0.72,0.92
524,15,53,2,5,0.9067,0.75,0.9636,0.8108,0.8636
525,17,50,4,4,0.8933,0.8095,0.9259,0.8095,0.9427
526,17,45,10,3,0.8267,0.85,0.8182,0.7234,0.8527
527,19,43,4,9,0.8267,0.6786,0.9149,0.7451,0.8609
528,16,48,5,6,0.8533,0.7273,0.9057,0.7442,0.8456
529,13,53,5,4,0.88,0.7647,0.9138,0.7429,0.9067
530,17,51,5,2,0.9067,0.8947,0.9107,0.8293,0.9577
531,10,54,8,3,0.8533,0.7692,0.871,0.6452,0.8375
532,14,51,6,4,0.8667,0.7778,0.8947,0.7368,0.8791
533,14,51,7,3,0.8667,0.8235,0.8793,0.7368,0.9067
534,17,46,6,6,0.84,0.7391,0.8846,0.7391,0.8545
535,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.8782
536,10,57,4,4,0.8933,0.7143,0.9344,0.7143,0.9005
537,20,48,5,2,0.9067,0.9091,0.9057,0.8511,0.916
538,17,51,4,3,0.9067,0.85,0.9273,0.8293,0.9055
539,14,53,4,4,0.8933,0.7778,0.9298,0.7778,0.9045
540,17,53,2,3,0.9333,0.85,0.9636,0.8718,0.9636
541,22,48,3,2,0.9333,0.9167,0.9412,0.898,0.9338
542,18,49,3,5,0.8933,0.7826,0.9423,0.8182,0.8721
543,16,49,6,4,0.8667,0.8,0.8909,0.7619,0.9336
544,12,51,3,9,0.84,0.5714,0.9444,0.6667,0.8633
545,19,49,4,3,0.9067,0.8636,0.9245,0.8444,0.9125
546,14,46,8,7,0.8,0.6667,0.8519,0.6512,0.8289
547,13,50,7,5,0.84,0.7222,0.8772,0.6842,0.8733
548,24,45,3,3,0.92,0.8889,0.9375,0.8889,0.9452
549,22,44,6,3,0.88,0.88,0.88,0.8302,0.9
550,17,51,5,2,0.9067,0.8947,0.9107,0.8293,0.9492
551,14,52,6,3,0.88,0.8235,0.8966,0.7568,0.8844
552,17,53,3,2,0.9333,0.8947,0.9464,0.8718,0.9568
553,13,54,5,3,0.8933,0.8125,0.9153,0.7647,0.8623
554,18,49,1,7,0.8933,0.72,0.98,0.8182,0.9032
555,18,47,4,6,0.8667,0.75,0.9216,0.7826,0.9412
556,16,54,2,3,0.9333,0.8421,0.9643,0.8649,0.9145
557,17,52,3,3,0.92,0.85,0.9455,0.85,0.9727
558,11,55,3,6,0.88,0.6471,0.9483,0.7097,0.8519
559,16,50,7,2,0.88,0.8889,0.8772,0.7805,0.9318
560,10,56,5,4,0.88,0.7143,0.918,0.6897,0.9016
561,15,51,4,5,0.88,0.75,0.9273,0.7692,0.8555
562,14,52,6,3,0.88,0.8235,0.8966,0.7568,0.9097
563,20,47,5,3,0.8933,0.8696,0.9038,0.8333,0.9724
564,16,51,5,3,0.8933,0.8421,0.9107,0.8,0.9305
565,16,52,5,2,0.9067,0.8889,0.9123,0.8205,0.8908
566,17,49,2,7,0.88,0.7083,0.9608,0.7907,0.9175
567,13,51,8,3,0.8533,0.8125,0.8644,0.7027,0.8909
568,17,53,3,2,0.9333,0.8947,0.9464,0.8718,0.9577
569,13,51,3,8,0.8533,0.619,0.9444,0.7027,0.8686
570,28,39,2,6,0.8933,0.8235,0.9512,0.875,0.9254
571,14,49,6,6,0.84,0.7,0.8909,0.7,0.8636
572,14,53,4,4,0.8933,0.7778,0.9298,0.7778,0.9162
573,15,56,4,0,0.9467,1.0,0.9333,0.8824,0.9689
574,16,51,8,0,0.8933,1.0,0.8644,0.8,0.9608
575,26,41,2,6,0.8933,0.8125,0.9535,0.8667,0.9019
576,17,52,3,3,0.92,0.85,0.9455,0.85,0.9336
577,17,51,3,4,0.9067,0.8095,0.9444,0.8293,0.9109
578,18,46,8,3,0.8533,0.8571,0.8519,0.766,0.9365
579,17,49,6,3,0.88,0.85,0.8909,0.7907,0.9109
580,11,53,7,4,0.8533,0.7333,0.8833,0.6667,0.8633
581,20,45,7,3,0.8667,0.8696,0.8654,0.8,0.9114
582,14,54,5,2,0.9067,0.875,0.9153,0.8,0.9047
