round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
368,14,40,2,0,0.9643,1.0,0.9524,0.9333,0.9932
369,20,32,1,3,0.9286,0.8696,0.9697,0.9091,0.913
370,24,26,3,3,0.8929,0.8889,0.8966,0.8889,0.9004
371,18,34,3,1,0.9286,0.9474,0.9189,0.9,0.9317
372,24,32,0,0,1.0,1.0,1.0,1.0,1.0
373,19,34,1,2,0.9464,0.9048,0.9714,0.9268,0.9333
374,17,36,3,0,0.9464,1.0,0.9231,0.9189,0.9894
375,17,35,1,3,0.9286,0.85,0.9722,0.8947,0.8944
376,24,29,2,1,0.9464,0.96,0.9355,0.9412,0.969
377,15,36,3,2,0.9107,0.8824,0.9231,0.8571,0.9095
378,22,32,2,0,0.9643,1.0,0.9412,0.9565,0.9947
379,18,35,3,0,0.9464,1.0,0.9211,0.9231,0.9898
380,22,31,2,1,0.9464,0.9565,0.9394,0.9362,0.9657
381,22,29,3,2,0.9107,0.9167,0.9062,0.898,0.9271
382,19,35,1,1,0.9643,0.95,0.9722,0.95,0.9556
383,22,31,2,1,0.9464,0.9565,0.9394,0.9362,0.9513
384,15,38,3,0,0.9464,1.0,0.9268,0.9091,0.9919
385,23,31,2,0,0.9643,1.0,0.9394,0.9583,0.9895
386,14,37,4,1,0.9107,0.9333,0.9024,0.8485,0.9317
387,17,35,3,1,0.9286,0.9444,0.9211,0.8947,0.9401
388,17,36,3,0,0.9464,1.0,0.9231,0.9189,0.9729
389,18,33,3,2,0.9107,0.9,0.9167,0.878,0.9306
390,22,34,0,0,1.0,1.0,1.0,1.0,1.0
391,23,32,1,0,0.9821,1.0,0.9697,0.9787,0.9908
392,20,34,1,1,0.9643,0.9524,0.9714,0.9524,0.9592
393,19,37,0,0,1.0,1.0,1.0,1.0,1.0
394,14,38,2,2,0.9286,0.875,0.95,0.875,0.8906
395,23,31,1,1,0.9643,0.9583,0.9688,0.9583,0.9609
396,21,32,3,0,0.9464,1.0,0.9143,0.9333,0.9959
397,13,40,2,1,0.9464,0.9286,0.9524,0.8966,0.9422
398,16,35,4,1,0.9107,0.9412,0.8974,0.8649,0.9487
399,18,37,0,1,0.9821,0.9474,1.0,0.973,0.9573
400,14,36,4,2,0.8929,0.875,0.9,0.8235,0.8969
401,18,36,2,0,0.9643,1.0,0.9474,0.9474,1.0
402,16,35,4,1,0.9107,0.9412,0.8974,0.8649,0.9548
403,22,34,0,0,1.0,1.0,1.0,1.0,1.0
404,17,38,1,0,0.9821,1.0,0.9744,0.9714,0.997
405,23,31,1,1,0.9643,0.9583,0.9688,0.9583,0.9727
406,20,33,2,1,0.9464,0.9524,0.9429,0.9302,0.951
