round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
192,22,43,8,1,0.8784,0.9565,0.8431,0.8302,0.9616
193,21,42,5,6,0.8514,0.7778,0.8936,0.7925,0.8826
194,21,41,9,3,0.8378,0.875,0.82,0.7778,0.8892
195,20,38,10,6,0.7838,0.7692,0.7917,0.7143,0.8173
196,16,41,9,8,0.7703,0.6667,0.82,0.6531,0.8292
197,21,36,7,10,0.7703,0.6774,0.8372,0.7119,0.7989
198,18,48,6,2,0.8919,0.9,0.8889,0.8182,0.9481
199,18,41,10,5,0.7973,0.7826,0.8039,0.7059,0.815
200,16,42,10,6,0.7838,0.7273,0.8077,0.6667,0.8523
201,17,39,13,5,0.7568,0.7727,0.75,0.6538,0.8059
202,17,40,9,8,0.7703,0.68,0.8163,0.6667,0.7878
203,24,33,10,7,0.7703,0.7742,0.7674,0.7385,0.8027
204,18,41,8,7,0.7973,0.72,0.8367,0.7059,0.84
205,26,30,12,6,0.7568,0.8125,0.7143,0.7429,0.8192
206,17,37,8,12,0.7297,0.5862,0.8222,0.6296,0.8092
207,24,38,8,4,0.8378,0.8571,0.8261,0.8,0.8649
208,13,41,11,9,0.7297,0.5909,0.7885,0.5652,0.743
209,15,43,8,8,0.7838,0.6522,0.8431,0.6522,0.8363
210,16,41,6,11,0.7703,0.5926,0.8723,0.6531,0.8235
211,25,38,6,5,0.8514,0.8333,0.8636,0.8197,0.903
212,17,42,7,8,0.7973,0.68,0.8571,0.6939,0.8416
213,22,32,13,7,0.7297,0.7586,0.7111,0.6875,0.8184
214,19,37,13,5,0.7568,0.7917,0.74,0.6786,0.8008
215,24,33,9,8,0.7703,0.75,0.7857,0.7385,0.849
216,21,39,10,4,0.8108,0.84,0.7959,0.75,0.88
217,23,44,5,2,0.9054,0.92,0.898,0.8679,0.9657
218,21,39,11,3,0.8108,0.875,0.78,0.75,0.8342
219,17,43,8,6,0.8108,0.7391,0.8431,0.7083,0.8465
220,12,46,9,7,0.7838,0.6316,0.8364,0.6,0.7943
221,17,40,9,8,0.7703,0.68,0.8163,0.6667,0.8482
222,25,32,8,9,0.7703,0.7353,0.8,0.7463,0.8515
223,21,35,8,10,0.7568,0.6774,0.814,0.7,0.8432
224,16,39,11,8,0.7432,0.6667,0.78,0.6275,0.795
225,17,41,11,5,0.7838,0.7727,0.7885,0.68,0.8636
226,16,42,9,7,0.7838,0.6957,0.8235,0.6667,0.7647
227,17,43,9,5,0.8108,0.7727,0.8269,0.7083,0.8444
228,22,38,6,8,0.8108,0.7333,0.8636,0.7586,0.8674
229,24,37,8,5,0.8243,0.8276,0.8222,0.7869,0.8866
230,23,35,5,11,0.7838,0.6765,0.875,0.7419,0.8449
231,20,36,12,6,0.7568,0.7692,0.75,0.6897,0.8293
232,22,35,9,8,0.7703,0.7333,0.7955,0.7213,0.7682
233,24,33,9,8,0.7703,0.75,0.7857,0.7385,0.8438
234,14,49,7,4,0.8514,0.7778,0.875,0.7179,0.871
235,18,39,7,10,0.7703,0.6429,0.8478,0.6792,0.7919
236,23,30,11,10,0.7162,0.697,0.7317,0.6866,0.7361
237,15,42,11,6,0.7703,0.7143,0.7925,0.6383,0.8095
238,17,40,11,6,0.7703,0.7391,0.7843,0.6667,0.8491
239,14,45,7,8,0.7973,0.6364,0.8654,0.6512,0.8322
240,22,38,11,3,0.8108,0.88,0.7755,0.7586,0.8514
241,15,44,9,6,0.7973,0.7143,0.8302,0.6667,0.7987
242,21,40,8,5,0.8243,0.8077,0.8333,0.7636,0.8542
243,19,42,7,6,0.8243,0.76,0.8571,0.7451,0.8449
244,10,47,12,5,0.7703,0.6667,0.7966,0.5405,0.8328
245,17,39,11,7,0.7568,0.7083,0.78,0.6538,0.8158
246,20,39,12,3,0.7973,0.8696,0.7647,0.7273,0.8645
247,21,38,6,9,0.7973,0.7,0.8636,0.7368,0.8712
248,20,34,10,10,0.7297,0.6667,0.7727,0.6667,0.7614
249,21,38,8,7,0.7973,0.75,0.8261,0.7368,0.8183
250,19,39,8,8,0.7838,0.7037,0.8298,0.7037,0.7557
251,19,41,8,6,0.8108,0.76,0.8367,0.7308,0.858
252,23,36,7,8,0.7973,0.7419,0.8372,0.7541,0.8275
253,18,39,9,8,0.7703,0.6923,0.8125,0.6792,0.8085
254,17,42,8,7,0.7973,0.7083,0.84,0.6939,0.8375
255,9,49,10,6,0.7838,0.6,0.8305,0.5294,0.8192
256,19,36,11,8,0.7432,0.7037,0.766,0.6667,0.7478
257,15,44,9,6,0.7973,0.7143,0.8302,0.6667,0.77
258,17,39,10,8,0.7568,0.68,0.7959,0.6538,0.7829
259,26,35,11,2,0.8243,0.9286,0.7609,0.8,0.9084
260,23,40,6,5,0.8514,0.8214,0.8696,0.807,0.9092
261,14,45,8,7,0.7973,0.6667,0.8491,0.6512,0.7745
262,17,50,5,2,0.9054,0.8947,0.9091,0.8293,0.9541
263,26,35,5,8,0.8243,0.7647,0.875,0.8,0.8294
264,28,36,7,3,0.8649,0.9032,0.8372,0.8485,0.907
265,22,33,7,12,0.7432,0.6471,0.825,0.6984,0.7831
266,22,34,8,10,0.7568,0.6875,0.8095,0.7097,0.7589
267,19,45,3,7,0.8649,0.7308,0.9375,0.7917,0.8966
268,19,46,6,3,0.8784,0.8636,0.8846,0.8085,0.9056
269,19,40,9,6,0.7973,0.76,0.8163,0.717,0.8669
270,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.8164
271,11,47,10,6,0.7838,0.6471,0.8246,0.5789,0.8297
272,27,35,6,6,0.8378,0.8182,0.8537,0.8182,0.8928
273,14,44,7,9,0.7838,0.6087,0.8627,0.6364,0.8201
274,16,42,7,9,0.7838,0.64,0.8571,0.6667,0.8131
275,28,32,8,6,0.8108,0.8235,0.8,0.8,0.8978
276,18,36,15,5,0.7297,0.7826,0.7059,0.6429,0.8303
277,14,40,13,7,0.7297,0.6667,0.7547,0.5833,0.8311
278,19,38,9,8,0.7703,0.7037,0.8085,0.6909,0.8046
