round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
472,26,32,6,10,0.7838,0.7222,0.8421,0.7647,0.8757
473,23,36,5,10,0.7973,0.697,0.878,0.7541,0.8795
474,23,37,7,7,0.8108,0.7667,0.8409,0.7667,0.9015
475,18,38,8,10,0.7568,0.6429,0.8261,0.6667,0.7811
476,18,38,8,10,0.7568,0.6429,0.8261,0.6667,0.7958
477,17,37,11,9,0.7297,0.6538,0.7708,0.6296,0.7428
478,19,37,11,7,0.7568,0.7308,0.7708,0.6786,0.8213
479,15,44,9,6,0.7973,0.7143,0.8302,0.6667,0.8374
480,23,30,9,12,0.7162,0.6571,0.7692,0.6866,0.7897
481,19,39,10,6,0.7838,0.76,0.7959,0.7037,0.8424
482,17,34,15,8,0.6892,0.68,0.6939,0.5965,0.7445
483,24,39,7,4,0.8514,0.8571,0.8478,0.8136,0.934
484,19,36,10,9,0.7432,0.6786,0.7826,0.6667,0.8416
485,14,45,6,9,0.7973,0.6087,0.8824,0.6512,0.8593
486,12,41,10,11,0.7162,0.5217,0.8039,0.5333,0.7212
487,11,44,10,9,0.7432,0.55,0.8148,0.5366,0.7898
488,13,40,9,12,0.7162,0.52,0.8163,0.5532,0.7012
489,11,49,3,11,0.8108,0.5,0.9423,0.6111,0.8051
490,18,40,8,8,0.7838,0.6923,0.8333,0.6923,0.8478
491,22,30,10,12,0.7027,0.6471,0.75,0.6667,0.7919
492,24,38,4,8,0.8378,0.75,0.9048,0.8,0.8393
493,18,42,8,6,0.8108,0.75,0.84,0.72,0.8242
494,12,43,16,3,0.7432,0.8,0.7288,0.5581,0.8757
495,16,45,8,5,0.8243,0.7619,0.8491,0.7111,0.8284
496,14,46,8,6,0.8108,0.7,0.8519,0.6667,0.8083
497,20,41,4,9,0.8243,0.6897,0.9111,0.7547,0.8866
498,21,43,7,3,0.8649,0.875,0.86,0.8077,0.9342
499,17,44,9,4,0.8243,0.8095,0.8302,0.7234,0.8176
500,18,34,11,11,0.7027,0.6207,0.7556,0.6207,0.8069
501,23,39,6,6,0.8378,0.7931,0.8667,0.7931,0.8299
502,21,33,8,12,0.7297,0.6364,0.8049,0.6774,0.8123
503,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.8785
504,15,32,13,14,0.6351,0.5172,0.7111,0.5263,0.6904
505,16,42,12,4,0.7838,0.8,0.7778,0.6667,0.8602
506,18,44,6,6,0.8378,0.75,0.88,0.75,0.8842
507,21,35,11,7,0.7568,0.75,0.7609,0.7,0.8851
508,21,38,7,8,0.7973,0.7241,0.8444,0.7368,0.7992
509,13,45,8,8,0.7838,0.619,0.8491,0.619,0.8374
510,8,50,9,7,0.7838,0.5333,0.8475,0.5,0.7514
511,22,34,10,8,0.7568,0.7333,0.7727,0.7097,0.8492
512,14,42,8,10,0.7568,0.5833,0.84,0.6087,0.805
513,21,37,11,5,0.7838,0.8077,0.7708,0.7241,0.8349
514,18,39,12,5,0.7703,0.7826,0.7647,0.6792,0.8457
515,14,42,9,9,0.7568,0.6087,0.8235,0.6087,0.8142
516,19,38,10,7,0.7703,0.7308,0.7917,0.6909,0.8678
517,10,53,3,8,0.8514,0.5556,0.9464,0.6452,0.748
518,19,34,10,11,0.7162,0.6333,0.7727,0.6441,0.8023
519,11,46,10,7,0.7703,0.6111,0.8214,0.5641,0.8353
520,21,36,11,6,0.7703,0.7778,0.766,0.7119,0.8188
521,20,40,6,8,0.8108,0.7143,0.8696,0.7407,0.8672
522,19,36,11,8,0.7432,0.7037,0.766,0.6667,0.8353
523,20,33,12,9,0.7162,0.6897,0.7333,0.6557,0.81
524,17,38,9,10,0.7432,0.6296,0.8085,0.6415,0.8164
525,14,36,14,10,0.6757,0.5833,0.72,0.5385,0.7642
526,15,43,8,8,0.7838,0.6522,0.8431,0.6522,0.8329
527,19,41,8,6,0.8108,0.76,0.8367,0.7308,0.8473
528,20,35,10,9,0.7432,0.6897,0.7778,0.678,0.8444
529,26,35,4,9,0.8243,0.7429,0.8974,0.8,0.8623
530,19,38,6,11,0.7703,0.6333,0.8636,0.6909,0.803
531,16,39,9,10,0.7432,0.6154,0.8125,0.6275,0.774
532,15,46,5,8,0.8243,0.6522,0.902,0.6977,0.8798
533,24,35,10,5,0.7973,0.8276,0.7778,0.7619,0.8406
534,17,42,11,4,0.7973,0.8095,0.7925,0.6939,0.8751
535,20,36,10,8,0.7568,0.7143,0.7826,0.6897,0.8292
536,18,41,6,9,0.7973,0.6667,0.8723,0.7059,0.8227
537,14,43,9,8,0.7703,0.6364,0.8269,0.6222,0.7684
538,25,26,14,9,0.6892,0.7353,0.65,0.6849,0.8243
539,19,37,9,9,0.7568,0.6786,0.8043,0.6786,0.8346
540,23,37,6,8,0.8108,0.7419,0.8605,0.7667,0.8485
541,11,40,8,15,0.6892,0.4231,0.8333,0.4889,0.7452
542,15,46,5,8,0.8243,0.6522,0.902,0.6977,0.8491
543,18,36,14,6,0.7297,0.75,0.72,0.6429,0.78
544,19,33,13,9,0.7027,0.6786,0.7174,0.6333,0.7446
545,16,44,8,6,0.8108,0.7273,0.8462,0.6957,0.8339
546,21,34,15,4,0.7432,0.84,0.6939,0.6885,0.8857
547,14,46,10,4,0.8108,0.7778,0.8214,0.6667,0.8562
548,23,35,12,4,0.7838,0.8519,0.7447,0.7419,0.8479
549,21,46,2,5,0.9054,0.8077,0.9583,0.8571,0.9527
550,16,39,6,13,0.7432,0.5517,0.8667,0.6275,0.79
551,18,36,7,13,0.7297,0.5806,0.8372,0.6429,0.8477
552,20,38,5,11,0.7838,0.6452,0.8837,0.7143,0.868
553,26,36,6,6,0.8378,0.8125,0.8571,0.8125,0.9129
554,18,38,10,8,0.7568,0.6923,0.7917,0.6667,0.7532
555,19,33,11,11,0.7027,0.6333,0.75,0.6333,0.7144
556,19,37,11,7,0.7568,0.7308,0.7708,0.6786,0.8405
557,10,38,15,11,0.6486,0.4762,0.717,0.4348,0.6451
558,18,42,5,9,0.8108,0.6667,0.8936,0.72,0.855
559,12,40,9,13,0.7027,0.48,0.8163,0.5217,0.689
560,18,44,8,4,0.8378,0.8182,0.8462,0.75,0.8872
561,17,38,10,9,0.7432,0.6538,0.7917,0.6415,0.8189
562,19,35,12,8,0.7297,0.7037,0.7447,0.6552,0.8109
563,13,44,7,10,0.7703,0.5652,0.8627,0.6047,0.74
