Model,AUC_Mean,AUC_SD,AUC_Median,Accuracy_Mean,Accuracy_SD,F1_Mean,F1_SD,Sensitivity_Mean,Specificity_Mean
MLP,0.9302268999999999,0.04789448304752855,0.9377,0.8773965000000001,0.04518064693815262,0.7710267000000001,0.0896020610092759,0.7089466999999999,0.9497158
MobileNet,0.949674,0.029603169154669914,0.9535,0.8779742000000001,0.044560144236301565,0.7861827000000001,0.08285411957597522,0.7687741,0.9248687
PointNet,0.9504203999999999,0.02866244936916592,0.9551,0.9133113,0.03590964887478015,0.8373934,0.07262391600870886,0.7696384000000001,0.9749688
ResNet+AE,0.9467909,0.0329213852562434,0.9511499999999999,0.9123126000000001,0.03789702179908073,0.8550125000000001,0.06616739585135567,0.8831825,0.9248687
ResNet,0.954144,0.0287750239617624,0.9576,0.9124357,0.03863203224669911,0.8469212,0.06965727105306381,0.8262581999999999,0.9497158
SqueezeNet,0.9631019,0.0220136872511172,0.9668,0.8950104000000001,0.04104405062661335,0.8218135,0.07277454395425643,0.8262581999999999,0.9248687
SVM,0.9752436,0.016512795009930935,0.9784,0.8773965000000001,0.04518064693815262,0.7710267000000001,0.0896020610092759,0.7089466999999999,0.9497158
