Model,AUC_Mean,AUC_SD,AUC_Median,Accuracy_Mean,Accuracy_SD,F1_Mean,F1_SD,Sensitivity_Mean,Specificity_Mean
MLP,0.8486648,0.055172143342088864,0.8531,0.8511817,0.043345420462950875,0.6758483,0.10130873435745805,0.6063616999999999,0.9392003
MobileNet,0.8778267000000001,0.04678647066310943,0.88125,0.8217767,0.04629472936641925,0.6132084999999999,0.10703663147609793,0.5515028,0.9188746
PointNet,0.8207751,0.07393373472231739,0.8232,0.8501508000000001,0.044225544873523044,0.6921582,0.09680804291359267,0.6564067,0.9198137
ResNet+AE,0.8750990999999999,0.04968244427551849,0.8789,0.8495638999999999,0.044145774959671966,0.6916481,0.09688991297544858,0.6572555999999999,0.9188746
ResNet,0.8527471000000001,0.06256473872390102,0.8558,0.8508427,0.04392821219569493,0.6950788,0.09574490696930046,0.6617677,0.9188746
SqueezeNet,0.8471622,0.05587746765163933,0.8489,0.7783732999999999,0.049580774672346534,0.5640715000000001,0.10152828255097197,0.5570780999999999,0.857978
SVM,0.8505227999999999,0.06709445849069802,0.85415,0.8519599000000001,0.04334179601712417,0.6556038,0.10705195087227509,0.5515028,0.9598277
