Model,AUC_Mean,AUC_SD,AUC_Median,Accuracy_Mean,Accuracy_SD,F1_Mean,F1_SD,Sensitivity_Mean,Specificity_Mean
MLP,0.8952165,0.053030278311074326,0.90215,0.8667370000000001,0.043812001449374575,0.7654053000000001,0.08263256393160023,0.6560653999999999,0.9761695
MobileNet,0.9010878999999999,0.05385162285010546,0.9077500000000001,0.8518421,0.043356746621373704,0.74592,0.08130122865000258,0.6560653999999999,0.9535584
PointNet,0.8237244,0.06937971926031411,0.8297,0.8508281000000001,0.04409852333570819,0.7563781,0.07984331187012474,0.6976858,0.9305064
ResNet+AE,0.8933996,0.05479987463343324,0.9012,0.8510659999999999,0.0446386129264788,0.7574583,0.07816884578340659,0.6995878,0.9297684999999999
ResNet,0.8964300000000001,0.05350519918662111,0.90315,0.8670654999999999,0.04277309107078888,0.7659365,0.0810660046983321,0.6560653999999999,0.9766571
SqueezeNet,0.8777443,0.059859981352402704,0.8869,0.8362601999999999,0.04607156472228831,0.7268456999999999,0.08324471131255126,0.6560653999999999,0.9297684999999999
SVM,0.91444,0.03754851741414034,0.9189,0.8518421,0.043356746621373704,0.74592,0.08130122865000258,0.6560653999999999,0.9535584
