round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
163,3,198,10,73,0.7077,0.9519,0.0395,0.8267,0.0395,0.9519,0.0674,0.5784
164,5,190,8,81,0.6866,0.9596,0.0581,0.8102,0.0581,0.9596,0.101,0.586
165,4,204,11,65,0.7324,0.9488,0.058,0.843,0.058,0.9488,0.0952,0.6289
166,10,188,10,76,0.6972,0.9495,0.1163,0.8139,0.1163,0.9495,0.1887,0.5953
167,10,184,14,76,0.6831,0.9293,0.1163,0.8035,0.1163,0.9293,0.1818,0.6475
168,5,202,6,71,0.7289,0.9712,0.0658,0.8399,0.0658,0.9712,0.1149,0.6322
169,11,202,6,65,0.75,0.9712,0.1447,0.8505,0.1447,0.9712,0.2366,0.6144
170,5,196,9,74,0.7077,0.9561,0.0633,0.8253,0.0633,0.9561,0.1075,0.563
171,6,188,6,84,0.6831,0.9691,0.0667,0.8069,0.0667,0.9691,0.1176,0.6429
172,5,209,7,63,0.7535,0.9676,0.0735,0.8566,0.0735,0.9676,0.125,0.6016
173,12,181,9,82,0.6796,0.9526,0.1277,0.7991,0.1277,0.9526,0.2087,0.6671
174,9,191,12,72,0.7042,0.9409,0.1111,0.8197,0.1111,0.9409,0.1765,0.6334
175,8,199,10,67,0.7289,0.9522,0.1067,0.8379,0.1067,0.9522,0.172,0.6052
176,8,182,14,80,0.669,0.9286,0.0909,0.7948,0.0909,0.9286,0.1455,0.5928
177,3,198,9,74,0.7077,0.9565,0.039,0.8267,0.039,0.9565,0.0674,0.5674
178,6,185,6,87,0.6725,0.9686,0.0645,0.7991,0.0645,0.9686,0.1143,0.6337
179,14,196,3,71,0.7394,0.9849,0.1647,0.8412,0.1647,0.9849,0.2745,0.6653
180,6,192,13,73,0.6972,0.9366,0.0759,0.817,0.0759,0.9366,0.1224,0.5442
181,2,186,6,90,0.662,0.9688,0.0217,0.7949,0.0217,0.9688,0.04,0.5279
182,8,179,9,88,0.6585,0.9521,0.0833,0.7868,0.0833,0.9521,0.1416,0.5988
183,13,182,11,78,0.6866,0.943,0.1429,0.8035,0.1429,0.943,0.2261,0.6212
184,6,185,7,86,0.6725,0.9635,0.0652,0.7991,0.0652,0.9635,0.1143,0.5735
185,4,203,8,69,0.7289,0.9621,0.0548,0.8406,0.0548,0.9621,0.0941,0.5935
186,17,178,2,87,0.6866,0.9889,0.1635,0.8,0.1635,0.9889,0.2764,0.6598
187,11,195,5,73,0.7254,0.975,0.131,0.8333,0.131,0.975,0.22,0.6673
188,8,178,11,87,0.6549,0.9418,0.0842,0.7841,0.0842,0.9418,0.1404,0.6373
189,6,180,10,88,0.6549,0.9474,0.0638,0.786,0.0638,0.9474,0.1091,0.6179
190,5,197,9,73,0.7113,0.9563,0.0641,0.8277,0.0641,0.9563,0.1087,0.6016
191,3,180,12,89,0.6444,0.9375,0.0326,0.7809,0.0326,0.9375,0.0561,0.6145
192,6,196,11,71,0.7113,0.9469,0.0779,0.827,0.0779,0.9469,0.1277,0.6335
193,13,181,8,82,0.6831,0.9577,0.1368,0.8009,0.1368,0.9577,0.2241,0.6026
194,11,177,5,91,0.662,0.9725,0.1078,0.7867,0.1078,0.9725,0.1864,0.6419
195,11,192,5,76,0.7148,0.9746,0.1264,0.8258,0.1264,0.9746,0.2136,0.6601
196,3,196,10,75,0.7007,0.9515,0.0385,0.8218,0.0385,0.9515,0.0659,0.5847
197,9,199,9,67,0.7324,0.9567,0.1184,0.8397,0.1184,0.9567,0.1915,0.6468
198,8,186,11,79,0.6831,0.9442,0.092,0.8052,0.092,0.9442,0.1509,0.6715
199,9,187,9,79,0.6901,0.9541,0.1023,0.8095,0.1023,0.9541,0.1698,0.6546
200,6,189,4,85,0.6866,0.9793,0.0659,0.8094,0.0659,0.9793,0.1188,0.6417
201,13,196,7,68,0.7359,0.9655,0.1605,0.8394,0.1605,0.9655,0.2574,0.6259
202,6,183,8,87,0.6655,0.9581,0.0645,0.7939,0.0645,0.9581,0.1121,0.568
203,7,181,10,86,0.662,0.9476,0.0753,0.7904,0.0753,0.9476,0.1273,0.5755
204,7,187,6,84,0.6831,0.9689,0.0769,0.806,0.0769,0.9689,0.1346,0.6157
205,4,196,8,76,0.7042,0.9608,0.05,0.8235,0.05,0.9608,0.087,0.6093
206,11,197,8,68,0.7324,0.961,0.1392,0.8383,0.1392,0.961,0.2245,0.6818
207,8,188,15,73,0.6901,0.9261,0.0988,0.8103,0.0988,0.9261,0.1538,0.6186
208,8,188,12,76,0.6901,0.94,0.0952,0.8103,0.0952,0.94,0.1538,0.6467
209,6,200,11,67,0.7254,0.9479,0.0822,0.8368,0.0822,0.9479,0.1333,0.6289
210,4,184,10,86,0.662,0.9485,0.0444,0.7931,0.0444,0.9485,0.0769,0.5793
211,10,184,12,78,0.6831,0.9388,0.1136,0.8035,0.1136,0.9388,0.1818,0.5451
212,11,201,10,62,0.7465,0.9526,0.1507,0.8481,0.1507,0.9526,0.234,0.6776
213,2,191,7,84,0.6796,0.9646,0.0233,0.8076,0.0233,0.9646,0.0421,0.6206
214,12,203,12,57,0.757,0.9442,0.1739,0.8547,0.1739,0.9442,0.2581,0.6243
215,6,196,12,70,0.7113,0.9423,0.0789,0.827,0.0789,0.9423,0.1277,0.6221
216,6,191,8,79,0.6937,0.9598,0.0706,0.8145,0.0706,0.9598,0.1212,0.5805
217,4,186,8,86,0.669,0.9588,0.0444,0.7983,0.0444,0.9588,0.0784,0.5966
218,9,183,10,82,0.6761,0.9482,0.0989,0.7991,0.0989,0.9482,0.1636,0.5993
219,8,192,10,74,0.7042,0.9505,0.0976,0.8205,0.0976,0.9505,0.16,0.6326
220,7,196,7,74,0.7148,0.9655,0.0864,0.8288,0.0864,0.9655,0.1474,0.6598
221,3,206,9,66,0.7359,0.9581,0.0435,0.846,0.0435,0.9581,0.0741,0.6362
222,4,183,8,89,0.6585,0.9581,0.043,0.7905,0.043,0.9581,0.0762,0.5509
223,11,182,13,78,0.6796,0.9333,0.1236,0.8,0.1236,0.9333,0.1947,0.6259
224,7,180,13,84,0.6585,0.9326,0.0769,0.7877,0.0769,0.9326,0.1261,0.6382
225,11,200,6,67,0.743,0.9709,0.141,0.8457,0.141,0.9709,0.2316,0.606
226,5,213,6,60,0.7676,0.9726,0.0769,0.8659,0.0769,0.9726,0.1316,0.6188
227,12,188,11,73,0.7042,0.9447,0.1412,0.8174,0.1412,0.9447,0.2222,0.6741
228,7,202,8,67,0.7359,0.9619,0.0946,0.8434,0.0946,0.9619,0.1573,0.6288
229,10,184,7,83,0.6831,0.9634,0.1075,0.8035,0.1075,0.9634,0.1818,0.6149
230,7,194,11,72,0.7077,0.9463,0.0886,0.8238,0.0886,0.9463,0.1443,0.6185
231,1,200,11,72,0.7077,0.9479,0.0137,0.8282,0.0137,0.9479,0.0235,0.6231
232,5,200,7,72,0.7218,0.9662,0.0649,0.8351,0.0649,0.9662,0.1124,0.6335
233,8,183,4,89,0.6725,0.9786,0.0825,0.7974,0.0825,0.9786,0.1468,0.7126
234,8,194,6,76,0.7113,0.97,0.0952,0.8255,0.0952,0.97,0.1633,0.6566
235,7,186,14,77,0.6796,0.93,0.0833,0.8035,0.0833,0.93,0.1333,0.601
236,6,200,8,70,0.7254,0.9615,0.0789,0.8368,0.0789,0.9615,0.1333,0.6526
237,12,191,4,77,0.7148,0.9795,0.1348,0.8251,0.1348,0.9795,0.2286,0.6927
238,18,181,10,75,0.7007,0.9476,0.1935,0.8098,0.1935,0.9476,0.2975,0.677
239,11,198,5,70,0.7359,0.9754,0.1358,0.8408,0.1358,0.9754,0.2268,0.6296
240,7,189,15,73,0.6901,0.9265,0.0875,0.8112,0.0875,0.9265,0.1373,0.5378
241,10,201,5,68,0.743,0.9757,0.1282,0.8463,0.1282,0.9757,0.2151,0.6241
242,10,189,13,72,0.7007,0.9356,0.122,0.8164,0.122,0.9356,0.1905,0.6354
243,9,179,13,83,0.662,0.9323,0.0978,0.7885,0.0978,0.9323,0.1579,0.5483
244,8,197,8,71,0.7218,0.961,0.1013,0.833,0.1013,0.961,0.1684,0.6912
245,4,193,8,79,0.6937,0.9602,0.0482,0.8161,0.0482,0.9602,0.0842,0.617
246,6,203,5,70,0.7359,0.976,0.0789,0.8441,0.0789,0.976,0.1379,0.5846
247,13,190,9,72,0.7148,0.9548,0.1529,0.8243,0.1529,0.9548,0.243,0.6238
248,9,185,12,78,0.6831,0.9391,0.1034,0.8043,0.1034,0.9391,0.1667,0.6025
