Mean_Acc,Acc_SD,Acc_95CI,Mean_Sens,Sens_95CI,Mean_Spec,Spec_95CI,Mean_F1,F1_95CI,Mean_AUC,AUC_95CI,Dataset,Side,Model,Test_N,Pos_N,Neg_N
54.11%,+/-15.49%,"[27.27%, 81.82%]",0.00%,"[0.00%, 0.00%]",74.43%,"[39.94%, 100.00%]",34.44%,"[21.43%, 45.00%]",0.5344,"[0.1786, 0.8889]",Ds004469,Left,ResNet (AutoEncoder),11,3,8
54.94%,+/-15.04%,"[27.27%, 81.82%]",0.00%,"[0.00%, 0.00%]",75.86%,"[42.86%, 100.00%]",34.82%,"[21.43%, 45.00%]",0.4164,"[0.0000, 0.8000]",Ds004469,Left,MobileNet,11,3,8
53.63%,+/-14.91%,"[27.27%, 81.82%]",31.97%,"[0.00%, 100.00%]",61.35%,"[25.00%, 90.00%]",44.78%,"[21.43%, 77.08%]",0.5713,"[0.2222, 0.8890]",Ds004469,Left,SqueezeNet,11,3,8
54.74%,+/-15.34%,"[27.27%, 81.82%]",0.00%,"[0.00%, 0.00%]",74.43%,"[40.00%, 100.00%]",34.72%,"[21.43%, 45.00%]",0.3327,"[0.0000, 0.7778]",Ds004469,Left,PointNet,11,3,8
81.75%,+/-12.09%,"[54.55%, 100.00%]",0.00%,"[0.00%, 0.00%]",90.02%,"[66.67%, 100.00%]",44.72%,"[35.29%, 50.00%]",0.1820,"[0.0000, 0.5000]",Ds004469,Right,SVM,11,1,10
91.51%,+/-8.56%,"[72.73%, 100.00%]",0.00%,"[0.00%, 0.00%]",100.00%,"[100.00%, 100.00%]",47.67%,"[42.11%, 50.00%]",0.1930,"[0.0000, 0.5000]",Ds004469,Right,MLP,11,1,10
72.65%,+/-13.24%,"[45.45%, 100.00%]",0.00%,"[0.00%, 0.00%]",80.04%,"[50.00%, 100.00%]",41.73%,"[31.25%, 50.00%]",0.2301,"[0.0000, 0.5000]",Ds004469,Right,ResNet (Standard),11,1,10
82.02%,+/-11.63%,"[54.55%, 100.00%]",0.00%,"[0.00%, 0.00%]",90.25%,"[70.00%, 100.00%]",44.83%,"[35.29%, 50.00%]",0.5069,"[0.2000, 0.7783]",Ds004469,Right,ResNet (AutoEncoder),11,1,10
81.83%,+/-11.73%,"[54.55%, 100.00%]",0.00%,"[0.00%, 0.00%]",89.98%,"[70.00%, 100.00%]",44.76%,"[35.29%, 50.00%]",0.7603,"[0.5000, 1.0000]",Ds004469,Right,MobileNet,11,1,10
82.11%,+/-11.45%,"[54.55%, 100.00%]",0.00%,"[0.00%, 0.00%]",90.32%,"[70.00%, 100.00%]",44.86%,"[35.29%, 50.00%]",0.5060,"[0.2217, 0.8000]",Ds004469,Right,SqueezeNet,11,1,10
91.15%,+/-8.55%,"[72.73%, 100.00%]",0.00%,"[0.00%, 0.00%]",100.00%,"[100.00%, 100.00%]",47.58%,"[42.11%, 50.00%]",0.5686,"[0.3333, 0.8750]",Ds004469,Right,PointNet,11,1,10
