Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
Accuracy,Ds005602,left,MobileNet,ResNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MobileNet,SqueezeNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,MobileNet,SVM,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,PointNet,ResNet+AE,0.911,0.9295,9.36999299555348e-43,Yes (p<0.01)
Accuracy,Ds005602,left,PointNet,ResNet,0.911,0.9464,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,PointNet,SqueezeNet,0.911,0.9464,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,PointNet,SVM,0.911,0.9464,3.520126466564841e-148,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,ResNet,0.9295,0.9464,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,SqueezeNet,0.9295,0.9464,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet+AE,SVM,0.9295,0.9464,1.2355065524894087e-149,Yes (p<0.01)
Accuracy,Ds005602,left,ResNet,SqueezeNet,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,ResNet,SVM,0.9464,0.9464,1.0,No
Accuracy,Ds005602,left,SqueezeNet,SVM,0.9464,0.9464,1.0,No
Accuracy,Ds005602,right,MLP,MobileNet,0.8774,0.878,0.4601523739004136,No
Accuracy,Ds005602,right,MLP,PointNet,0.8774,0.9133,4.7852182373751756e-119,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,ResNet+AE,0.8774,0.9123,2.5459114285053404e-154,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,ResNet,0.8774,0.9124,6.0489769956650095e-249,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,SqueezeNet,0.8774,0.895,9.45769490444982e-66,Yes (p<0.01)
Accuracy,Ds005602,right,MLP,SVM,0.8774,0.8774,1.0,No
Accuracy,Ds005602,right,MobileNet,PointNet,0.878,0.9133,7.117536620174812e-118,Yes (p<0.01)
Accuracy,Ds005602,right,MobileNet,ResNet+AE,0.878,0.9123,1.5560243233309068e-234,Yes (p<0.01)
Accuracy,Ds005602,right,MobileNet,ResNet,0.878,0.9124,6.31111696546028e-244,Yes (p<0.01)
Accuracy,Ds005602,right,MobileNet,SqueezeNet,0.878,0.895,2.6467672387269465e-147,Yes (p<0.01)
Accuracy,Ds005602,right,MobileNet,SVM,0.878,0.8774,0.4601523739004136,No
Accuracy,Ds005602,right,PointNet,ResNet+AE,0.9133,0.9123,0.5146077047588348,No
Accuracy,Ds005602,right,PointNet,ResNet,0.9133,0.9124,0.5081986002373775,No
Accuracy,Ds005602,right,PointNet,SqueezeNet,0.9133,0.895,2.220195008919278e-35,Yes (p<0.01)
Accuracy,Ds005602,right,PointNet,SVM,0.9133,0.8774,4.7852182373751756e-119,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet+AE,ResNet,0.9123,0.9124,0.8736574237123904,No
Accuracy,Ds005602,right,ResNet+AE,SqueezeNet,0.9123,0.895,5.805395782054014e-150,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet+AE,SVM,0.9123,0.8774,2.5459114285053404e-154,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet,SqueezeNet,0.9124,0.895,1.0990576457875608e-157,Yes (p<0.01)
Accuracy,Ds005602,right,ResNet,SVM,0.9124,0.8774,6.0489769956650095e-249,Yes (p<0.01)
