Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
F1_Class1,Ds005602,right,MobileNet,SVM,0.8187,0.8429,1.3924640371283488e-149,Yes (p<0.01)
F1_Class1,Ds005602,right,ResNet+AE,ResNet,0.8264,0.8023,8.113989480799517e-150,Yes (p<0.01)
F1_Class1,Ds005602,right,ResNet+AE,SVM,0.8264,0.8429,3.138045917189602e-152,Yes (p<0.01)
F1_Class1,Ds005602,right,ResNet,SVM,0.8023,0.8429,2.730822761729389e-230,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,MLP,MobileNet,0.812,0.875,0.0,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,MLP,ResNet+AE,0.812,0.8123,0.6597158979587147,No
Sensitivity_Class0,All_Augment_tain,left,MLP,ResNet,0.812,0.875,0.0,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,MLP,SVM,0.812,0.8442,1.7632479690816115e-168,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,MobileNet,ResNet+AE,0.875,0.8123,0.0,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,MobileNet,ResNet,0.875,0.875,,No
Sensitivity_Class0,All_Augment_tain,left,MobileNet,SVM,0.875,0.8442,4.2021492226300735e-239,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,ResNet+AE,ResNet,0.8123,0.875,0.0,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,ResNet+AE,SVM,0.8123,0.8442,1.246403709448811e-168,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,left,ResNet,SVM,0.875,0.8442,4.2021492226300735e-239,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,MLP,MobileNet,0.9338,0.9335,0.7202039683301232,No
Sensitivity_Class0,All_Augment_tain,right,MLP,ResNet+AE,0.9338,0.9208,1.044323839695991e-40,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,MLP,ResNet,0.9338,0.9468,9.10878240460185e-37,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,MLP,SVM,0.9338,0.8936,7.366259682792127e-180,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,MobileNet,ResNet+AE,0.9335,0.9208,5.1025885017618356e-55,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,MobileNet,ResNet,0.9335,0.9468,2.463485110626491e-153,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,MobileNet,SVM,0.9335,0.8936,1.5339061413513786e-301,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,ResNet+AE,ResNet,0.9208,0.9468,3.7785609677358274e-135,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,ResNet+AE,SVM,0.9208,0.8936,1.0855260894057062e-235,Yes (p<0.01)
Sensitivity_Class0,All_Augment_tain,right,ResNet,SVM,0.9468,0.8936,0.0,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MLP,MobileNet,0.8868,0.7911,0.0,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MLP,ResNet+AE,0.8868,0.7352,0.0,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MLP,ResNet,0.8868,0.8301,9.58267659958816e-187,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MLP,SVM,0.8868,0.794,0.0,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MobileNet,ResNet+AE,0.7911,0.7352,1.4793199890805388e-222,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MobileNet,ResNet,0.7911,0.8301,3.9051336940554666e-155,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,MobileNet,SVM,0.7911,0.794,0.0689779322757117,No
Sensitivity_Class0,Ds005602,left,ResNet+AE,ResNet,0.7352,0.8301,0.0,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,ResNet+AE,SVM,0.7352,0.794,1.3048869125061735e-308,Yes (p<0.01)
Sensitivity_Class0,Ds005602,left,ResNet,SVM,0.8301,0.794,6.158404973277764e-144,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MLP,MobileNet,0.9343,0.9182,4.078678444737769e-152,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MLP,ResNet+AE,0.9343,0.9013,1.397352597443597e-240,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MLP,ResNet,0.9343,0.9013,1.397352597443597e-240,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MLP,SVM,0.9343,0.9182,4.078678444737769e-152,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MobileNet,ResNet+AE,0.9182,0.9013,5.381889171729037e-156,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MobileNet,ResNet,0.9182,0.9013,5.381889171729037e-156,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,MobileNet,SVM,0.9182,0.9182,,No
Sensitivity_Class0,Ds005602,right,ResNet+AE,ResNet,0.9013,0.9013,,No
Sensitivity_Class0,Ds005602,right,ResNet+AE,SVM,0.9013,0.9182,5.381889171729037e-156,Yes (p<0.01)
Sensitivity_Class0,Ds005602,right,ResNet,SVM,0.9013,0.9182,5.381889171729037e-156,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,MLP,MobileNet,0.7438,0.6595,6.678252383032909e-308,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,MLP,ResNet+AE,0.7438,0.6845,3.11190828301157e-234,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,MLP,ResNet,0.7438,0.7438,,No
Sensitivity_Class1,All_Augment_tain,left,MLP,SVM,0.7438,0.6845,3.11190828301157e-234,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,MobileNet,ResNet+AE,0.6595,0.6845,1.4176200712650157e-51,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,MobileNet,ResNet,0.6595,0.7438,6.678252383032909e-308,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,MobileNet,SVM,0.6595,0.6845,1.4176200712650157e-51,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,ResNet+AE,ResNet,0.6845,0.7438,3.11190828301157e-234,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,left,ResNet+AE,SVM,0.6845,0.6845,,No
Sensitivity_Class1,All_Augment_tain,left,ResNet,SVM,0.7438,0.6845,3.11190828301157e-234,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MLP,MobileNet,0.7047,0.7778,6.887520116910993e-249,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MLP,ResNet+AE,0.7047,0.6675,3.5503334865667374e-61,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MLP,ResNet,0.7047,0.6299,1.2082675724543206e-251,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MLP,SVM,0.7047,0.6675,3.5503334865667374e-61,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MobileNet,ResNet+AE,0.7778,0.6675,0.0,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MobileNet,ResNet,0.7778,0.6299,0.0,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,MobileNet,SVM,0.7778,0.6675,0.0,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,ResNet+AE,ResNet,0.6675,0.6299,4.130010371965875e-146,Yes (p<0.01)
Sensitivity_Class1,All_Augment_tain,right,ResNet+AE,SVM,0.6675,0.6675,,No
Sensitivity_Class1,All_Augment_tain,right,ResNet,SVM,0.6299,0.6675,4.130010371965875e-146,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,MLP,MobileNet,0.6783,0.6786,0.8326227832546922,No
Sensitivity_Class1,Ds005602,left,MLP,ResNet+AE,0.6783,0.7116,4.725902600510427e-70,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,MLP,ResNet,0.6783,0.7119,4.992038472639498e-70,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,MLP,SVM,0.6783,0.7116,4.725902600510427e-70,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,MobileNet,ResNet+AE,0.6786,0.7116,2.4562716856897167e-162,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,MobileNet,ResNet,0.6786,0.7119,6.146148918069319e-154,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,MobileNet,SVM,0.6786,0.7116,2.4562716856897167e-162,Yes (p<0.01)
Sensitivity_Class1,Ds005602,left,ResNet+AE,ResNet,0.7116,0.7119,0.8849647531673407,No
Sensitivity_Class1,Ds005602,left,ResNet+AE,SVM,0.7116,0.7116,,No
Sensitivity_Class1,Ds005602,left,ResNet,SVM,0.7119,0.7116,0.8849647531673407,No
Sensitivity_Class1,Ds005602,right,MLP,MobileNet,0.8798,0.8376,2.970450606433137e-154,Yes (p<0.01)
Sensitivity_Class1,Ds005602,right,MLP,ResNet+AE,0.8798,0.8798,,No
Sensitivity_Class1,Ds005602,right,MLP,ResNet,0.8798,0.8376,2.970450606433137e-154,Yes (p<0.01)
Sensitivity_Class1,Ds005602,right,MLP,SVM,0.8798,0.8798,,No
Sensitivity_Class1,Ds005602,right,MobileNet,ResNet+AE,0.8376,0.8798,2.970450606433137e-154,Yes (p<0.01)
Sensitivity_Class1,Ds005602,right,MobileNet,ResNet,0.8376,0.8376,,No
