round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
740,8,37,4,5,0.8333,0.9024,0.6154,0.8916,0.6154,0.9024,0.64,0.7242
741,2,39,10,3,0.7593,0.7959,0.4,0.8571,0.4,0.7959,0.2353,0.5633
742,2,32,12,8,0.6296,0.7273,0.2,0.7619,0.2,0.7273,0.1667,0.2818
743,3,41,4,6,0.8148,0.9111,0.3333,0.8913,0.3333,0.9111,0.375,0.5358
744,4,34,10,6,0.7037,0.7727,0.4,0.8095,0.4,0.7727,0.3333,0.4727
745,1,42,10,1,0.7963,0.8077,0.5,0.8842,0.5,0.8077,0.1538,0.5769
746,2,36,7,9,0.7037,0.8372,0.1818,0.8182,0.1818,0.8372,0.2,0.3932
747,1,44,5,4,0.8333,0.898,0.2,0.9072,0.2,0.898,0.1818,0.4122
748,7,32,8,7,0.7222,0.8,0.5,0.8101,0.5,0.8,0.4828,0.6357
749,5,40,9,0,0.8333,0.8163,1.0,0.8989,1.0,0.8163,0.5263,1.0
750,7,36,6,5,0.7963,0.8571,0.5833,0.8675,0.5833,0.8571,0.56,0.7143
751,1,39,8,6,0.7407,0.8298,0.1429,0.8478,0.1429,0.8298,0.125,0.3161
752,4,43,3,4,0.8704,0.9348,0.5,0.9247,0.5,0.9348,0.5333,0.5326
753,7,34,9,4,0.7593,0.7907,0.6364,0.8395,0.6364,0.7907,0.5185,0.6871
754,3,39,8,4,0.7778,0.8298,0.4286,0.8667,0.4286,0.8298,0.3333,0.5623
755,2,38,6,8,0.7407,0.8636,0.2,0.8444,0.2,0.8636,0.2222,0.4227
756,5,39,5,5,0.8148,0.8864,0.5,0.8864,0.5,0.8864,0.5,0.6
757,1,36,8,9,0.6852,0.8182,0.1,0.809,0.1,0.8182,0.1053,0.3182
758,1,38,6,9,0.7222,0.8636,0.1,0.8352,0.1,0.8636,0.1176,0.3591
759,1,44,5,4,0.8333,0.898,0.2,0.9072,0.2,0.898,0.1818,0.4327
760,1,37,12,4,0.7037,0.7551,0.2,0.8222,0.2,0.7551,0.1111,0.3102
761,4,44,1,5,0.8889,0.9778,0.4444,0.9362,0.4444,0.9778,0.5714,0.5926
762,1,41,7,5,0.7778,0.8542,0.1667,0.8723,0.1667,0.8542,0.1429,0.4444
763,4,42,6,2,0.8519,0.875,0.6667,0.913,0.6667,0.875,0.5,0.6979
764,3,37,8,6,0.7407,0.8222,0.3333,0.8409,0.3333,0.8222,0.3,0.6
765,4,37,8,5,0.7593,0.8222,0.4444,0.8506,0.4444,0.8222,0.381,0.5605
766,3,38,9,4,0.7593,0.8085,0.4286,0.8539,0.4286,0.8085,0.3158,0.4529
767,2,48,2,2,0.9259,0.96,0.5,0.96,0.5,0.96,0.5,0.605
768,3,36,10,5,0.7222,0.7826,0.375,0.8276,0.375,0.7826,0.2857,0.519
769,4,36,8,6,0.7407,0.8182,0.4,0.8372,0.4,0.8182,0.3636,0.4727
770,3,39,6,6,0.7778,0.8667,0.3333,0.8667,0.3333,0.8667,0.3333,0.5259
771,4,32,13,5,0.6667,0.7111,0.4444,0.7805,0.4444,0.7111,0.3077,0.6568
772,5,38,8,3,0.7963,0.8261,0.625,0.8736,0.625,0.8261,0.4762,0.6902
773,3,40,6,5,0.7963,0.8696,0.375,0.8791,0.375,0.8696,0.3529,0.6005
774,3,35,10,6,0.7037,0.7778,0.3333,0.814,0.3333,0.7778,0.2727,0.5235
775,5,40,5,4,0.8333,0.8889,0.5556,0.8989,0.5556,0.8889,0.5263,0.6494
776,4,35,10,5,0.7222,0.7778,0.4444,0.8235,0.4444,0.7778,0.3478,0.5827
777,3,37,5,9,0.7407,0.881,0.25,0.8409,0.25,0.881,0.3,0.4544
778,1,41,9,3,0.7778,0.82,0.25,0.8723,0.25,0.82,0.1429,0.505
779,1,42,6,5,0.7963,0.875,0.1667,0.8842,0.1667,0.875,0.1538,0.3611
780,2,40,10,2,0.7778,0.8,0.5,0.8696,0.5,0.8,0.25,0.69
781,5,36,7,6,0.7593,0.8372,0.4545,0.8471,0.4545,0.8372,0.4348,0.6216
782,4,35,8,7,0.7222,0.814,0.3636,0.8235,0.3636,0.814,0.3478,0.537
783,2,40,7,5,0.7778,0.8511,0.2857,0.8696,0.2857,0.8511,0.25,0.3982
784,3,38,8,5,0.7593,0.8261,0.375,0.8539,0.375,0.8261,0.3158,0.481
785,4,39,4,7,0.7963,0.907,0.3636,0.8764,0.3636,0.907,0.4211,0.592
786,4,33,9,8,0.6852,0.7857,0.3333,0.7952,0.3333,0.7857,0.32,0.4921
787,1,37,11,5,0.7037,0.7708,0.1667,0.8222,0.1667,0.7708,0.1111,0.3403
788,2,46,3,3,0.8889,0.9388,0.4,0.9388,0.4,0.9388,0.4,0.6286
789,0,40,8,6,0.7407,0.8333,0.0,0.8511,0.0,0.8333,0.0,0.2708
790,1,42,7,4,0.7963,0.8571,0.2,0.8842,0.2,0.8571,0.1538,0.2939
791,4,41,5,4,0.8333,0.8913,0.5,0.9011,0.5,0.8913,0.4706,0.644
792,3,38,5,8,0.7593,0.8837,0.2727,0.8539,0.2727,0.8837,0.3158,0.4905
793,6,30,10,8,0.6667,0.75,0.4286,0.7692,0.4286,0.75,0.4,0.5804
794,1,41,9,3,0.7778,0.82,0.25,0.8723,0.25,0.82,0.1429,0.345
