round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11
925,14,37,16,7,0.6892,0.6667,0.6981,0.549,0.7412,13,40,13,8,0.7162,0.619,0.7547,0.5532,0.7475,16,36,17,5,0.7027,0.7619,0.6792,0.5926,0.7996,15,38,15,6,0.7162,0.7143,0.717,0.5882,0.7763,19,44,9,2,0.8514,0.9048,0.8302,0.7755,0.9155,17,36,17,4,0.7162,0.8095,0.6792,0.6182,0.7682,14,46,9,6,0.8,0.7,0.8364,0.6512,0.89,15,48,7,5,0.84,0.75,0.8727,0.7143,0.92,17,50,5,3,0.8933,0.85,0.9091,0.8095,0.9409,14,46,9,6,0.8,0.7,0.8364,0.6512,0.9136,18,49,6,2,0.8933,0.9,0.8909,0.8182,0.9427,13,45,10,7,0.7733,0.65,0.8182,0.6047,0.8873
926,15,26,27,6,0.5541,0.7143,0.4906,0.4762,0.7394,13,31,22,8,0.5946,0.619,0.5849,0.4643,0.7502,13,33,20,8,0.6216,0.619,0.6226,0.4815,0.7215,14,32,21,7,0.6216,0.6667,0.6038,0.5,0.7269,15,36,17,6,0.6892,0.7143,0.6792,0.566,0.8589,17,29,24,4,0.6216,0.8095,0.5472,0.5484,0.7372,11,42,17,5,0.7067,0.6875,0.7119,0.5,0.8475,12,51,8,4,0.84,0.75,0.8644,0.6667,0.8972,14,52,7,2,0.88,0.875,0.8814,0.7568,0.9163,11,50,9,5,0.8133,0.6875,0.8475,0.6111,0.8909,16,47,12,0,0.84,1.0,0.7966,0.7273,0.9248,10,43,16,6,0.7067,0.625,0.7288,0.4762,0.8559
927,12,32,16,14,0.5946,0.4615,0.6667,0.4444,0.722,13,33,15,13,0.6216,0.5,0.6875,0.4815,0.7324,15,35,13,11,0.6757,0.5769,0.7292,0.5556,0.6923,15,34,14,11,0.6622,0.5769,0.7083,0.5455,0.7196,19,32,16,7,0.6892,0.7308,0.6667,0.623,0.8429,17,32,16,9,0.6622,0.6538,0.6667,0.5763,0.7228,16,45,7,7,0.8133,0.6957,0.8654,0.6957,0.8645,14,45,7,9,0.7867,0.6087,0.8654,0.6364,0.8545,18,45,7,5,0.84,0.7826,0.8654,0.75,0.8746,14,45,7,9,0.7867,0.6087,0.8654,0.6364,0.8696,17,44,8,6,0.8133,0.7391,0.8462,0.7083,0.8403,17,45,7,6,0.8267,0.7391,0.8654,0.7234,0.8721
928,14,26,18,16,0.5405,0.4667,0.5909,0.4516,0.6659,18,28,16,12,0.6216,0.6,0.6364,0.5625,0.6811,22,27,17,8,0.6622,0.7333,0.6136,0.6377,0.728,23,28,16,7,0.6892,0.7667,0.6364,0.6667,0.728,27,31,13,3,0.7838,0.9,0.7045,0.7714,0.8811,22,25,19,8,0.6351,0.7333,0.5682,0.6197,0.6765,14,43,11,7,0.76,0.6667,0.7963,0.6087,0.8448,15,46,8,6,0.8133,0.7143,0.8519,0.6818,0.8342,16,49,5,5,0.8667,0.7619,0.9074,0.7619,0.8801,14,43,11,7,0.76,0.6667,0.7963,0.6087,0.8651,17,44,10,4,0.8133,0.8095,0.8148,0.7083,0.8624,15,44,10,6,0.7867,0.7143,0.8148,0.6522,0.8607
929,18,36,13,7,0.7297,0.72,0.7347,0.6429,0.8196,17,38,11,8,0.7432,0.68,0.7755,0.6415,0.8131,20,35,14,5,0.7432,0.8,0.7143,0.678,0.8424,20,33,16,5,0.7162,0.8,0.6735,0.6557,0.84,23,38,11,2,0.8243,0.92,0.7755,0.7797,0.9061,21,33,16,4,0.7297,0.84,0.6735,0.6774,0.8106,17,38,10,10,0.7333,0.6296,0.7917,0.6296,0.7932,23,40,8,4,0.84,0.8519,0.8333,0.7931,0.8194,20,40,8,7,0.8,0.7407,0.8333,0.7273,0.8403,19,39,9,8,0.7733,0.7037,0.8125,0.6909,0.8364,23,38,10,4,0.8133,0.8519,0.7917,0.7667,0.8341,17,37,11,10,0.72,0.6296,0.7708,0.6182,0.8009
930,8,33,18,15,0.5541,0.3478,0.6471,0.3265,0.5678,11,34,17,12,0.6081,0.4783,0.6667,0.4314,0.6155,12,31,20,11,0.5811,0.5217,0.6078,0.4364,0.5695,11,32,19,12,0.5811,0.4783,0.6275,0.4151,0.5772,14,36,15,9,0.6757,0.6087,0.7059,0.5385,0.746,15,29,22,8,0.5946,0.6522,0.5686,0.5,0.6232,9,48,11,7,0.76,0.5625,0.8136,0.5,0.8506,11,53,6,5,0.8533,0.6875,0.8983,0.6667,0.8602,13,53,6,3,0.88,0.8125,0.8983,0.7429,0.911,10,51,8,6,0.8133,0.625,0.8644,0.5882,0.8729,13,49,10,3,0.8267,0.8125,0.8305,0.6667,0.9068,10,47,12,6,0.76,0.625,0.7966,0.5263,0.8485
931,16,32,18,8,0.6486,0.6667,0.64,0.5517,0.7842,15,34,16,9,0.6622,0.625,0.68,0.5455,0.7667,16,34,16,8,0.6757,0.6667,0.68,0.5714,0.7225,16,36,14,8,0.7027,0.6667,0.72,0.5926,0.7742,17,38,12,7,0.7432,0.7083,0.76,0.6415,0.8867,20,33,17,4,0.7162,0.8333,0.66,0.6557,0.7575,16,45,11,3,0.8133,0.8421,0.8036,0.6957,0.8778,14,48,8,5,0.8267,0.7368,0.8571,0.6829,0.8835,16,51,5,3,0.8933,0.8421,0.9107,0.8,0.9389,14,48,8,5,0.8267,0.7368,0.8571,0.6829,0.8976,14,47,9,5,0.8133,0.7368,0.8393,0.6667,0.8905,14,45,11,5,0.7867,0.7368,0.8036,0.6364,0.859
932,23,23,19,9,0.6216,0.7188,0.5476,0.6216,0.7351,23,26,16,9,0.6622,0.7188,0.619,0.6479,0.7731,23,29,13,9,0.7027,0.7188,0.6905,0.6765,0.8155,23,28,14,9,0.6892,0.7188,0.6667,0.6667,0.7626,28,33,9,4,0.8243,0.875,0.7857,0.8116,0.8795,25,24,18,7,0.6622,0.7812,0.5714,0.6667,0.7586,16,46,12,1,0.8267,0.9412,0.7931,0.7111,0.9391,16,53,5,1,0.92,0.9412,0.9138,0.8421,0.9645,16,55,3,1,0.9467,0.9412,0.9483,0.8889,0.9726,16,52,6,1,0.9067,0.9412,0.8966,0.8205,0.9604,16,54,4,1,0.9333,0.9412,0.931,0.8649,0.9675,15,46,12,2,0.8133,0.8824,0.7931,0.6818,0.9391
933,17,30,18,9,0.6351,0.6538,0.625,0.5574,0.774,16,34,14,10,0.6757,0.6154,0.7083,0.5714,0.7804,22,32,16,4,0.7297,0.8462,0.6667,0.6875,0.8229,23,34,14,3,0.7703,0.8846,0.7083,0.7302,0.7981,23,35,13,3,0.7838,0.8846,0.7292,0.7419,0.9151,24,30,18,2,0.7297,0.9231,0.625,0.7059,0.7728,11,37,16,11,0.64,0.5,0.6981,0.449,0.7144,12,44,9,10,0.7467,0.5455,0.8302,0.5581,0.7796,13,47,6,9,0.8,0.5909,0.8868,0.6341,0.8242,11,42,11,11,0.7067,0.5,0.7925,0.5,0.765,15,44,9,7,0.7867,0.6818,0.8302,0.6522,0.8362,11,38,15,11,0.6533,0.5,0.717,0.4583,0.7144
934,16,28,14,16,0.5946,0.5,0.6667,0.5161,0.6682,14,29,13,18,0.5811,0.4375,0.6905,0.4746,0.6682,17,26,16,15,0.5811,0.5312,0.619,0.5231,0.6979,18,28,14,14,0.6216,0.5625,0.6667,0.5625,0.6771,25,31,11,7,0.7568,0.7812,0.7381,0.7353,0.8222,21,28,14,11,0.6622,0.6562,0.6667,0.6269,0.6782,10,45,11,9,0.7333,0.5263,0.8036,0.5,0.8374,12,48,8,7,0.8,0.6316,0.8571,0.6154,0.8543,14,50,6,5,0.8533,0.7368,0.8929,0.7179,0.89,12,48,8,7,0.8,0.6316,0.8571,0.6154,0.8825,15,46,10,4,0.8133,0.7895,0.8214,0.6818,0.8938,12,48,8,7,0.8,0.6316,0.8571,0.6154,0.8506
