round,TP_0,TN_0,FP_0,FN_0,Accuracy_0,Sensitivity_0,Specificity_0,F1_0,AUC_0,TP_1,TN_1,FP_1,FN_1,Accuracy_1,Sensitivity_1,Specificity_1,F1_1,AUC_1,TP_2,TN_2,FP_2,FN_2,Accuracy_2,Sensitivity_2,Specificity_2,F1_2,AUC_2,TP_3,TN_3,FP_3,FN_3,Accuracy_3,Sensitivity_3,Specificity_3,F1_3,AUC_3,TP_4,TN_4,FP_4,FN_4,Accuracy_4,Sensitivity_4,Specificity_4,F1_4,AUC_4,TP_5,TN_5,FP_5,FN_5,Accuracy_5,Sensitivity_5,Specificity_5,F1_5,AUC_5,TP_6,TN_6,FP_6,FN_6,Accuracy_6,Sensitivity_6,Specificity_6,F1_6,AUC_6,TP_7,TN_7,FP_7,FN_7,Accuracy_7,Sensitivity_7,Specificity_7,F1_7,AUC_7,TP_8,TN_8,FP_8,FN_8,Accuracy_8,Sensitivity_8,Specificity_8,F1_8,AUC_8,TP_9,TN_9,FP_9,FN_9,Accuracy_9,Sensitivity_9,Specificity_9,F1_9,AUC_9,TP_10,TN_10,FP_10,FN_10,Accuracy_10,Sensitivity_10,Specificity_10,F1_10,AUC_10,TP_11,TN_11,FP_11,FN_11,Accuracy_11,Sensitivity_11,Specificity_11,F1_11,AUC_11
1,25,18,24,7,0.5811,0.7812,0.4286,0.6173,0.6607,25,20,22,7,0.6081,0.7812,0.4762,0.6329,0.7478,25,18,24,7,0.5811,0.7812,0.4286,0.6173,0.7708,26,21,21,6,0.6351,0.8125,0.5,0.6582,0.6801,27,26,16,5,0.7162,0.8438,0.619,0.72,0.8653,27,21,21,5,0.6486,0.8438,0.5,0.675,0.6179,14,41,10,10,0.7333,0.5833,0.8039,0.5833,0.8301,17,48,3,7,0.8667,0.7083,0.9412,0.7727,0.8848,16,49,2,8,0.8667,0.6667,0.9608,0.7619,0.9093,15,45,6,9,0.8,0.625,0.8824,0.6667,0.8693,18,45,6,6,0.84,0.75,0.8824,0.75,0.9101,14,42,9,10,0.7467,0.5833,0.8235,0.5957,0.8497
2,12,35,19,8,0.6351,0.6,0.6481,0.4706,0.7046,15,34,20,5,0.6622,0.75,0.6296,0.5455,0.738,15,35,19,5,0.6757,0.75,0.6481,0.5556,0.7824,16,37,17,4,0.7162,0.8,0.6852,0.6038,0.7417,19,35,19,1,0.7297,0.95,0.6481,0.6552,0.9065,15,34,20,5,0.6622,0.75,0.6296,0.5455,0.7343,11,44,9,11,0.7333,0.5,0.8302,0.5238,0.7539,12,46,7,10,0.7733,0.5455,0.8679,0.5854,0.7178,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.8045,10,45,8,12,0.7333,0.4545,0.8491,0.5,0.8036,14,47,6,8,0.8133,0.6364,0.8868,0.6667,0.8229,9,43,10,13,0.6933,0.4091,0.8113,0.439,0.7642
3,16,28,18,12,0.5946,0.5714,0.6087,0.5161,0.7143,16,31,15,12,0.6351,0.5714,0.6739,0.5424,0.722,19,28,18,9,0.6351,0.6786,0.6087,0.5846,0.7717,19,29,17,9,0.6486,0.6786,0.6304,0.5938,0.743,23,33,13,5,0.7568,0.8214,0.7174,0.7188,0.8843,20,27,19,8,0.6351,0.7143,0.587,0.597,0.745,11,48,11,5,0.7867,0.6875,0.8136,0.5789,0.875,13,52,7,3,0.8667,0.8125,0.8814,0.7222,0.9311,12,56,3,4,0.9067,0.75,0.9492,0.7742,0.9544,11,50,9,5,0.8133,0.6875,0.8475,0.6111,0.9047,15,54,5,1,0.92,0.9375,0.9153,0.8333,0.9619,9,46,13,7,0.7333,0.5625,0.7797,0.4737,0.8708
4,16,38,14,6,0.7297,0.7273,0.7308,0.6154,0.8514,14,41,11,8,0.7432,0.6364,0.7885,0.5957,0.8173,18,39,13,4,0.7703,0.8182,0.75,0.6792,0.8444,18,40,12,4,0.7838,0.8182,0.7692,0.6923,0.8479,19,45,7,3,0.8649,0.8636,0.8654,0.7917,0.9126,19,38,14,3,0.7703,0.8636,0.7308,0.6909,0.8453,11,47,12,5,0.7733,0.6875,0.7966,0.5641,0.8358,11,51,8,5,0.8267,0.6875,0.8644,0.6286,0.8284,13,52,7,3,0.8667,0.8125,0.8814,0.7222,0.875,11,45,14,5,0.7467,0.6875,0.7627,0.5366,0.8644,14,49,10,2,0.84,0.875,0.8305,0.7,0.8697,12,44,15,4,0.7467,0.75,0.7458,0.5581,0.8432
5,13,34,12,15,0.6351,0.4643,0.7391,0.4906,0.7415,17,34,12,11,0.6892,0.6071,0.7391,0.5965,0.7772,17,33,13,11,0.6757,0.6071,0.7174,0.5862,0.7399,16,33,13,12,0.6622,0.5714,0.7174,0.5614,0.7236,21,35,11,7,0.7568,0.75,0.7609,0.7,0.8424,22,33,13,6,0.7432,0.7857,0.7174,0.6984,0.7679,13,47,8,7,0.8,0.65,0.8545,0.6341,0.83,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.8273,14,50,5,6,0.8533,0.7,0.9091,0.7179,0.8373,14,47,8,6,0.8133,0.7,0.8545,0.6667,0.8509,16,46,9,4,0.8267,0.8,0.8364,0.7111,0.8382,14,47,8,6,0.8133,0.7,0.8545,0.6667,0.8482
6,13,35,13,13,0.6486,0.5,0.7292,0.5,0.7396,11,38,10,15,0.6622,0.4231,0.7917,0.4681,0.742,18,34,14,8,0.7027,0.6923,0.7083,0.6207,0.7292,17,35,13,9,0.7027,0.6538,0.7292,0.6071,0.7548,19,38,10,7,0.7703,0.7308,0.7917,0.6909,0.8285,22,35,13,4,0.7703,0.8462,0.7292,0.7213,0.7564,8,46,11,10,0.72,0.4444,0.807,0.4324,0.7105,12,50,7,6,0.8267,0.6667,0.8772,0.6486,0.7534,9,50,7,9,0.7867,0.5,0.8772,0.5294,0.7914,8,46,11,10,0.72,0.4444,0.807,0.4324,0.7388,14,50,7,4,0.8533,0.7778,0.8772,0.7179,0.7768,8,45,12,10,0.7067,0.4444,0.7895,0.4211,0.7334
7,14,40,9,11,0.7297,0.56,0.8163,0.5833,0.7714,12,41,8,13,0.7162,0.48,0.8367,0.5333,0.7771,14,40,9,11,0.7297,0.56,0.8163,0.5833,0.7665,15,40,9,10,0.7432,0.6,0.8163,0.6122,0.7755,19,43,6,6,0.8378,0.76,0.8776,0.76,0.9184,18,38,11,7,0.7568,0.72,0.7755,0.6667,0.802,19,38,16,2,0.76,0.9048,0.7037,0.6786,0.9039,19,44,10,2,0.84,0.9048,0.8148,0.76,0.903,19,45,9,2,0.8533,0.9048,0.8333,0.7755,0.94,18,41,13,3,0.7867,0.8571,0.7593,0.6923,0.9374,19,41,13,2,0.8,0.9048,0.7593,0.717,0.918,18,38,16,3,0.7467,0.8571,0.7037,0.6545,0.9127
8,13,34,16,11,0.6351,0.5417,0.68,0.4906,0.775,16,36,14,8,0.7027,0.6667,0.72,0.5926,0.7917,17,36,14,7,0.7162,0.7083,0.72,0.6182,0.7542,15,35,15,9,0.6757,0.625,0.7,0.5556,0.7475,18,35,15,6,0.7162,0.75,0.7,0.6316,0.8133,21,34,16,3,0.7432,0.875,0.68,0.6885,0.7746,20,42,9,4,0.8267,0.8333,0.8235,0.7547,0.9003,19,44,7,5,0.84,0.7917,0.8627,0.76,0.8995,22,45,6,2,0.8933,0.9167,0.8824,0.8462,0.9224,18,42,9,6,0.8,0.75,0.8235,0.7059,0.9028,20,43,8,4,0.84,0.8333,0.8431,0.7692,0.9044,20,41,10,4,0.8133,0.8333,0.8039,0.7407,0.8873
9,22,29,12,11,0.6892,0.6667,0.7073,0.6567,0.7613,22,28,13,11,0.6757,0.6667,0.6829,0.6471,0.7369,24,27,14,9,0.6892,0.7273,0.6585,0.6761,0.7842,23,30,11,10,0.7162,0.697,0.7317,0.6866,0.7701,27,32,9,6,0.7973,0.8182,0.7805,0.7826,0.8625,27,29,12,6,0.7568,0.8182,0.7073,0.75,0.7849,13,45,10,7,0.7733,0.65,0.8182,0.6047,0.7927,13,47,8,7,0.8,0.65,0.8545,0.6341,0.8255,16,49,6,4,0.8667,0.8,0.8909,0.7619,0.8609,13,48,7,7,0.8133,0.65,0.8727,0.65,0.8409,15,48,7,5,0.84,0.75,0.8727,0.7143,0.8491,14,46,9,6,0.8,0.7,0.8364,0.6512,0.8259
10,17,37,14,6,0.7297,0.7391,0.7255,0.6296,0.8235,15,35,16,8,0.6757,0.6522,0.6863,0.5556,0.7792,18,35,16,5,0.7162,0.7826,0.6863,0.6316,0.8193,17,37,14,6,0.7297,0.7391,0.7255,0.6296,0.8321,19,40,11,4,0.7973,0.8261,0.7843,0.717,0.8909,19,37,14,4,0.7568,0.8261,0.7255,0.6786,0.8359,13,46,10,6,0.7867,0.6842,0.8214,0.619,0.8487,16,53,3,3,0.92,0.8421,0.9464,0.8421,0.89,15,53,3,4,0.9067,0.7895,0.9464,0.8108,0.8976,15,49,7,4,0.8533,0.7895,0.875,0.7317,0.9023,17,50,6,2,0.8933,0.8947,0.8929,0.8095,0.9079,14,46,10,5,0.8,0.7368,0.8214,0.6512,0.8844
11,13,26,23,12,0.527,0.52,0.5306,0.4262,0.6473,15,30,19,10,0.6081,0.6,0.6122,0.5085,0.6808,15,27,22,10,0.5676,0.6,0.551,0.4839,0.6776,14,29,20,11,0.5811,0.56,0.5918,0.4746,0.6694,18,34,15,7,0.7027,0.72,0.6939,0.6207,0.8016,15,27,22,10,0.5676,0.6,0.551,0.4839,0.662,16,39,13,7,0.7333,0.6957,0.75,0.6154,0.8537,17,43,9,6,0.8,0.7391,0.8269,0.6939,0.8436,19,46,6,4,0.8667,0.8261,0.8846,0.7917,0.9097,15,39,13,8,0.72,0.6522,0.75,0.5882,0.8788,19,45,7,4,0.8533,0.8261,0.8654,0.7755,0.9038,17,40,12,6,0.76,0.7391,0.7692,0.6538,0.8612
12,18,33,13,10,0.6892,0.6429,0.7174,0.6102,0.7314,18,32,14,10,0.6757,0.6429,0.6957,0.6,0.736,20,32,14,8,0.7027,0.7143,0.6957,0.6452,0.7585,19,34,12,9,0.7162,0.6786,0.7391,0.6441,0.7337,22,33,13,6,0.7432,0.7857,0.7174,0.6984,0.8439,21,33,13,7,0.7297,0.75,0.7174,0.6774,0.7403,5,53,11,6,0.7733,0.4545,0.8281,0.3704,0.7884,7,56,8,4,0.84,0.6364,0.875,0.5385,0.7798,5,59,5,6,0.8533,0.4545,0.9219,0.4762,0.8409,5,51,13,6,0.7467,0.4545,0.7969,0.3448,0.8196,8,58,6,3,0.88,0.7273,0.9062,0.64,0.8672,4,50,14,7,0.72,0.3636,0.7812,0.2759,0.8026
13,15,34,18,7,0.6622,0.6818,0.6538,0.5455,0.7841,17,36,16,5,0.7162,0.7727,0.6923,0.6182,0.8077,18,35,17,4,0.7162,0.8182,0.6731,0.6316,0.8024,16,35,17,6,0.6892,0.7273,0.6731,0.5818,0.8138,20,35,17,2,0.7432,0.9091,0.6731,0.678,0.8829,20,32,20,2,0.7027,0.9091,0.6154,0.6452,0.799,9,50,15,1,0.7867,0.9,0.7692,0.5294,0.8554,8,55,10,2,0.84,0.8,0.8462,0.5714,0.8338,9,59,6,1,0.9067,0.9,0.9077,0.72,0.8769,8,55,10,2,0.84,0.8,0.8462,0.5714,0.8708,8,56,9,2,0.8533,0.8,0.8615,0.5926,0.8346,9,50,15,1,0.7867,0.9,0.7692,0.5294,0.8646
14,23,30,10,11,0.7162,0.6765,0.75,0.6866,0.825,24,31,9,10,0.7432,0.7059,0.775,0.7164,0.8125,26,30,10,8,0.7568,0.7647,0.75,0.7429,0.8824,28,31,9,6,0.7973,0.8235,0.775,0.7887,0.8507,31,32,8,3,0.8514,0.9118,0.8,0.8493,0.9287,27,31,9,7,0.7838,0.7941,0.775,0.7714,0.8393,15,39,12,9,0.72,0.625,0.7647,0.5882,0.8415,16,39,12,8,0.7333,0.6667,0.7647,0.6154,0.8243,18,41,10,6,0.7867,0.75,0.8039,0.6923,0.8423,15,40,11,9,0.7333,0.625,0.7843,0.6,0.8701,20,41,10,4,0.8133,0.8333,0.8039,0.7407,0.844,17,40,11,7,0.76,0.7083,0.7843,0.6538,0.8546
15,12,37,19,6,0.6622,0.6667,0.6607,0.4898,0.8125,10,39,17,8,0.6622,0.5556,0.6964,0.4444,0.7937,12,41,15,6,0.7162,0.6667,0.7321,0.5333,0.7907,12,42,14,6,0.7297,0.6667,0.75,0.5455,0.8115,14,44,12,4,0.7838,0.7778,0.7857,0.6364,0.8869,15,37,19,3,0.7027,0.8333,0.6607,0.5769,0.8036,10,53,7,5,0.84,0.6667,0.8833,0.625,0.8378,10,56,4,5,0.88,0.6667,0.9333,0.6897,0.8289,11,58,2,4,0.92,0.7333,0.9667,0.7857,0.8722,9,54,6,6,0.84,0.6,0.9,0.6,0.8556,11,56,4,4,0.8933,0.7333,0.9333,0.7333,0.8722,10,51,9,5,0.8133,0.6667,0.85,0.5882,0.84
16,22,35,11,6,0.7703,0.7857,0.7609,0.7213,0.8618,22,36,10,6,0.7838,0.7857,0.7826,0.7333,0.8595,23,32,14,5,0.7432,0.8214,0.6957,0.7077,0.8688,23,34,12,5,0.7703,0.8214,0.7391,0.7302,0.8766,25,35,11,3,0.8108,0.8929,0.7609,0.7812,0.9216,24,34,12,4,0.7838,0.8571,0.7391,0.75,0.8521,19,44,12,0,0.84,1.0,0.7857,0.76,0.9549,16,44,12,3,0.8,0.8421,0.7857,0.6809,0.907,19,48,8,0,0.8933,1.0,0.8571,0.8261,0.9352,16,43,13,3,0.7867,0.8421,0.7679,0.6667,0.9398,16,45,11,3,0.8133,0.8421,0.8036,0.6957,0.9098,18,43,13,1,0.8133,0.9474,0.7679,0.72,0.9427
17,20,36,15,3,0.7568,0.8696,0.7059,0.6897,0.8593,21,38,13,2,0.7973,0.913,0.7451,0.7368,0.9386,21,40,11,2,0.8243,0.913,0.7843,0.7636,0.9275,20,40,11,3,0.8108,0.8696,0.7843,0.7407,0.8593,22,42,9,1,0.8649,0.9565,0.8235,0.8148,0.9744,21,37,14,2,0.7838,0.913,0.7255,0.7241,0.8491,13,40,15,7,0.7067,0.65,0.7273,0.5417,0.8264,18,47,8,2,0.8667,0.9,0.8545,0.7826,0.9055,19,49,6,1,0.9067,0.95,0.8909,0.8444,0.9282,18,43,12,2,0.8133,0.9,0.7818,0.72,0.87,19,47,8,1,0.88,0.95,0.8545,0.8085,0.9355,15,38,17,5,0.7067,0.75,0.6909,0.5769,0.8477
18,21,32,12,9,0.7162,0.7,0.7273,0.6667,0.8364,20,33,11,10,0.7162,0.6667,0.75,0.6557,0.8061,24,31,13,6,0.7432,0.8,0.7045,0.7164,0.8205,24,35,9,6,0.7973,0.8,0.7955,0.7619,0.8167,26,32,12,4,0.7838,0.8667,0.7273,0.7647,0.9045,26,33,11,4,0.7973,0.8667,0.75,0.7761,0.8326,14,46,8,7,0.8,0.6667,0.8519,0.6512,0.8501,13,51,3,8,0.8533,0.619,0.9444,0.7027,0.8439,15,52,2,6,0.8933,0.7143,0.963,0.7895,0.9012,12,48,6,9,0.8,0.5714,0.8889,0.6154,0.8765,14,49,5,7,0.84,0.6667,0.9074,0.7,0.8951,14,46,8,7,0.8,0.6667,0.8519,0.6512,0.8638
19,12,38,12,12,0.6757,0.5,0.76,0.5,0.73,13,39,11,11,0.7027,0.5417,0.78,0.5417,0.705,13,40,10,11,0.7162,0.5417,0.8,0.5532,0.7017,14,39,11,10,0.7162,0.5833,0.78,0.5714,0.7125,16,41,9,8,0.7703,0.6667,0.82,0.6531,0.7892,16,37,13,8,0.7162,0.6667,0.74,0.6038,0.7521,13,47,9,6,0.8,0.6842,0.8393,0.6341,0.9135,14,51,5,5,0.8667,0.7368,0.9107,0.7368,0.9023,14,51,5,5,0.8667,0.7368,0.9107,0.7368,0.9333,13,50,6,6,0.84,0.6842,0.8929,0.6842,0.9314,16,48,8,3,0.8533,0.8421,0.8571,0.7442,0.9455,14,47,9,5,0.8133,0.7368,0.8393,0.6667,0.9145
20,12,30,21,11,0.5676,0.5217,0.5882,0.4286,0.6215,13,29,22,10,0.5676,0.5652,0.5686,0.4483,0.6402,15,29,22,8,0.5946,0.6522,0.5686,0.5,0.665,16,31,20,7,0.6351,0.6957,0.6078,0.5424,0.6198,17,35,16,6,0.7027,0.7391,0.6863,0.6071,0.7681,16,31,20,7,0.6351,0.6957,0.6078,0.5424,0.6326,12,45,13,5,0.76,0.7059,0.7759,0.5714,0.7515,12,49,9,5,0.8133,0.7059,0.8448,0.6316,0.7535,13,52,6,4,0.8667,0.7647,0.8966,0.7222,0.787,12,49,9,5,0.8133,0.7059,0.8448,0.6316,0.7546,13,51,7,4,0.8533,0.7647,0.8793,0.7027,0.7799,11,45,13,6,0.7467,0.6471,0.7759,0.5366,0.7292
21,17,33,20,4,0.6757,0.8095,0.6226,0.5862,0.8275,15,37,16,6,0.7027,0.7143,0.6981,0.5769,0.814,16,36,17,5,0.7027,0.7619,0.6792,0.5926,0.8302,16,39,14,5,0.7432,0.7619,0.7358,0.6275,0.8122,17,39,14,4,0.7568,0.8095,0.7358,0.6538,0.8967,18,34,19,3,0.7027,0.8571,0.6415,0.6207,0.7866,14,43,9,9,0.76,0.6087,0.8269,0.6087,0.8587,18,47,5,5,0.8667,0.7826,0.9038,0.7826,0.9055,17,48,4,6,0.8667,0.7391,0.9231,0.7727,0.9264,16,45,7,7,0.8133,0.6957,0.8654,0.6957,0.8938,19,43,9,4,0.8267,0.8261,0.8269,0.7451,0.9227,15,42,10,8,0.76,0.6522,0.8077,0.625,0.8554
22,14,32,20,8,0.6216,0.6364,0.6154,0.5,0.7622,12,37,15,10,0.6622,0.5455,0.7115,0.4898,0.7753,14,35,17,8,0.6622,0.6364,0.6731,0.5283,0.7439,14,35,17,8,0.6622,0.6364,0.6731,0.5283,0.7369,16,37,15,6,0.7162,0.7273,0.7115,0.6038,0.8409,18,32,20,4,0.6757,0.8182,0.6154,0.6,0.7469,19,39,13,4,0.7733,0.8261,0.75,0.6909,0.837,21,46,6,2,0.8933,0.913,0.8846,0.84,0.8637,21,46,6,2,0.8933,0.913,0.8846,0.84,0.8804,21,41,11,2,0.8267,0.913,0.7885,0.7636,0.8779,21,43,9,2,0.8533,0.913,0.8269,0.7925,0.8796,19,37,15,4,0.7467,0.8261,0.7115,0.6667,0.8566
23,15,33,14,12,0.6486,0.5556,0.7021,0.5357,0.7297,16,34,13,11,0.6757,0.5926,0.7234,0.5714,0.7108,18,35,12,9,0.7162,0.6667,0.7447,0.6316,0.7029,16,34,13,11,0.6757,0.5926,0.7234,0.5714,0.7203,20,35,12,7,0.7432,0.7407,0.7447,0.678,0.8069,19,31,16,8,0.6757,0.7037,0.6596,0.6129,0.7333,12,45,11,7,0.76,0.6316,0.8036,0.5714,0.7904,12,50,6,7,0.8267,0.6316,0.8929,0.6486,0.8214,14,51,5,5,0.8667,0.7368,0.9107,0.7368,0.8797,9,48,8,10,0.76,0.4737,0.8571,0.5,0.8402,13,49,7,6,0.8267,0.6842,0.875,0.6667,0.8581,12,44,12,7,0.7467,0.6316,0.7857,0.5581,0.8064
24,13,36,15,10,0.6622,0.5652,0.7059,0.5098,0.7545,13,37,14,10,0.6757,0.5652,0.7255,0.52,0.8014,13,36,15,10,0.6622,0.5652,0.7059,0.5098,0.7681,15,37,14,8,0.7027,0.6522,0.7255,0.5769,0.7494,18,38,13,5,0.7568,0.7826,0.7451,0.6667,0.9028,14,35,16,9,0.6622,0.6087,0.6863,0.5283,0.7647,13,48,7,7,0.8133,0.65,0.8727,0.65,0.8555,14,49,6,6,0.84,0.7,0.8909,0.7,0.8564,16,49,6,4,0.8667,0.8,0.8909,0.7619,0.8764,13,48,7,7,0.8133,0.65,0.8727,0.65,0.88,18,49,6,2,0.8933,0.9,0.8909,0.8182,0.8659,14,47,8,6,0.8133,0.7,0.8545,0.6667,0.8714
25,16,29,22,7,0.6081,0.6957,0.5686,0.5246,0.7596,15,32,19,8,0.6351,0.6522,0.6275,0.5263,0.7485,16,31,20,7,0.6351,0.6957,0.6078,0.5424,0.7536,17,32,19,6,0.6622,0.7391,0.6275,0.5763,0.7494,18,33,18,5,0.6892,0.7826,0.6471,0.6102,0.8534,19,30,21,4,0.6622,0.8261,0.5882,0.6032,0.7144,14,38,12,11,0.6933,0.56,0.76,0.549,0.7616,16,42,8,9,0.7733,0.64,0.84,0.6531,0.7776,19,42,8,6,0.8133,0.76,0.84,0.7308,0.8184,14,40,10,11,0.72,0.56,0.8,0.5714,0.7848,20,39,11,5,0.7867,0.8,0.78,0.7143,0.7976,14,37,13,11,0.68,0.56,0.74,0.5385,0.7648
26,15,34,18,7,0.6622,0.6818,0.6538,0.5455,0.7797,13,37,15,9,0.6757,0.5909,0.7115,0.52,0.7876,16,36,16,6,0.7027,0.7273,0.6923,0.5926,0.7727,16,35,17,6,0.6892,0.7273,0.6731,0.5818,0.7552,16,42,10,6,0.7838,0.7273,0.8077,0.6667,0.9108,18,33,19,4,0.6892,0.8182,0.6346,0.6102,0.7736,14,43,10,8,0.76,0.6364,0.8113,0.6087,0.7916,15,47,6,7,0.8267,0.6818,0.8868,0.6977,0.8285,14,48,5,8,0.8267,0.6364,0.9057,0.6829,0.8422,13,45,8,9,0.7733,0.5909,0.8491,0.6047,0.825,18,48,5,4,0.88,0.8182,0.9057,0.8,0.8302,14,43,10,8,0.76,0.6364,0.8113,0.6087,0.8143
27,16,39,13,6,0.7432,0.7273,0.75,0.6275,0.8024,14,41,11,8,0.7432,0.6364,0.7885,0.5957,0.8068,16,39,13,6,0.7432,0.7273,0.75,0.6275,0.833,16,38,14,6,0.7297,0.7273,0.7308,0.6154,0.8365,22,37,15,0,0.7973,1.0,0.7115,0.7458,0.9065,16,37,15,6,0.7162,0.7273,0.7115,0.6038,0.8505,13,46,10,6,0.7867,0.6842,0.8214,0.619,0.8797,16,47,9,3,0.84,0.8421,0.8393,0.7273,0.9192,16,53,3,3,0.92,0.8421,0.9464,0.8421,0.9558,15,48,8,4,0.84,0.7895,0.8571,0.7143,0.9145,17,52,4,2,0.92,0.8947,0.9286,0.85,0.9539,14,47,9,5,0.8133,0.7368,0.8393,0.6667,0.891
28,14,36,11,13,0.6757,0.5185,0.766,0.5385,0.7195,18,37,10,9,0.7432,0.6667,0.7872,0.6545,0.7667,18,35,12,9,0.7162,0.6667,0.7447,0.6316,0.7983,19,37,10,8,0.7568,0.7037,0.7872,0.6786,0.7723,24,37,10,3,0.8243,0.8889,0.7872,0.7869,0.881,19,37,10,8,0.7568,0.7037,0.7872,0.6786,0.8132,14,36,18,7,0.6667,0.6667,0.6667,0.5283,0.8166,15,44,10,6,0.7867,0.7143,0.8148,0.6522,0.828,17,46,8,4,0.84,0.8095,0.8519,0.7391,0.8713,13,41,13,8,0.72,0.619,0.7593,0.5532,0.8642,18,43,11,3,0.8133,0.8571,0.7963,0.72,0.8792,15,38,16,6,0.7067,0.7143,0.7037,0.5769,0.8413
29,16,34,15,9,0.6757,0.64,0.6939,0.5714,0.742,15,39,10,10,0.7297,0.6,0.7959,0.6,0.7633,17,36,13,8,0.7162,0.68,0.7347,0.6182,0.7584,17,36,13,8,0.7162,0.68,0.7347,0.6182,0.72,19,37,12,6,0.7568,0.76,0.7551,0.6786,0.8245,20,34,15,5,0.7297,0.8,0.6939,0.6667,0.7596,14,41,16,4,0.7333,0.7778,0.7193,0.5833,0.8343,15,43,14,3,0.7733,0.8333,0.7544,0.6383,0.8168,15,43,14,3,0.7733,0.8333,0.7544,0.6383,0.8041,13,39,18,5,0.6933,0.7222,0.6842,0.5306,0.8343,15,42,15,3,0.76,0.8333,0.7368,0.625,0.807,15,39,18,3,0.72,0.8333,0.6842,0.5882,0.8231
30,9,38,20,7,0.6351,0.5625,0.6552,0.4,0.6756,10,37,21,6,0.6351,0.625,0.6379,0.4255,0.6853,10,36,22,6,0.6216,0.625,0.6207,0.4167,0.6994,10,38,20,6,0.6486,0.625,0.6552,0.4348,0.6843,12,46,12,4,0.7838,0.75,0.7931,0.6,0.8157,12,36,22,4,0.6486,0.75,0.6207,0.48,0.6934,13,46,12,4,0.7867,0.7647,0.7931,0.619,0.8377,14,52,6,3,0.88,0.8235,0.8966,0.7568,0.859,13,52,6,4,0.8667,0.7647,0.8966,0.7222,0.8722,13,47,11,4,0.8,0.7647,0.8103,0.6341,0.8682,15,49,9,2,0.8533,0.8824,0.8448,0.7317,0.8803,11,45,13,6,0.7467,0.6471,0.7759,0.5366,0.8423
31,12,27,22,13,0.527,0.48,0.551,0.4068,0.711,15,32,17,10,0.6351,0.6,0.6531,0.5263,0.7878,16,30,19,9,0.6216,0.64,0.6122,0.5333,0.7143,15,34,15,10,0.6622,0.6,0.6939,0.5455,0.7143,17,38,11,8,0.7432,0.68,0.7755,0.6415,0.8539,20,33,16,5,0.7162,0.8,0.6735,0.6557,0.7559,13,41,14,7,0.72,0.65,0.7455,0.5532,0.7455,13,43,12,7,0.7467,0.65,0.7818,0.5778,0.7336,13,48,7,7,0.8133,0.65,0.8727,0.65,0.7964,12,45,10,8,0.76,0.6,0.8182,0.5714,0.7873,15,47,8,5,0.8267,0.75,0.8545,0.6977,0.7927,13,41,14,7,0.72,0.65,0.7455,0.5532,0.7718
32,12,29,16,17,0.5541,0.4138,0.6444,0.4211,0.6958,15,34,11,14,0.6622,0.5172,0.7556,0.5455,0.7801,17,34,11,12,0.6892,0.5862,0.7556,0.5965,0.6866,14,34,11,15,0.6486,0.4828,0.7556,0.5185,0.6751,18,36,9,11,0.7297,0.6207,0.8,0.6429,0.8368,19,30,15,10,0.6622,0.6552,0.6667,0.6032,0.7019,15,45,7,8,0.8,0.6522,0.8654,0.6667,0.9089,17,48,4,6,0.8667,0.7391,0.9231,0.7727,0.9482,17,50,2,6,0.8933,0.7391,0.9615,0.8095,0.9507,16,47,5,7,0.84,0.6957,0.9038,0.7273,0.9339,21,44,8,2,0.8667,0.913,0.8462,0.8077,0.9473,16,45,7,7,0.8133,0.6957,0.8654,0.6957,0.9206
33,16,32,10,16,0.6486,0.5,0.7619,0.5517,0.7552,16,34,8,16,0.6757,0.5,0.8095,0.5714,0.756,17,32,10,15,0.6622,0.5312,0.7619,0.5763,0.7217,17,33,9,15,0.6757,0.5312,0.7857,0.5862,0.7433,21,36,6,11,0.7703,0.6562,0.8571,0.7119,0.8713,22,31,11,10,0.7162,0.6875,0.7381,0.6769,0.76,11,44,9,11,0.7333,0.5,0.8302,0.5238,0.771,14,48,5,8,0.8267,0.6364,0.9057,0.6829,0.7967,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.8388,10,45,8,12,0.7333,0.4545,0.8491,0.5,0.8148,16,47,6,6,0.84,0.7273,0.8868,0.7273,0.8388,12,44,9,10,0.7467,0.5455,0.8302,0.5581,0.7967
34,10,36,21,7,0.6216,0.5882,0.6316,0.4167,0.7131,11,37,20,6,0.6486,0.6471,0.6491,0.4583,0.7534,12,36,21,5,0.6486,0.7059,0.6316,0.48,0.7337,12,40,17,5,0.7027,0.7059,0.7018,0.5217,0.7265,14,42,15,3,0.7568,0.8235,0.7368,0.6087,0.8576,12,38,19,5,0.6757,0.7059,0.6667,0.5,0.7534,13,46,12,4,0.7867,0.7647,0.7931,0.619,0.8874,15,50,8,2,0.8667,0.8824,0.8621,0.75,0.9351,15,51,7,2,0.88,0.8824,0.8793,0.7692,0.9422,15,50,8,2,0.8667,0.8824,0.8621,0.75,0.9108,15,46,12,2,0.8133,0.8824,0.7931,0.6818,0.9229,13,47,11,4,0.8,0.7647,0.8103,0.6341,0.8753
