Metric,Dataset,Side,Model_A,Model_B,Mean_Value_A,Mean_Value_B,P-Value,Significant
AUC,Dataset_2,Right,ResNet+AE,SqueezeNet,0.8648,0.8602,2.327303518071945e-19,Yes (p<0.01)
AUC,Dataset_2,Right,ResNet+AE,SVM,0.8648,0.8178,0.0,Yes (p<0.01)
AUC,Dataset_2,Right,ResNet,SqueezeNet,0.8405,0.8602,1.738267750168452e-117,Yes (p<0.01)
AUC,Dataset_2,Right,ResNet,SVM,0.8405,0.8178,3.2450612748635446e-300,Yes (p<0.01)
AUC,Dataset_2,Right,SqueezeNet,SVM,0.8602,0.8178,5.60713652311799e-253,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MLP,MobileNet,0.7079,0.7356,1.1667384397360773e-125,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MLP,ResNet+AE,0.7079,0.7382,1.9128549657526288e-120,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MLP,ResNet,0.7079,0.7533,3.2378266258672787e-238,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MLP,SqueezeNet,0.7079,0.807,0.0,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MLP,SVM,0.7079,0.7429,9.981889894489809e-222,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MobileNet,ResNet+AE,0.7356,0.7382,0.008498396643699512,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MobileNet,ResNet,0.7356,0.7533,3.538320997888007e-47,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MobileNet,SqueezeNet,0.7356,0.807,8.115611063581501e-296,Yes (p<0.01)
F1_Class0,Dataset_2,Left,MobileNet,SVM,0.7356,0.7429,5.876755379258691e-10,Yes (p<0.01)
F1_Class0,Dataset_2,Left,ResNet+AE,ResNet,0.7382,0.7533,1.6537513043728044e-62,Yes (p<0.01)
F1_Class0,Dataset_2,Left,ResNet+AE,SqueezeNet,0.7382,0.807,0.0,Yes (p<0.01)
F1_Class0,Dataset_2,Left,ResNet+AE,SVM,0.7382,0.7429,1.026980954758866e-05,Yes (p<0.01)
F1_Class0,Dataset_2,Left,ResNet,SqueezeNet,0.7533,0.807,2.8472605298285684e-229,Yes (p<0.01)
F1_Class0,Dataset_2,Left,ResNet,SVM,0.7533,0.7429,4.9662041643829945e-34,Yes (p<0.01)
F1_Class0,Dataset_2,Left,SqueezeNet,SVM,0.807,0.7429,4.405986045071537e-232,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MLP,MobileNet,0.815,0.8679,2.1321889524266895e-304,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MLP,ResNet+AE,0.815,0.8959,0.0,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MLP,ResNet,0.815,0.8374,7.39141907318319e-102,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MLP,SqueezeNet,0.815,0.884,0.0,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MLP,SVM,0.815,0.8146,0.45557251498488677,No
F1_Class0,Dataset_2,Right,MobileNet,ResNet+AE,0.8679,0.8959,1.4326493346777258e-240,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MobileNet,ResNet,0.8679,0.8374,3.0353674095320805e-222,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MobileNet,SqueezeNet,0.8679,0.884,6.213030970229916e-79,Yes (p<0.01)
F1_Class0,Dataset_2,Right,MobileNet,SVM,0.8679,0.8146,8.928316260625545e-303,Yes (p<0.01)
F1_Class0,Dataset_2,Right,ResNet+AE,ResNet,0.8959,0.8374,0.0,Yes (p<0.01)
F1_Class0,Dataset_2,Right,ResNet+AE,SqueezeNet,0.8959,0.884,1.277099368089728e-65,Yes (p<0.01)
F1_Class0,Dataset_2,Right,ResNet+AE,SVM,0.8959,0.8146,0.0,Yes (p<0.01)
F1_Class0,Dataset_2,Right,ResNet,SqueezeNet,0.8374,0.884,9.43478322931792e-273,Yes (p<0.01)
F1_Class0,Dataset_2,Right,ResNet,SVM,0.8374,0.8146,1.0078592065077411e-129,Yes (p<0.01)
F1_Class0,Dataset_2,Right,SqueezeNet,SVM,0.884,0.8146,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MLP,MobileNet,0.5421,0.5621,5.957897011108506e-28,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MLP,ResNet+AE,0.5421,0.6017,9.674508019935776e-176,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MLP,ResNet,0.5421,0.6131,2.72482121808433e-230,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MLP,SqueezeNet,0.5421,0.7058,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MLP,SVM,0.5421,0.6403,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MobileNet,ResNet+AE,0.5621,0.6017,4.7405064398178133e-141,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MobileNet,ResNet,0.5621,0.6131,1.7849915274789636e-128,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MobileNet,SqueezeNet,0.5621,0.7058,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Left,MobileNet,SVM,0.5621,0.6403,5.699658230376177e-243,Yes (p<0.01)
F1_Class1,Dataset_2,Left,ResNet+AE,ResNet,0.6017,0.6131,1.5053318075466636e-20,Yes (p<0.01)
F1_Class1,Dataset_2,Left,ResNet+AE,SqueezeNet,0.6017,0.7058,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Left,ResNet+AE,SVM,0.6017,0.6403,4.140305982865361e-147,Yes (p<0.01)
F1_Class1,Dataset_2,Left,ResNet,SqueezeNet,0.6131,0.7058,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Left,ResNet,SVM,0.6131,0.6403,1.9680334894706208e-63,Yes (p<0.01)
F1_Class1,Dataset_2,Left,SqueezeNet,SVM,0.7058,0.6403,4.4511679978600666e-172,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MLP,MobileNet,0.5732,0.6614,5.8361985991823746e-238,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MLP,ResNet+AE,0.5732,0.7247,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MLP,ResNet,0.5732,0.5971,3.970241718121175e-38,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MLP,SqueezeNet,0.5732,0.7215,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MLP,SVM,0.5732,0.5713,0.19151143068245932,No
F1_Class1,Dataset_2,Right,MobileNet,ResNet+AE,0.6614,0.7247,2.229992004495873e-167,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MobileNet,ResNet,0.6614,0.5971,3.2312350342137646e-254,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MobileNet,SqueezeNet,0.6614,0.7215,4.7977863497302376e-172,Yes (p<0.01)
F1_Class1,Dataset_2,Right,MobileNet,SVM,0.6614,0.5713,8.409934731785847e-233,Yes (p<0.01)
F1_Class1,Dataset_2,Right,ResNet+AE,ResNet,0.7247,0.5971,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Right,ResNet+AE,SqueezeNet,0.7247,0.7215,0.0930244146416766,No
F1_Class1,Dataset_2,Right,ResNet+AE,SVM,0.7247,0.5713,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Right,ResNet,SqueezeNet,0.5971,0.7215,0.0,Yes (p<0.01)
F1_Class1,Dataset_2,Right,ResNet,SVM,0.5971,0.5713,9.574049734850011e-47,Yes (p<0.01)
F1_Class1,Dataset_2,Right,SqueezeNet,SVM,0.7215,0.5713,0.0,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MLP,MobileNet,0.6651,0.7048,1.6269032050409466e-151,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MLP,ResNet+AE,0.6651,0.6846,5.77593236003842e-39,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MLP,ResNet,0.6651,0.7069,2.4388116965531656e-156,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MLP,SqueezeNet,0.6651,0.7479,1.4615931604354905e-220,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MLP,SVM,0.6651,0.666,0.3229424975070666,No
Sensitivity_Class0,Dataset_2,Left,MobileNet,ResNet+AE,0.7048,0.6846,7.000925289219952e-43,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MobileNet,ResNet,0.7048,0.7069,0.1713096254353887,No
Sensitivity_Class0,Dataset_2,Left,MobileNet,SqueezeNet,0.7048,0.7479,2.6831646300860207e-101,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,MobileNet,SVM,0.7048,0.666,2.448132236920867e-111,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,ResNet+AE,ResNet,0.6846,0.7069,1.0402958998590656e-76,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,ResNet+AE,SqueezeNet,0.6846,0.7479,1.1582906226381183e-200,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,ResNet+AE,SVM,0.6846,0.666,1.7234200971229902e-36,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,ResNet,SqueezeNet,0.7069,0.7479,8.960909470886853e-98,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,ResNet,SVM,0.7069,0.666,7.100142868984655e-252,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Left,SqueezeNet,SVM,0.7479,0.666,6.191716200366681e-226,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MLP,MobileNet,0.779,0.8539,1.5934390560641079e-286,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MLP,ResNet+AE,0.779,0.889,0.0,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MLP,ResNet,0.779,0.8163,1.5453776105677244e-121,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MLP,SqueezeNet,0.779,0.8536,8.218937567124863e-298,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MLP,SVM,0.779,0.7789,0.8890385307884402,No
Sensitivity_Class0,Dataset_2,Right,MobileNet,ResNet+AE,0.8539,0.889,4.62382967389015e-234,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MobileNet,ResNet,0.8539,0.8163,7.869401785872454e-156,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,MobileNet,SqueezeNet,0.8539,0.8536,0.7960752268415437,No
Sensitivity_Class0,Dataset_2,Right,MobileNet,SVM,0.8539,0.7789,9.346388196773977e-289,Yes (p<0.01)
Sensitivity_Class0,Dataset_2,Right,ResNet+AE,ResNet,0.889,0.8163,0.0,Yes (p<0.01)
