round,TP,TN,FP,FN,Accuracy,Sensitivity_Class0,Specificity_Class0,F1_Class0,Sensitivity_Class1,Specificity_Class1,F1_Class1,AUC
818,22,68,8,4,0.8824,0.8947,0.8462,0.9189,0.8462,0.8947,0.7857,0.9175
819,27,64,3,8,0.8922,0.9552,0.7714,0.9209,0.7714,0.9552,0.8308,0.8584
820,25,61,8,8,0.8431,0.8841,0.7576,0.8841,0.7576,0.8841,0.7576,0.9012
821,15,74,5,8,0.8725,0.9367,0.6522,0.9193,0.6522,0.9367,0.6977,0.8663
822,20,71,3,8,0.8922,0.9595,0.7143,0.9281,0.7143,0.9595,0.7843,0.9508
823,18,71,6,7,0.8725,0.9221,0.72,0.9161,0.72,0.9221,0.7347,0.8426
824,16,71,6,9,0.8529,0.9221,0.64,0.9045,0.64,0.9221,0.6809,0.799
825,12,73,7,10,0.8333,0.9125,0.5455,0.8957,0.5455,0.9125,0.5854,0.8608
826,22,68,3,9,0.8824,0.9577,0.7097,0.9189,0.7097,0.9577,0.7857,0.8823
827,21,61,10,10,0.8039,0.8592,0.6774,0.8592,0.6774,0.8592,0.6774,0.8542
828,26,64,3,9,0.8824,0.9552,0.7429,0.9143,0.7429,0.9552,0.8125,0.8955
829,21,63,8,10,0.8235,0.8873,0.6774,0.875,0.6774,0.8873,0.7,0.8751
830,19,69,6,8,0.8627,0.92,0.7037,0.9079,0.7037,0.92,0.7308,0.8598
831,15,70,10,7,0.8333,0.875,0.6818,0.8917,0.6818,0.875,0.6383,0.8455
832,20,69,7,6,0.8725,0.9079,0.7692,0.9139,0.7692,0.9079,0.7547,0.8871
833,9,79,6,8,0.8627,0.9294,0.5294,0.9186,0.5294,0.9294,0.5625,0.8152
834,25,58,5,14,0.8137,0.9206,0.641,0.8593,0.641,0.9206,0.7246,0.882
835,14,79,3,6,0.9118,0.9634,0.7,0.9461,0.7,0.9634,0.7568,0.911
836,28,61,6,7,0.8725,0.9104,0.8,0.9037,0.8,0.9104,0.8116,0.9348
837,18,70,4,10,0.8627,0.9459,0.6429,0.9091,0.6429,0.9459,0.72,0.8123
838,18,70,5,9,0.8627,0.9333,0.6667,0.9091,0.6667,0.9333,0.72,0.8642
839,15,71,6,10,0.8431,0.9221,0.6,0.8987,0.6,0.9221,0.6522,0.8208
840,20,66,7,9,0.8431,0.9041,0.6897,0.8919,0.6897,0.9041,0.7143,0.8531
841,26,63,7,6,0.8725,0.9,0.8125,0.9065,0.8125,0.9,0.8,0.9187
842,24,66,6,6,0.8824,0.9167,0.8,0.9167,0.8,0.9167,0.8,0.9528
843,16,73,6,7,0.8725,0.9241,0.6957,0.9182,0.6957,0.9241,0.7111,0.8663
844,16,66,3,17,0.8039,0.9565,0.4848,0.8684,0.4848,0.9565,0.6154,0.783
845,17,70,9,6,0.8529,0.8861,0.7391,0.9032,0.7391,0.8861,0.6939,0.8745
846,11,67,12,12,0.7647,0.8481,0.4783,0.8481,0.4783,0.8481,0.4783,0.7711
847,24,62,8,8,0.8431,0.8857,0.75,0.8857,0.75,0.8857,0.75,0.9402
848,22,70,2,8,0.902,0.9722,0.7333,0.9333,0.7333,0.9722,0.8148,0.9347
849,13,77,5,7,0.8824,0.939,0.65,0.9277,0.65,0.939,0.6842,0.897
850,17,65,6,14,0.8039,0.9155,0.5484,0.8667,0.5484,0.9155,0.6296,0.7969
851,25,64,3,10,0.8725,0.9552,0.7143,0.9078,0.7143,0.9552,0.7937,0.8917
