round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
397,16,43,10,5,0.7973,0.7619,0.8113,0.6809,0.9075
398,16,48,4,6,0.8649,0.7273,0.9231,0.7619,0.8829
399,16,41,12,5,0.7703,0.7619,0.7736,0.6531,0.8113
400,12,43,13,6,0.7432,0.6667,0.7679,0.5581,0.7937
401,17,29,15,13,0.6216,0.5667,0.6591,0.5484,0.7197
402,19,43,10,2,0.8378,0.9048,0.8113,0.76,0.9452
403,20,39,6,9,0.7973,0.6897,0.8667,0.7273,0.8314
404,17,30,8,19,0.6351,0.4722,0.7895,0.5574,0.7281
405,17,41,10,6,0.7838,0.7391,0.8039,0.68,0.8312
406,17,38,7,12,0.7432,0.5862,0.8444,0.6415,0.7617
407,23,34,9,8,0.7703,0.7419,0.7907,0.7302,0.8777
408,25,34,10,5,0.7973,0.8333,0.7727,0.7692,0.8455
409,20,42,6,6,0.8378,0.7692,0.875,0.7692,0.8966
410,13,38,16,7,0.6892,0.65,0.7037,0.5306,0.8417
411,16,33,14,11,0.6622,0.5926,0.7021,0.5614,0.6824
412,15,36,16,7,0.6892,0.6818,0.6923,0.566,0.7823
413,16,41,12,5,0.7703,0.7619,0.7736,0.6531,0.8868
414,21,34,8,11,0.7432,0.6562,0.8095,0.6885,0.8475
415,16,37,8,13,0.7162,0.5517,0.8222,0.6038,0.7655
416,21,35,14,4,0.7568,0.84,0.7143,0.7,0.8522
417,16,40,13,5,0.7568,0.7619,0.7547,0.64,0.8014
418,22,35,8,9,0.7703,0.7097,0.814,0.7213,0.8327
419,23,33,8,10,0.7568,0.697,0.8049,0.7188,0.8426
420,18,42,7,7,0.8108,0.72,0.8571,0.72,0.8678
421,25,39,7,3,0.8649,0.8929,0.8478,0.8333,0.9542
422,19,31,11,13,0.6757,0.5938,0.7381,0.6129,0.7589
423,21,36,10,7,0.7703,0.75,0.7826,0.7119,0.8509
424,14,41,10,9,0.7432,0.6087,0.8039,0.5957,0.7852
425,18,37,10,9,0.7432,0.6667,0.7872,0.6545,0.7951
426,20,42,5,7,0.8378,0.7407,0.8936,0.7692,0.8818
427,18,39,7,10,0.7703,0.6429,0.8478,0.6792,0.8385
428,18,34,8,14,0.7027,0.5625,0.8095,0.6207,0.7865
429,20,35,8,11,0.7432,0.6452,0.814,0.678,0.802
430,15,39,11,9,0.7297,0.625,0.78,0.6,0.7742
431,22,34,10,8,0.7568,0.7333,0.7727,0.7097,0.8644
432,21,30,9,14,0.6892,0.6,0.7692,0.6462,0.8
433,15,40,10,9,0.7432,0.625,0.8,0.6122,0.755
434,15,38,11,10,0.7162,0.6,0.7755,0.5882,0.7829
435,22,38,6,8,0.8108,0.7333,0.8636,0.7586,0.8152
436,24,37,8,5,0.8243,0.8276,0.8222,0.7869,0.908
437,19,41,8,6,0.8108,0.76,0.8367,0.7308,0.9045
438,26,29,7,12,0.7432,0.6842,0.8056,0.7324,0.8582
439,20,41,4,9,0.8243,0.6897,0.9111,0.7547,0.8215
440,13,42,8,11,0.7432,0.5417,0.84,0.5778,0.7308
441,15,40,10,9,0.7432,0.625,0.8,0.6122,0.8092
442,14,39,10,11,0.7162,0.56,0.7959,0.5714,0.7869
443,20,33,12,9,0.7162,0.6897,0.7333,0.6557,0.823
444,18,37,13,6,0.7432,0.75,0.74,0.6545,0.8617
445,20,42,8,4,0.8378,0.8333,0.84,0.7692,0.89
446,20,31,12,11,0.6892,0.6452,0.7209,0.6349,0.7494
447,16,33,14,11,0.6622,0.5926,0.7021,0.5614,0.7762
448,16,45,8,5,0.8243,0.7619,0.8491,0.7111,0.8859
449,19,34,11,10,0.7162,0.6552,0.7556,0.6441,0.7969
450,19,34,12,9,0.7162,0.6786,0.7391,0.6441,0.8346
451,19,42,8,5,0.8243,0.7917,0.84,0.7451,0.915
452,21,39,7,7,0.8108,0.75,0.8478,0.75,0.8781
453,17,42,7,8,0.7973,0.68,0.8571,0.6939,0.818
454,21,32,12,9,0.7162,0.7,0.7273,0.6667,0.7818
455,20,34,16,4,0.7297,0.8333,0.68,0.6667,0.8367
456,22,36,11,5,0.7838,0.8148,0.766,0.7333,0.8637
457,15,41,10,8,0.7568,0.6522,0.8039,0.625,0.8474
458,21,37,9,7,0.7838,0.75,0.8043,0.7241,0.8494
459,26,32,11,5,0.7838,0.8387,0.7442,0.7647,0.8695
460,13,37,12,12,0.6757,0.52,0.7551,0.52,0.7714
461,19,38,8,9,0.7703,0.6786,0.8261,0.6909,0.8424
