Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Right,PointNet,540,12,49,3,11,0.8133,0.5217,0.9423,0.6316,0.8428
Dataset_1,Right,PointNet,541,12,53,2,8,0.8667,0.6,0.9636,0.7059,0.8764
Dataset_1,Right,PointNet,542,12,50,3,10,0.8267,0.5455,0.9434,0.6486,0.7727
Dataset_1,Right,PointNet,543,13,49,3,10,0.8267,0.5652,0.9423,0.6667,0.8077
Dataset_1,Right,PointNet,544,8,56,3,8,0.8533,0.5,0.9492,0.5926,0.8962
Dataset_1,Right,PointNet,545,7,51,1,16,0.7733,0.3043,0.9808,0.4516,0.7843
Dataset_1,Right,PointNet,546,8,52,3,12,0.8,0.4,0.9455,0.5161,0.7664
Dataset_1,Right,PointNet,547,12,54,1,8,0.88,0.6,0.9818,0.7273,0.8545
Dataset_1,Right,PointNet,548,10,51,3,11,0.8133,0.4762,0.9444,0.5882,0.7046
Dataset_1,Right,PointNet,549,10,55,2,8,0.8667,0.5556,0.9649,0.6667,0.9639
Dataset_1,Right,PointNet,550,6,52,2,15,0.7733,0.2857,0.963,0.4138,0.8245
Dataset_1,Right,PointNet,551,12,53,2,8,0.8667,0.6,0.9636,0.7059,0.8191
Dataset_1,Right,PointNet,552,13,50,4,8,0.84,0.619,0.9259,0.6842,0.8845
Dataset_1,Right,PointNet,553,12,51,1,11,0.84,0.5217,0.9808,0.6667,0.8395
Dataset_1,Right,PointNet,554,9,56,1,9,0.8667,0.5,0.9825,0.6429,0.8713
Dataset_1,Right,PointNet,555,13,55,2,5,0.9067,0.7222,0.9649,0.7879,0.8938
Dataset_1,Right,PointNet,556,11,56,3,5,0.8933,0.6875,0.9492,0.7333,0.9068
Dataset_1,Right,PointNet,557,14,43,4,14,0.76,0.5,0.9149,0.6087,0.8055
Dataset_1,Right,PointNet,558,14,52,2,7,0.88,0.6667,0.963,0.7568,0.8765
Dataset_1,Right,PointNet,559,9,54,1,11,0.84,0.45,0.9818,0.6,0.7064
Dataset_1,Right,PointNet,560,10,49,5,11,0.7867,0.4762,0.9074,0.5556,0.7337
Dataset_1,Right,PointNet,561,16,51,1,7,0.8933,0.6957,0.9808,0.8,0.862
Dataset_1,Right,PointNet,562,9,54,1,11,0.84,0.45,0.9818,0.6,0.8155
Dataset_1,Right,PointNet,563,5,60,2,8,0.8667,0.3846,0.9677,0.5,0.737
Dataset_1,Right,PointNet,564,9,54,5,7,0.84,0.5625,0.9153,0.6,0.875
Dataset_1,Right,PointNet,565,12,44,5,14,0.7467,0.4615,0.898,0.5581,0.6978
Dataset_1,Right,PointNet,566,13,53,2,7,0.88,0.65,0.9636,0.7429,0.7955
