Dataset,Side,Model,round,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,F1,AUC
Dataset_1,Right,PointNet,754,9,56,4,6,0.8667,0.6,0.9333,0.6429,0.8733
Dataset_1,Right,PointNet,755,16,53,1,5,0.92,0.7619,0.9815,0.8421,0.9198
Dataset_1,Right,PointNet,756,16,50,1,8,0.88,0.6667,0.9804,0.7805,0.9224
Dataset_1,Right,PointNet,757,13,46,1,15,0.7867,0.4643,0.9787,0.619,0.7188
Dataset_1,Right,PointNet,758,9,55,1,10,0.8533,0.4737,0.9821,0.6207,0.8008
Dataset_1,Right,PointNet,759,13,54,3,5,0.8933,0.7222,0.9474,0.7647,0.7953
Dataset_1,Right,PointNet,760,9,56,3,7,0.8667,0.5625,0.9492,0.6429,0.803
Dataset_1,Right,PointNet,761,13,54,2,6,0.8933,0.6842,0.9643,0.7647,0.8637
Dataset_1,Right,PointNet,762,10,55,2,8,0.8667,0.5556,0.9649,0.6667,0.8421
Dataset_1,Right,PointNet,763,15,50,2,8,0.8667,0.6522,0.9615,0.75,0.9314
Dataset_1,Right,PointNet,764,10,50,2,13,0.8,0.4348,0.9615,0.5714,0.8462
Dataset_1,Right,PointNet,765,12,47,4,12,0.7867,0.5,0.9216,0.6,0.8284
Dataset_1,Right,PointNet,766,12,55,3,5,0.8933,0.7059,0.9483,0.75,0.9097
Dataset_1,Right,PointNet,767,10,56,2,7,0.88,0.5882,0.9655,0.6897,0.8519
Dataset_1,Right,PointNet,768,12,48,3,12,0.8,0.5,0.9412,0.6154,0.7892
Dataset_1,Right,PointNet,769,10,57,0,8,0.8933,0.5556,1.0,0.7143,0.8187
Dataset_1,Right,PointNet,770,9,54,3,9,0.84,0.5,0.9474,0.6,0.8168
Dataset_1,Right,PointNet,771,9,55,2,9,0.8533,0.5,0.9649,0.6207,0.8441
Dataset_1,Right,PointNet,772,15,54,0,6,0.92,0.7143,1.0,0.8333,0.8959
Dataset_1,Right,PointNet,773,16,52,2,5,0.9067,0.7619,0.963,0.8205,0.9683
Dataset_1,Right,PointNet,774,12,52,3,8,0.8533,0.6,0.9455,0.6857,0.8609
Dataset_1,Right,PointNet,775,9,55,3,8,0.8533,0.5294,0.9483,0.6207,0.7779
Dataset_1,Right,PointNet,776,14,51,0,10,0.8667,0.5833,1.0,0.7368,0.9306
Dataset_1,Right,PointNet,777,12,41,9,13,0.7067,0.48,0.82,0.5217,0.6656
Dataset_1,Right,PointNet,778,16,51,2,6,0.8933,0.7273,0.9623,0.8,0.8877
Dataset_1,Right,PointNet,779,15,43,3,14,0.7733,0.5172,0.9348,0.6383,0.7931
Dataset_1,Right,PointNet,780,7,49,2,17,0.7467,0.2917,0.9608,0.4242,0.7492
Dataset_1,Right,PointNet,781,9,56,1,9,0.8667,0.5,0.9825,0.6429,0.8655
Dataset_1,Right,PointNet,782,13,51,0,11,0.8533,0.5417,1.0,0.7027,0.9077
Dataset_1,Right,PointNet,783,10,55,2,8,0.8667,0.5556,0.9649,0.6667,0.8099
Dataset_1,Right,PointNet,784,9,55,4,7,0.8533,0.5625,0.9322,0.6207,0.8273
Dataset_1,Right,PointNet,785,9,58,1,7,0.8933,0.5625,0.9831,0.6923,0.7977
Dataset_1,Right,PointNet,786,8,56,2,9,0.8533,0.4706,0.9655,0.5926,0.7495
Dataset_1,Right,PointNet,787,10,57,0,8,0.8933,0.5556,1.0,0.7143,0.9454
Dataset_1,Right,PointNet,788,16,52,2,5,0.9067,0.7619,0.963,0.8205,0.9145
Dataset_1,Right,PointNet,789,13,54,1,7,0.8933,0.65,0.9818,0.7647,0.9155
Dataset_1,Right,PointNet,790,9,56,2,8,0.8667,0.5294,0.9655,0.6429,0.8651
Dataset_1,Right,PointNet,791,10,46,3,16,0.7467,0.3846,0.9388,0.5128,0.748
Dataset_1,Right,PointNet,792,16,52,2,5,0.9067,0.7619,0.963,0.8205,0.8483
Dataset_1,Right,PointNet,793,16,43,2,14,0.7867,0.5333,0.9556,0.6667,0.9044
Dataset_1,Right,PointNet,794,13,49,4,9,0.8267,0.5909,0.9245,0.6667,0.7959
Dataset_1,Right,PointNet,795,11,55,4,5,0.88,0.6875,0.9322,0.7097,0.8761
Dataset_1,Right,PointNet,796,17,51,2,5,0.9067,0.7727,0.9623,0.8293,0.9288
Dataset_1,Right,PointNet,797,17,53,0,5,0.9333,0.7727,1.0,0.8718,0.9494
Dataset_1,Right,PointNet,798,12,48,2,13,0.8,0.48,0.96,0.6154,0.7208
Dataset_1,Right,PointNet,799,15,48,5,7,0.84,0.6818,0.9057,0.7143,0.7607
Dataset_1,Right,PointNet,800,13,55,1,6,0.9067,0.6842,0.9821,0.7879,0.937
Dataset_1,Right,PointNet,801,13,53,1,8,0.88,0.619,0.9815,0.7429,0.9198
Dataset_1,Right,PointNet,802,10,54,0,11,0.8533,0.4762,1.0,0.6452,0.7725
Dataset_1,Right,PointNet,803,15,52,0,8,0.8933,0.6522,1.0,0.7895,0.9239
Dataset_1,Right,PointNet,804,7,60,3,5,0.8933,0.5833,0.9524,0.6364,0.9405
Dataset_1,Right,PointNet,805,13,49,0,13,0.8267,0.5,1.0,0.6667,0.8093
Dataset_1,Right,PointNet,806,10,48,3,14,0.7733,0.4167,0.9412,0.5405,0.8072
Dataset_1,Right,PointNet,807,11,51,3,10,0.8267,0.5238,0.9444,0.6286,0.9092
Dataset_1,Right,PointNet,808,15,46,4,10,0.8133,0.6,0.92,0.6818,0.8336
Dataset_1,Right,PointNet,809,13,53,1,8,0.88,0.619,0.9815,0.7429,0.851
Dataset_1,Right,PointNet,810,7,58,1,9,0.8667,0.4375,0.9831,0.5833,0.7405
Dataset_1,Right,PointNet,811,14,54,2,5,0.9067,0.7368,0.9643,0.8,0.8355
Dataset_1,Right,PointNet,812,17,49,1,8,0.88,0.68,0.98,0.7907,0.8128
Dataset_1,Right,PointNet,813,12,52,4,7,0.8533,0.6316,0.9286,0.6857,0.7848
Dataset_1,Right,PointNet,814,11,52,3,9,0.84,0.55,0.9455,0.6471,0.8936
Dataset_1,Right,PointNet,815,7,54,3,11,0.8133,0.3889,0.9474,0.5,0.8207
Dataset_1,Right,PointNet,816,8,61,4,2,0.92,0.8,0.9385,0.7273,0.9662
Dataset_1,Right,PointNet,817,9,52,2,12,0.8133,0.4286,0.963,0.5625,0.7972
Dataset_1,Right,PointNet,818,14,49,2,10,0.84,0.5833,0.9608,0.7,0.8717
Dataset_1,Right,PointNet,819,8,56,4,7,0.8533,0.5333,0.9333,0.5926,0.7978
Dataset_1,Right,PointNet,820,16,51,0,8,0.8933,0.6667,1.0,0.8,0.9158
Dataset_1,Right,PointNet,821,15,48,3,9,0.84,0.625,0.9412,0.7143,0.7917
Dataset_1,Right,PointNet,822,7,55,2,11,0.8267,0.3889,0.9649,0.5185,0.8363
Dataset_1,Right,PointNet,823,14,50,0,11,0.8533,0.56,1.0,0.7179,0.7992
Dataset_1,Right,PointNet,824,11,55,2,7,0.88,0.6111,0.9649,0.7097,0.9074
Dataset_1,Right,PointNet,825,9,60,1,5,0.92,0.6429,0.9836,0.75,0.8173
Dataset_1,Right,PointNet,826,12,48,1,14,0.8,0.4615,0.9796,0.6154,0.792
Dataset_1,Right,PointNet,827,11,54,2,8,0.8667,0.5789,0.9643,0.6875,0.781
Dataset_1,Right,PointNet,828,7,54,2,12,0.8133,0.3684,0.9643,0.5,0.7848
Dataset_1,Right,PointNet,829,12,48,2,13,0.8,0.48,0.96,0.6154,0.7168
Dataset_1,Right,PointNet,830,11,53,2,9,0.8533,0.55,0.9636,0.6667,0.7782
Dataset_1,Right,PointNet,831,16,56,1,2,0.96,0.8889,0.9825,0.9143,0.9542
Dataset_1,Right,PointNet,832,13,51,3,8,0.8533,0.619,0.9444,0.7027,0.8792
Dataset_1,Right,PointNet,833,7,54,5,9,0.8133,0.4375,0.9153,0.5,0.7977
Dataset_1,Right,PointNet,834,10,56,0,9,0.88,0.5263,1.0,0.6897,0.8976
Dataset_1,Right,PointNet,835,10,50,4,11,0.8,0.4762,0.9259,0.5714,0.739
Dataset_1,Right,PointNet,836,14,50,1,10,0.8533,0.5833,0.9804,0.7179,0.8946
Dataset_1,Right,PointNet,837,9,50,6,10,0.7867,0.4737,0.8929,0.5294,0.8158
Dataset_1,Right,PointNet,838,14,51,0,10,0.8667,0.5833,1.0,0.7368,0.7549
Dataset_1,Right,PointNet,839,12,47,3,13,0.7867,0.48,0.94,0.6,0.808
Dataset_1,Right,PointNet,840,14,51,2,8,0.8667,0.6364,0.9623,0.7368,0.916
Dataset_1,Right,PointNet,841,13,56,0,6,0.92,0.6842,1.0,0.8125,0.8393
Dataset_1,Right,PointNet,842,14,53,2,6,0.8933,0.7,0.9636,0.7778,0.8573
Dataset_1,Right,PointNet,843,6,54,3,12,0.8,0.3333,0.9474,0.4444,0.6404
Dataset_1,Right,PointNet,844,11,55,3,6,0.88,0.6471,0.9483,0.7097,0.8854
Dataset_1,Right,PointNet,845,13,53,4,5,0.88,0.7222,0.9298,0.7429,0.8382
Dataset_1,Right,PointNet,846,9,56,0,10,0.8667,0.4737,1.0,0.6429,0.8073
Dataset_1,Right,PointNet,847,16,46,2,11,0.8267,0.5926,0.9583,0.7111,0.8295
Dataset_1,Right,PointNet,848,8,49,3,15,0.76,0.3478,0.9423,0.4706,0.7391
Dataset_1,Right,PointNet,849,13,52,2,8,0.8667,0.619,0.963,0.7222,0.8633
Dataset_1,Right,PointNet,850,14,53,2,6,0.8933,0.7,0.9636,0.7778,0.8982
Dataset_1,Right,PointNet,851,8,60,2,5,0.9067,0.6154,0.9677,0.6957,0.9727
Dataset_1,Right,PointNet,852,8,59,2,6,0.8933,0.5714,0.9672,0.6667,0.9602
Dataset_1,Right,PointNet,853,9,53,2,11,0.8267,0.45,0.9636,0.5806,0.6882
Dataset_1,Right,PointNet,854,8,59,0,8,0.8933,0.5,1.0,0.6667,0.965
Dataset_1,Right,PointNet,855,7,55,4,9,0.8267,0.4375,0.9322,0.5185,0.8305
Dataset_1,Right,PointNet,856,15,48,1,11,0.84,0.5769,0.9796,0.7143,0.7127
Dataset_1,Right,PointNet,857,11,46,3,15,0.76,0.4231,0.9388,0.55,0.8061
Dataset_1,Right,PointNet,858,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.8922
Dataset_1,Right,PointNet,859,16,49,1,9,0.8667,0.64,0.98,0.7619,0.872
Dataset_1,Right,PointNet,860,10,53,4,8,0.84,0.5556,0.9298,0.625,0.6667
Dataset_1,Right,PointNet,861,13,56,1,5,0.92,0.7222,0.9825,0.8125,0.9786
Dataset_1,Right,PointNet,862,9,57,2,7,0.88,0.5625,0.9661,0.6667,0.8189
Dataset_1,Right,PointNet,863,17,47,3,8,0.8533,0.68,0.94,0.7556,0.9264
Dataset_1,Right,PointNet,864,16,50,0,9,0.88,0.64,1.0,0.7805,0.9208
Dataset_1,Right,PointNet,865,11,52,5,7,0.84,0.6111,0.9123,0.6471,0.8782
Dataset_1,Right,PointNet,866,11,57,0,7,0.9067,0.6111,1.0,0.7586,0.8879
Dataset_1,Right,PointNet,867,12,48,2,13,0.8,0.48,0.96,0.6154,0.716
Dataset_1,Right,PointNet,868,8,58,2,7,0.88,0.5333,0.9667,0.64,0.8456
Dataset_1,Right,PointNet,869,9,54,1,11,0.84,0.45,0.9818,0.6,0.8718
Dataset_1,Right,PointNet,870,8,52,4,11,0.8,0.4211,0.9286,0.5161,0.6814
Dataset_1,Right,PointNet,871,11,48,1,15,0.7867,0.4231,0.9796,0.5789,0.8163
Dataset_1,Right,PointNet,872,17,47,1,10,0.8533,0.6296,0.9792,0.7556,0.8796
Dataset_1,Right,PointNet,873,14,50,1,10,0.8533,0.5833,0.9804,0.7179,0.8464
Dataset_1,Right,PointNet,874,12,52,0,11,0.8533,0.5217,1.0,0.6857,0.8294
Dataset_1,Right,PointNet,875,11,56,0,8,0.8933,0.5789,1.0,0.7333,0.8712
Dataset_1,Right,PointNet,876,10,51,3,11,0.8133,0.4762,0.9444,0.5882,0.8219
Dataset_1,Right,PointNet,877,14,53,2,6,0.8933,0.7,0.9636,0.7778,0.8927
Dataset_1,Right,PointNet,878,5,61,3,6,0.88,0.4545,0.9531,0.5263,0.7173
Dataset_1,Right,PointNet,879,17,49,3,6,0.88,0.7391,0.9423,0.7907,0.8411
Dataset_1,Right,PointNet,880,11,58,2,4,0.92,0.7333,0.9667,0.7857,0.8733
Dataset_1,Right,PointNet,881,19,43,2,11,0.8267,0.6333,0.9556,0.7451,0.9281
Dataset_1,Right,PointNet,882,11,56,1,7,0.8933,0.6111,0.9825,0.7333,0.8879
Dataset_1,Right,PointNet,883,13,55,1,6,0.9067,0.6842,0.9821,0.7879,0.7895
Dataset_1,Right,PointNet,884,15,51,3,6,0.88,0.7143,0.9444,0.7692,0.8501
Dataset_1,Right,PointNet,885,12,50,2,11,0.8267,0.5217,0.9615,0.6486,0.8796
Dataset_1,Right,PointNet,886,12,55,2,6,0.8933,0.6667,0.9649,0.75,0.7924
Dataset_1,Right,PointNet,887,10,55,1,9,0.8667,0.5263,0.9821,0.6667,0.938
Dataset_1,Right,PointNet,888,10,51,4,10,0.8133,0.5,0.9273,0.5882,0.7427
Dataset_1,Right,PointNet,889,12,47,2,14,0.7867,0.4615,0.9592,0.6,0.8548
Dataset_1,Right,PointNet,890,10,56,3,6,0.88,0.625,0.9492,0.6897,0.7871
Dataset_1,Right,PointNet,891,10,57,3,5,0.8933,0.6667,0.95,0.7143,0.9111
Dataset_1,Right,PointNet,892,6,58,2,9,0.8533,0.4,0.9667,0.5217,0.8067
Dataset_1,Right,PointNet,893,16,55,0,4,0.9467,0.8,1.0,0.8889,0.9627
Dataset_1,Right,PointNet,894,9,57,0,9,0.88,0.5,1.0,0.6667,0.8938
Dataset_1,Right,PointNet,895,6,54,4,11,0.8,0.3529,0.931,0.4444,0.7718
Dataset_1,Right,PointNet,896,17,50,1,7,0.8933,0.7083,0.9804,0.8095,0.8636
Dataset_1,Right,PointNet,897,6,50,4,15,0.7467,0.2857,0.9259,0.3871,0.7363
Dataset_1,Right,PointNet,898,10,59,1,5,0.92,0.6667,0.9833,0.7692,0.9011
Dataset_1,Right,PointNet,899,9,55,4,7,0.8533,0.5625,0.9322,0.6207,0.7871
Dataset_1,Right,PointNet,900,16,48,2,9,0.8533,0.64,0.96,0.7442,0.8272
Dataset_1,Right,PointNet,901,15,50,3,7,0.8667,0.6818,0.9434,0.75,0.7564
Dataset_1,Right,PointNet,902,10,54,2,9,0.8533,0.5263,0.9643,0.6452,0.7603
Dataset_1,Right,PointNet,903,8,53,4,10,0.8133,0.4444,0.9298,0.5333,0.6657
Dataset_1,Right,PointNet,904,7,58,5,5,0.8667,0.5833,0.9206,0.5833,0.9339
Dataset_1,Right,PointNet,905,11,57,1,6,0.9067,0.6471,0.9828,0.7586,0.8834
Dataset_1,Right,PointNet,906,3,60,2,10,0.84,0.2308,0.9677,0.3333,0.7357
Dataset_1,Right,PointNet,907,4,57,2,12,0.8133,0.25,0.9661,0.3636,0.7606
Dataset_1,Right,PointNet,908,11,57,0,7,0.9067,0.6111,1.0,0.7586,0.9084
Dataset_1,Right,PointNet,909,9,56,2,8,0.8667,0.5294,0.9655,0.6429,0.932
Dataset_1,Right,PointNet,910,12,50,1,12,0.8267,0.5,0.9804,0.6486,0.826
Dataset_1,Right,PointNet,911,6,62,1,6,0.9067,0.5,0.9841,0.6316,0.8624
Dataset_1,Right,PointNet,912,13,52,4,6,0.8667,0.6842,0.9286,0.7222,0.8289
Dataset_1,Right,PointNet,913,10,55,3,7,0.8667,0.5882,0.9483,0.6667,0.9219
Dataset_1,Right,PointNet,914,9,50,1,15,0.7867,0.375,0.9804,0.5294,0.8105
Dataset_1,Right,PointNet,915,15,55,0,5,0.9333,0.75,1.0,0.8571,0.9073
Dataset_1,Right,PointNet,916,13,51,2,9,0.8533,0.5909,0.9623,0.7027,0.8911
Dataset_1,Right,PointNet,917,12,53,2,8,0.8667,0.6,0.9636,0.7059,0.8555
Dataset_1,Right,PointNet,918,10,54,3,8,0.8533,0.5556,0.9474,0.6452,0.8226
Dataset_1,Right,PointNet,919,7,56,2,10,0.84,0.4118,0.9655,0.5385,0.8022
Dataset_1,Right,PointNet,920,12,54,2,7,0.88,0.6316,0.9643,0.7273,0.8195
Dataset_1,Right,PointNet,921,8,59,1,7,0.8933,0.5333,0.9833,0.6667,0.9689
Dataset_1,Right,PointNet,922,8,48,2,17,0.7467,0.32,0.96,0.4571,0.8392
Dataset_1,Right,PointNet,923,10,54,0,11,0.8533,0.4762,1.0,0.6452,0.8104
Dataset_1,Right,PointNet,924,11,46,1,17,0.76,0.3929,0.9787,0.55,0.7865
Dataset_1,Right,PointNet,925,12,53,2,8,0.8667,0.6,0.9636,0.7059,0.8964
Dataset_1,Right,PointNet,926,8,56,3,8,0.8533,0.5,0.9492,0.5926,0.8379
Dataset_1,Right,PointNet,927,13,50,2,10,0.84,0.5652,0.9615,0.6842,0.8846
Dataset_1,Right,PointNet,928,14,53,1,7,0.8933,0.6667,0.9815,0.7778,0.8748
Dataset_1,Right,PointNet,929,16,44,4,11,0.8,0.5926,0.9167,0.6809,0.8688
Dataset_1,Right,PointNet,930,8,57,2,8,0.8667,0.5,0.9661,0.6154,0.839
Dataset_1,Right,PointNet,931,13,54,2,6,0.8933,0.6842,0.9643,0.7647,0.9539
Dataset_1,Right,PointNet,932,14,57,1,3,0.9467,0.8235,0.9828,0.875,0.9787
Dataset_1,Right,PointNet,933,9,49,4,13,0.7733,0.4091,0.9245,0.5143,0.8105
Dataset_1,Right,PointNet,934,10,55,1,9,0.8667,0.5263,0.9821,0.6667,0.7914
Dataset_1,Right,PointNet,935,8,54,1,12,0.8267,0.4,0.9818,0.5517,0.7282
Dataset_1,Right,PointNet,936,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.8448
Dataset_1,Right,PointNet,937,12,47,0,16,0.7867,0.4286,1.0,0.6,0.7895
Dataset_1,Right,PointNet,938,18,42,5,10,0.8,0.6429,0.8936,0.7059,0.8875
Dataset_1,Right,PointNet,939,14,45,3,13,0.7867,0.5185,0.9375,0.6364,0.8187
Dataset_1,Right,PointNet,940,12,53,1,9,0.8667,0.5714,0.9815,0.7059,0.8942
Dataset_1,Right,PointNet,941,14,49,0,12,0.84,0.5385,1.0,0.7,0.8509
Dataset_1,Right,PointNet,942,13,48,1,13,0.8133,0.5,0.9796,0.65,0.8203
Dataset_1,Right,PointNet,943,8,59,1,7,0.8933,0.5333,0.9833,0.6667,0.9278
Dataset_1,Right,PointNet,944,10,55,0,10,0.8667,0.5,1.0,0.6667,0.8255
Dataset_1,Right,PointNet,945,16,45,2,12,0.8133,0.5714,0.9574,0.6957,0.8989
Dataset_1,Right,PointNet,946,12,51,4,8,0.84,0.6,0.9273,0.6667,0.7936
Dataset_1,Right,PointNet,947,11,52,2,10,0.84,0.5238,0.963,0.6471,0.7372
Dataset_1,Right,PointNet,948,9,57,0,9,0.88,0.5,1.0,0.6667,0.9776
Dataset_1,Right,PointNet,949,12,45,3,15,0.76,0.4444,0.9375,0.5714,0.7608
Dataset_1,Right,PointNet,950,10,53,4,8,0.84,0.5556,0.9298,0.625,0.7846
Dataset_1,Right,PointNet,951,15,50,0,10,0.8667,0.6,1.0,0.75,0.8728
Dataset_1,Right,PointNet,952,10,55,1,9,0.8667,0.5263,0.9821,0.6667,0.8205
Dataset_1,Right,PointNet,953,10,57,1,7,0.8933,0.5882,0.9828,0.7143,0.8864
Dataset_1,Right,PointNet,954,17,47,3,8,0.8533,0.68,0.94,0.7556,0.8888
Dataset_1,Right,PointNet,955,8,59,0,8,0.8933,0.5,1.0,0.6667,0.8167
Dataset_1,Right,PointNet,956,11,50,0,14,0.8133,0.44,1.0,0.6111,0.8416
Dataset_1,Right,PointNet,957,15,48,1,11,0.84,0.5769,0.9796,0.7143,0.8532
Dataset_1,Right,PointNet,958,15,49,1,10,0.8533,0.6,0.98,0.7317,0.8952
Dataset_1,Right,PointNet,959,6,59,2,8,0.8667,0.4286,0.9672,0.5455,0.8267
Dataset_1,Right,PointNet,960,14,51,4,6,0.8667,0.7,0.9273,0.7368,0.9036
Dataset_1,Right,PointNet,961,16,52,0,7,0.9067,0.6957,1.0,0.8205,0.8545
Dataset_1,Right,PointNet,962,11,54,5,5,0.8667,0.6875,0.9153,0.6875,0.8517
Dataset_1,Right,PointNet,963,14,48,4,9,0.8267,0.6087,0.9231,0.6829,0.8913
Dataset_1,Right,PointNet,964,10,55,3,7,0.8667,0.5882,0.9483,0.6667,0.8986
Dataset_1,Right,PointNet,965,16,47,2,10,0.84,0.6154,0.9592,0.7273,0.8195
Dataset_1,Right,PointNet,966,7,60,4,4,0.8933,0.6364,0.9375,0.6364,0.7244
Dataset_1,Right,PointNet,967,10,54,2,9,0.8533,0.5263,0.9643,0.6452,0.8336
Dataset_1,Right,PointNet,968,14,48,3,10,0.8267,0.5833,0.9412,0.6829,0.7819
Dataset_1,Right,PointNet,969,11,52,1,11,0.84,0.5,0.9811,0.6471,0.8156
Dataset_1,Right,PointNet,970,11,55,2,7,0.88,0.6111,0.9649,0.7097,0.8411
Dataset_1,Right,PointNet,971,12,53,1,9,0.8667,0.5714,0.9815,0.7059,0.851
Dataset_1,Right,PointNet,972,14,52,3,6,0.88,0.7,0.9455,0.7568,0.8555
Dataset_1,Right,PointNet,973,13,54,0,8,0.8933,0.619,1.0,0.7647,0.918
Dataset_1,Right,PointNet,974,13,57,1,4,0.9333,0.7647,0.9828,0.8387,0.9432
Dataset_1,Right,PointNet,975,9,53,2,11,0.8267,0.45,0.9636,0.5806,0.9382
Dataset_1,Right,PointNet,976,12,53,1,9,0.8667,0.5714,0.9815,0.7059,0.8721
Dataset_1,Right,PointNet,977,7,51,4,13,0.7733,0.35,0.9273,0.4516,0.6555
Dataset_1,Right,PointNet,978,12,56,0,7,0.9067,0.6316,1.0,0.7742,0.9117
Dataset_1,Right,PointNet,979,15,52,1,7,0.8933,0.6818,0.9811,0.7895,0.9065
Dataset_1,Right,PointNet,980,13,53,1,8,0.88,0.619,0.9815,0.7429,0.8078
Dataset_1,Right,PointNet,981,15,52,0,8,0.8933,0.6522,1.0,0.7895,0.9749
Dataset_1,Right,PointNet,982,12,48,3,12,0.8,0.5,0.9412,0.6154,0.7868
Dataset_1,Right,PointNet,983,12,49,2,12,0.8133,0.5,0.9608,0.6316,0.8456
Dataset_1,Right,PointNet,984,7,54,1,13,0.8133,0.35,0.9818,0.5,0.7664
Dataset_1,Right,PointNet,985,9,56,0,10,0.8667,0.4737,1.0,0.6429,0.937
Dataset_1,Right,PointNet,986,13,54,0,8,0.8933,0.619,1.0,0.7647,0.8166
Dataset_1,Right,PointNet,987,11,54,2,8,0.8667,0.5789,0.9643,0.6875,0.8571
Dataset_1,Right,PointNet,988,10,48,2,15,0.7733,0.4,0.96,0.5405,0.752
Dataset_1,Right,PointNet,989,11,48,4,12,0.7867,0.4783,0.9231,0.5789,0.8403
Dataset_1,Right,PointNet,990,16,51,1,7,0.8933,0.6957,0.9808,0.8,0.8955
Dataset_1,Right,PointNet,991,15,49,2,9,0.8533,0.625,0.9608,0.7317,0.8317
Dataset_1,Right,PointNet,992,15,55,0,5,0.9333,0.75,1.0,0.8571,0.86
Dataset_1,Right,PointNet,993,12,51,1,11,0.84,0.5217,0.9808,0.6667,0.8319
Dataset_1,Right,PointNet,994,7,51,1,16,0.7733,0.3043,0.9808,0.4516,0.7726
Dataset_1,Right,PointNet,995,10,49,6,10,0.7867,0.5,0.8909,0.5556,0.81
Dataset_1,Right,PointNet,996,10,56,2,7,0.88,0.5882,0.9655,0.6897,0.8418
Dataset_1,Right,PointNet,997,7,63,4,1,0.9333,0.875,0.9403,0.7368,0.8694
Dataset_1,Right,PointNet,998,4,57,2,12,0.8133,0.25,0.9661,0.3636,0.8559
Dataset_1,Right,PointNet,999,12,49,4,10,0.8133,0.5455,0.9245,0.6316,0.8319
Dataset_1,Right,PointNet,1000,12,53,4,6,0.8667,0.6667,0.9298,0.7059,0.847
